,Position,song,artist
0,1,Fountains,Drake
1,2,Mood (feat. Buju),Wizkid
2,3,Peru,Fireboy Dml
3,4,Bloody Samaritan,Ayra Starr
4,5,Girls Want Girls,Drake
5,6,Understand,Omah lay
6,7,Lie,Kizz Daniel
7,8,Anoti,Wizkid
8,9,High,Adekunle Gold
9,10,Fair Trade,Drake
10,11,Champagne Poetry,Drake
11,12,Feel Good,MohBad
12,13,In The Bible,Drake
13,14,Monalisa,Lojay
14,15,Essence (feat. Justin Bieber & Tems),Wizkid
15,16,Question,Burna Boy
16,17,Way 2 Sexy,Drake
17,18,Love All,Drake
18,19,Papi’s Home,Drake
19,20,Sinner,Adekunle Gold
20,21,Bounce,Ruger
21,22,TSU,Drake
22,23,Big Thug Boys,AV
23,24,Outside,Buju
24,25,N 2 Deep,Drake
25,26,Cocaine,Dai Verse
26,27,Feeling,LADIPOE
27,28,Let Me Know,Mayorkun
28,29,Knife Talk,Drake
29,30,7am On Bridle Path,Drake
30,31,No Friends In The Industry,Drake
31,32,Get Along Better,Drake
32,33,Fashion Killer,Ayra Starr
33,34,Pipe Down,Drake
34,35,Steady,Wizkid
35,36,Rock,Olamide
36,37,Soundgasm,Rema
37,38,Yebba’s Heartbreak,Drake
38,39,Somebody’s Son,Tiwa Savage
39,40,Naira Marley,Zinoleesky
40,41,You Only Live Twice,Drake
41,42,INDUSTRY BABY,Lil Nas X
42,43,Hurricane,Kanye West
43,44,Yaba Buluku (Remix),DJ Tárico
44,45,Race My Mind,Drake
45,46,Medicine,Jaywillz
46,47,STAY,The Kid Laroi
47,48,IMY2,Drake
48,49,Ojuju,Troniq Music
49,50,Jail,Kanye West
50,51,Bling (feat. Amaarae & Buju),Blaqbonez
51,52,Clash,Dave
52,53,Party Next Door,Dangbana Republik
53,54,Confident,Savage
54,55,Fucking Fans,Drake
55,56,The Remorse,Drake
56,57,Testimony,Buju
57,58,Dimension (feat. Skepta & Rema),Jae5
58,59,Essence (feat. Tems),Wizkid
59,60,So Cold,Bella Shmurda
60,61,Felony,CKay
61,62,loving is harder,Johnny Drille
62,63,HUSTLE,Teni
63,64,ova,Johnny Drille
64,65,System,Dave
65,66,Oliver Twist,ArrDee
66,67,Off The Grid,Kanye West
67,68,MY KIND OF BROWN,Johnny Drille
68,69,It Is What It Is,Adekunle Gold
69,70,odo,Johnny Drille
70,71,ludo,Johnny Drille
71,72,Ginger (feat. Burna Boy),Wizkid
72,73,Coming,Naira Marley
73,74,Mercy,Falz
74,75,Kilometre,Burna Boy
75,76,Praise God,Kanye West
76,77,Hallelu,Masterkraft
77,78,Drug Test,Naira Marley
78,79,driving in the rain,Johnny Drille
79,80,Cast (Gen Z Anthem),Ayra Starr
80,81,Bounce,Rema
81,82,Jonah,Kanye West
82,83,Far Away,Dangbana Republik
83,84,Alubarika,Zlatan
84,85,Reckless,Wizkid
85,86,Forever (Remix),Gyakie
86,87,Wid It,Tion Wayne
87,88,Abu Dhabi,Ruger
88,89,LV N ATTN feat. Wizkid,Lojay
89,90,Moon,Kanye West
90,91,Beggie Beggie,Ayra Starr
91,92,Show Me,Joeboy
92,93,Colorado,Zugo
93,94,Blessed (feat. Damian Marley),Wizkid
94,95,Sisi,Geminigh
95,96,Need To Know,Doja Cat
96,97,LOML,Cheque
