,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Anoti,Wizkid
2,3,Steady,Wizkid
3,4,Essence (feat. Justin Bieber & Tems),Wizkid
4,5,Peru,Fireboy Dml
5,6,Question,Burna Boy
6,7,Lie,Kizz Daniel
7,8,Understand,Omah lay
8,9,Bloody Samaritan,Ayra Starr
9,10,Feel Good,MohBad
10,11,Sinner,Adekunle Gold
11,12,Monalisa,Lojay
12,13,Bounce,Ruger
13,14,Big Thug Boys,AV
14,15,Outside,Buju
15,16,Feeling,LADIPOE
16,17,Let Me Know,Mayorkun
17,18,Fashion Killer,Ayra Starr
18,19,Naira Marley,Zinoleesky
19,20,Soundgasm,Rema
20,21,Rock,Olamide
21,22,Essence (feat. Tems),Wizkid
22,23,INDUSTRY BABY,Lil Nas X
23,24,Reckless,Wizkid
24,25,Ginger (feat. Burna Boy),Wizkid
25,31,STAY,The Kid Laroi
26,32,Confident,Savage
27,33,Blessed (feat. Damian Marley),Wizkid
28,34,Longtime (feat. Skepta),Wizkid
29,35,Party Next Door,Dangbana Republik
30,36,Bling (feat. Amaarae & Buju),Blaqbonez
31,37,Clash,Dave
32,38,Dimension (feat. Skepta & Rema),Jae5
33,39,Felony,CKay
34,40,Far Away,Dangbana Republik
35,41,System,Dave
36,42,Testimony,Buju
37,43,Mighty Wine,Wizkid
38,44,HUSTLE,Teni
39,45,It Is What It Is,Adekunle Gold
40,46,Smile (feat. H.E.R.),Wizkid
41,47,No Stress,Wizkid
42,48,True Love (feat. Tay Iwar & Projexx),Wizkid
43,49,Ile Aye (This Life),Josseyan-tizzy
44,50,LV N ATTN feat. Wizkid,Lojay
45,51,Oliver Twist,ArrDee
46,52,Piece of Me (feat. Ella Mai),Wizkid
47,53,Sweet One,Wizkid
48,54,Mercy,Falz
49,55,Kilometre,Burna Boy
50,56,Forever (Remix),Gyakie
51,57,Coming,Naira Marley
52,58,Cast (Gen Z Anthem),Ayra Starr
53,59,Drug Test,Naira Marley
54,60,Beggie Beggie,Ayra Starr
55,61,family ties,Baby Keem
56,62,My Advice,Vik dash
57,63,Sisi,Geminigh
58,64,Hallelu,Masterkraft
59,65,Bounce,Rema
60,66,Grace,Wizkid
61,67,Gyrate,Wizkid
62,68,Abu Dhabi,Ruger
63,69,Wid It,Tion Wayne
64,70,Need To Know,Doja Cat
65,71,RAPSTAR,POLO G
66,72,Alubarika,Zlatan
67,73,Roma (feat. Terri),Wizkid
68,74,Kilofeshe,Zinoleesky
69,75,Show Me,Joeboy
70,76,Loved By You,Justin Bieber
71,77,So Cold,Bella Shmurda
72,78,Lazarus,Dave
73,79,Lonely,Ayra Starr
74,80,MONTERO (Call Me By Your Name),Lil Nas X
75,81,loving is harder,Johnny Drille
76,82,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
77,83,Infinity,Olamide
78,84,All,Rexxie
79,85,Somebody Baby,Peruzzi
80,86,Pay Me,Troniq Music
81,87,Alone,Oladapo
82,88,Bad Habits,Ed Sheeran
83,89,More,Troniq Music
84,90,La La (feat. Ckay),DaVido
85,91,Ke Star (Remix),Focalistic
86,92,FOR YOU,Teni
87,93,Call Me Baby,Cheque
