,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Question,Burna Boy
2,3,Lie,Kizz Daniel
3,4,Understand,Omah lay
4,5,Bloody Samaritan,Ayra Starr
5,6,Essence (feat. Justin Bieber & Tems),Wizkid
6,7,Sinner,Adekunle Gold
7,8,Monalisa,Lojay
8,9,Bounce,Ruger
9,10,Feel Good,MohBad
10,11,Big Thug Boys,AV
11,12,Outside,Buju
12,13,Fashion Killer,Ayra Starr
13,14,Feeling,LADIPOE
14,15,Naira Marley,Zinoleesky
15,16,Let Me Know,Mayorkun
16,17,Soundgasm,Rema
17,18,Ojuju,Troniq Music
18,19,Rock,Olamide
19,20,Medicine,Jaywillz
20,21,INDUSTRY BABY,Lil Nas X
21,22,Yaba Buluku (Remix),DJ Tárico
22,23,My Advice,Vik dash
23,24,Confident,Savage
24,25,Cocaine,Dai Verse
25,31,Essence (feat. Tems),Wizkid
26,32,Testimony,Buju
27,33,Somebody’s Son,Tiwa Savage
28,34,Dimension (feat. Skepta & Rema),Jae5
29,35,Mood (feat. Buju),Wizkid
30,36,System,Dave
31,37,LV N ATTN feat. Wizkid,Lojay
32,38,It Is What It Is,Adekunle Gold
33,39,Cast (Gen Z Anthem),Ayra Starr
34,40,Beggie Beggie,Ayra Starr
35,41,Kilometre,Burna Boy
36,42,Anoti,Wizkid
37,43,Mercy,Falz
38,44,Coming,Naira Marley
39,45,HUSTLE,Teni
40,46,Drug Test,Naira Marley
41,47,Oliver Twist,ArrDee
42,48,Forever (Remix),Gyakie
43,49,Abu Dhabi,Ruger
44,50,RAPSTAR,POLO G
45,51,Lazarus,Dave
46,52,Steady,Wizkid
47,53,More,Troniq Music
48,54,Ginger (feat. Burna Boy),Wizkid
49,55,Bounce,Rema
50,56,Hallelu,Masterkraft
51,57,Alubarika,Zlatan
52,58,Far Away,Dangbana Republik
53,59,Loved By You,Justin Bieber
54,60,Need To Know,Doja Cat
55,61,Pay Me,Troniq Music
56,62,Tonongo,Lojay
57,63,Wid It,Tion Wayne
58,64,Early Momo,Vector
59,65,Lonely,Ayra Starr
60,66,Ke Star (Remix),Focalistic
61,67,PonPon,Olamide
62,68,Colorado,Zugo
63,69,Infinity,Olamide
64,70,Kilofeshe,Zinoleesky
65,71,Ile Aye (This Life),Josseyan-tizzy
66,72,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
67,73,Show Me,Joeboy
68,74,MONTERO (Call Me By Your Name),Lil Nas X
69,75,All,Rexxie
70,76,La La (feat. Ckay),DaVido
71,77,Somebody Baby,Peruzzi
72,78,Bridgertn,Ayra Starr
73,79,Snitch,Ayra Starr
74,80,Celebrate Me,Patoranking
75,81,History,Cheque
76,82,Wade In The Water (Live),The Spirituals
77,83,Call Me Baby,Cheque
78,84,KOLO (feat. Oxlade),Ice Prince
79,85,Bad Habits,Ed Sheeran
80,86,Sisi,Geminigh
81,87,Heartbreak Anniversary,Giveon
82,88,Pronto,Ajebo Hustlers
83,89,Late At Night,Roddy Ricch
84,90,KPK (Ko Por Ke),Rexxie
85,91,Godly,Omah lay
86,92,Blessed (feat. Damian Marley),Wizkid
87,93,23,Burna Boy
