Position,song,artist,album
1,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
2,La go,Kiff No Beat,La go
3,Feeling,"LADIPOE, Buju",Feeling
4,In My Bed,"Rotimi, Wale",The Beauty of Becoming
5,Coachella,"Sarkodie, Kwesi Arthur",Coachella
6,Ghetto (feat. Nasty C),"Kizz Daniel, Nasty C",No Bad Songz
7,Kokonsa,"Omar Sterling, Kwesi Arthur",Same Earth Different Worlds
8,Champion,"Fireboy Dml, D Smoke",APOLLO
9,Best I Ever Had,Nasty C,Best I Ever Had
10,Euphoria,PsychoYP,Euphoria
11,RBG,Elzo Jamdong,RBG
12,Fierce,"Laycon, Reminisce, Chinko Ekun",Who Is Laycon?
13,Money Calling,"P Montana, Kofi Jamar, Suspect OTB",Money Calling
14,Bazenga,Ethic Entertainment,Bazenga
15,Y3 Y3 DOM,"Jay Bahd, Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga, O'Kenneth","Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)"
16,Nikwa Ni Shoke,Khaligraph Jones,Nikwa Ni Shoke
17,Heartbreaker (feat. Nasty C),"Blaqbonez, Nasty C",Sex Over Love
18,I Want,"Chris Kaiga, Mutoriah",I Want
19,Long Way,Emtee,LOGAN
20,Breathe,"A-Q, Chike",GOLDEN
21,All My Life (feat. Oxlade),"M.I Abaga, Oxlade",All My Life (feat. Oxlade)
22,First Sermon,Black Sherif,First Sermon
23,Ama,Medikal,Ama
24,Ye x4,"Blxckie, Nasty C",B4Now
25,Eazy,Nasty C,Eazy
26,Slow Wine,"Acebergtm, Mstruff",Far from Home
27,W.A.G (feat. Sarkodie & Youssoupha),"Rouge, Sarkodie, Youssoupha",W.A.G (feat. Sarkodie & Youssoupha)
28,Winning,"Kwesi Arthur, Vic Mensa",Winning
29,Crown Of Clay,"Vector, MI Abaga, Pheelz",Crown Of Clay
30,Wavy (feat. Sarkodie),"Khaligraph Jones, Sarkodie",Wavy (feat. Sarkodie)
31,Sinner,"Smallgod, Headie One, O'Kenneth, Kwaku DMC, Lp2loose",Sinner
32,Tsele,"Stino Le Thwenny, Kwesta",Tsele
33,Sore (Remix),"Yaw Tog, Stormzy, Kwesi Arthur",Sore (Remix)
34,Dumelang,Tumi Tladi,Dumelang
35,K:HOVA,K.O,K:HOVA
36,Yea Yea Yea,Boutross,Yea Yea Yea
37,Nou tow̩ l̬,Vano Baby,Nou tow̩ l̬
38,Village To City,"Alpha Bankz, Khountri Boss",The Village Dream
39,Ponky,Kagwe Mungai,Ponky
40,East To West,"Dremo, Jeriq",Ea$t N We$t
41,"Loose Guard (I See, I Saw) (Remix)","Legendary Styles, Falz","Loose Guard (I See, I Saw) (Remix)"
42,Busy,"Dygo Boy, Lay Lizzy",Frescol̢ndia (Vol. 01)
43,Ekorso,"Kofi Jamar, Yaw Tog, Ypee",Ekorso
44,THE 5 YEAR PLAN,"A-Reece, Wordz",THE 5 YEAR PLAN
45,Why Would I Lie,DAP The Contract,I'm Glad You Made It This Far
46,Another Level,Olamide,Carpe Diem
47,Happy Day,"Sarkodie, Kuami Eugene",Happy Day
48,Lemme Know (Remix),"LADIPOE, Teni",Lemme Know (Remix)
49,Price to Pay,"Miss Pru DJ, Blaq Diamond, Malome Vector",Price to Pay
50,Yeeko,"Okyeame Kwame, Kuami Eugene",Yeeko
