,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Peru,Fireboy Dml
2,3,Anoti,Wizkid
3,4,Understand,Omah lay
4,5,Essence (feat. Justin Bieber & Tems),Wizkid
5,6,Lie,Kizz Daniel
6,7,Bloody Samaritan,Ayra Starr
7,8,Steady,Wizkid
8,9,Feel Good,MohBad
9,10,Question,Burna Boy
10,11,Monalisa,Lojay
11,12,Bounce,Ruger
12,13,Sinner,Adekunle Gold
13,14,Jail,Kanye West
14,15,Outside,Buju
15,16,Hurricane,Kanye West
16,17,Big Thug Boys,AV
17,18,Feeling,LADIPOE
18,19,Let Me Know,Mayorkun
19,20,Soundgasm,Rema
20,21,Naira Marley,Zinoleesky
21,22,Off The Grid,Kanye West
22,23,Rock,Olamide
23,24,Fashion Killer,Ayra Starr
24,25,Somebody’s Son,Tiwa Savage
25,31,Yaba Buluku (Remix),DJ Tárico
26,32,STAY,The Kid Laroi
27,33,Jonah,Kanye West
28,34,Essence (feat. Tems),Wizkid
29,35,God Breathed,Kanye West
30,36,Confident,Savage
31,37,Moon,Kanye West
32,38,Party Next Door,Dangbana Republik
33,39,Testimony,Buju
34,40,Clash,Dave
35,41,Ginger (feat. Burna Boy),Wizkid
36,42,Ok Ok,Kanye West
37,43,HUSTLE,Teni
38,44,Junya,Kanye West
39,45,Bling (feat. Amaarae & Buju),Blaqbonez
40,46,Felony,CKay
41,47,Dimension (feat. Skepta & Rema),Jae5
42,48,Believe What I Say,Kanye West
43,49,Remote Control,Kanye West
44,50,Reckless,Wizkid
45,51,It Is What It Is,Adekunle Gold
46,52,Jesus Lord,Kanye West
47,53,No Child Left Behind,Kanye West
48,54,24,Kanye West
49,55,Fire Fighter,Kashcoming
50,56,System,Dave
51,57,LV N ATTN feat. Wizkid,Lojay
52,58,Donda,Kanye West
53,59,Blessed (feat. Damian Marley),Wizkid
54,60,Heaven and Hell,Kanye West
55,61,Pure Souls,Kanye West
56,62,Keep My Spirit Alive,Kanye West
57,63,So Cold,Bella Shmurda
58,64,Kilometre,Burna Boy
59,65,Lord I Need You,Kanye West
60,66,Mercy,Falz
61,67,Far Away,Dangbana Republik
62,68,Forever (Remix),Gyakie
63,69,Donda Chant,Kanye West
64,70,Abu Dhabi,Ruger
65,71,Coming,Naira Marley
66,72,Oliver Twist,ArrDee
67,73,Drug Test,Naira Marley
68,74,Alubarika,Zlatan
69,75,Colorado,Zugo
70,76,Longtime (feat. Skepta),Wizkid
71,77,Hallelu,Masterkraft
72,78,Cast (Gen Z Anthem),Ayra Starr
73,79,Infinity,Olamide
74,80,Wid It,Tion Wayne
75,81,New Again,Kanye West
76,82,Bounce,Rema
77,83,Beggie Beggie,Ayra Starr
78,84,Mighty Wine,Wizkid
79,85,Tell The Vision,Kanye West
80,86,RAPSTAR,POLO G
81,87,Show Me,Joeboy
82,88,Kilofeshe,Zinoleesky
83,89,Need To Know,Doja Cat
84,90,Come to Life,Kanye West
85,91,Loved By You,Justin Bieber
86,92,No Stress,Wizkid
87,93,23,Burna Boy
