,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Bloody Samaritan,Ayra Starr
2,3,Peru,Fireboy Dml
3,4,Understand,Omah lay
4,5,Anoti,Wizkid
5,6,High,Adekunle Gold
6,7,Lie,Kizz Daniel
7,8,Feel Good,MohBad
8,9,Essence (feat. Justin Bieber & Tems),Wizkid
9,10,Monalisa,Lojay
10,11,Question,Burna Boy
11,12,Fountains,Drake
12,13,Sinner,Adekunle Gold
13,14,Girls Want Girls,Drake
14,15,Bounce,Ruger
15,16,Outside,Buju
16,17,Big Thug Boys,AV
17,18,Cocaine,Dai Verse
18,19,Fair Trade,Drake
19,20,Fashion Killer,Ayra Starr
20,21,Steady,Wizkid
21,22,INDUSTRY BABY,Lil Nas X
22,23,Feeling,LADIPOE
23,24,Ojuju,Troniq Music
24,25,Way 2 Sexy,Drake
25,31,STAY,The Kid Laroi
26,32,Rock,Olamide
27,33,Medicine,Jaywillz
28,34,In The Bible,Drake
29,35,Somebody’s Son,Tiwa Savage
30,36,Hurricane,Kanye West
31,37,Clash,Dave
32,38,Yaba Buluku (Remix),DJ Tárico
33,39,Confident,Savage
34,40,Party Next Door,Dangbana Republik
35,41,Jail,Kanye West
36,42,Bling (feat. Amaarae & Buju),Blaqbonez
37,43,Papi’s Home,Drake
38,44,TSU,Drake
39,45,Testimony,Buju
40,46,N 2 Deep,Drake
41,47,7am On Bridle Path,Drake
42,48,Dimension (feat. Skepta & Rema),Jae5
43,49,It Is What It Is,Adekunle Gold
44,50,So Cold,Bella Shmurda
45,51,Felony,CKay
46,52,Knife Talk,Drake
47,53,Essence (feat. Tems),Wizkid
48,54,System,Dave
49,55,Cast (Gen Z Anthem),Ayra Starr
50,56,Oliver Twist,ArrDee
51,57,No Friends In The Industry,Drake
52,58,Ginger (feat. Burna Boy),Wizkid
53,59,HUSTLE,Teni
54,60,Pipe Down,Drake
55,61,Get Along Better,Drake
56,62,Kilometre,Burna Boy
57,63,IMY2,Drake
58,64,You Only Live Twice,Drake
59,65,Forever (Remix),Gyakie
60,66,Abu Dhabi,Ruger
61,67,Yebba’s Heartbreak,Drake
62,68,Race My Mind,Drake
63,69,Far Away,Dangbana Republik
64,70,Beggie Beggie,Ayra Starr
65,71,Coming,Naira Marley
66,72,Hallelu,Masterkraft
67,73,Drug Test,Naira Marley
68,74,MY KIND OF BROWN,Johnny Drille
69,75,Bounce,Rema
70,76,Off The Grid,Kanye West
71,77,Bad Habits,Ed Sheeran
72,78,LV N ATTN feat. Wizkid,Lojay
73,79,ova,Johnny Drille
74,80,Wid It,Tion Wayne
75,81,Mercy,Falz
76,82,Praise God,Kanye West
77,83,Reckless,Wizkid
78,84,Blessed (feat. Damian Marley),Wizkid
79,85,Loved By You,Justin Bieber
80,86,RAPSTAR,POLO G
81,87,Need To Know,Doja Cat
82,88,Show Me,Joeboy
83,89,loving is harder,Johnny Drille
84,90,Moon,Kanye West
85,91,Alubarika,Zlatan
86,92,Colorado,Zugo
87,93,Bridgertn,Ayra Starr
