,Position,song,artist
0,1,Feeling,LADIPOE
1,2,La go,Kiff No Beat
2,3,Second Sermon,Black Sherif
3,4,Rollies and Cigars,Sarkodie
4,5,KOLO (feat. Oxlade),Ice Prince
5,6,Do or Die,Kweku Smoke
6,7,Jack,Nasty C
7,8,Aketesia,Kweku Darlington
8,9,Easy Come,$pacely
9,10,In My Bed,Rotimi
10,11,Yafun Yafun,Ajebo Hustlers
11,12,Brag,DETO BLACK
12,13,Ghetto (feat. Nasty C),Kizz Daniel
13,25,Champion,Fireboy Dml
14,26,Ofr3,$pacely
15,27,Best Friend (Bonus Track),Ashs the Best
16,28,Omo X 100,Reminisce
17,29,Forever,Frank Casino
18,30,Best I Ever Had,Nasty C
19,31,Money Calling,P Montana
20,32,Petty,Kim of Diamonds
21,33,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Mann
22,34,Eazy,Nasty C
23,35,Kokonsa,Omar Sterling
24,36,RBG,Elzo Jamdong
25,37,Tesla,DETO BLACK
26,38,My Crew,Kiiwii
27,39,DKM (Ma Pa Mi),Loti
28,40,Hustlers Prayer (feat. A-Reece),25K
29,41,Rise Of The Underdogs 2,Show Dem Camp
30,42,First Sermon,Black Sherif
31,43,Y3 Y3 DOM,Jay Bahd
32,44,Heartbreaker (feat. Nasty C),Blaqbonez
33,45,Decisions,Jay Bahd
34,46,Long Way,Emtee
35,47,Bazenga,Ethic Entertainment
36,48,Wavy (feat. Sarkodie),Khaligraph Jones
37,49,Euphoria,PsychoYP
38,50,Breathe,A-Q
