,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Peru,Fireboy Dml
2,3,Anoti,Wizkid
3,4,Jail,Kanye West
4,5,Lie,Kizz Daniel
5,6,Bloody Samaritan,Ayra Starr
6,7,Essence (feat. Justin Bieber & Tems),Wizkid
7,8,Steady,Wizkid
8,9,Understand,Omah lay
9,10,Question,Burna Boy
10,11,Hurricane,Kanye West
11,12,Feel Good,MohBad
12,13,Sinner,Adekunle Gold
13,14,Monalisa,Lojay
14,15,Off The Grid,Kanye West
15,16,Bounce,Ruger
16,17,Praise God,Kanye West
17,18,Big Thug Boys,AV
18,19,Outside,Buju
19,20,God Breathed,Kanye West
20,21,Jonah,Kanye West
21,22,Feeling,LADIPOE
22,23,Let Me Know,Mayorkun
23,24,Fashion Killer,Ayra Starr
24,25,Moon,Kanye West
25,31,Junya,Kanye West
26,32,Medicine,Jaywillz
27,33,Rock,Olamide
28,34,Cocaine,Dai Verse
29,35,Remote Control,Kanye West
30,36,Heaven and Hell,Kanye West
31,37,Believe What I Say,Kanye West
32,38,24,Kanye West
33,39,Donda Chant,Kanye West
34,40,Jesus Lord,Kanye West
35,41,Donda,Kanye West
36,42,No Child Left Behind,Kanye West
37,43,Somebody’s Son,Tiwa Savage
38,44,Yaba Buluku (Remix),DJ Tárico
39,45,STAY,The Kid Laroi
40,46,Essence (feat. Tems),Wizkid
41,47,Pure Souls,Kanye West
42,48,Keep My Spirit Alive,Kanye West
43,49,Lord I Need You,Kanye West
44,50,Clash,Dave
45,51,Confident,Savage
46,52,Party Next Door,Dangbana Republik
47,53,Reckless,Wizkid
48,54,Ginger (feat. Burna Boy),Wizkid
49,55,Testimony,Buju
50,56,Dimension (feat. Skepta & Rema),Jae5
51,57,Bling (feat. Amaarae & Buju),Blaqbonez
52,58,New Again,Kanye West
53,59,System,Dave
54,60,Colorado,Zugo
55,61,Tell The Vision,Kanye West
56,62,Come to Life,Kanye West
57,63,Felony,CKay
58,64,It Is What It Is,Adekunle Gold
59,65,Blessed (feat. Damian Marley),Wizkid
60,66,LV N ATTN feat. Wizkid,Lojay
61,67,Longtime (feat. Skepta),Wizkid
62,68,Ok Ok pt 2,Kanye West
63,69,Beggie Beggie,Ayra Starr
64,70,HUSTLE,Teni
65,71,Cast (Gen Z Anthem),Ayra Starr
66,72,Jesus Lord pt 2,Kanye West
67,73,Oliver Twist,ArrDee
68,74,Junya pt 2,Kanye West
69,75,Kilometre,Burna Boy
70,76,So Cold,Bella Shmurda
71,77,Far Away,Dangbana Republik
72,78,family ties,Baby Keem
73,79,Forever (Remix),Gyakie
74,80,Drug Test,Naira Marley
75,81,Mercy,Falz
76,82,Abu Dhabi,Ruger
77,83,Coming,Naira Marley
78,84,Mighty Wine,Wizkid
79,85,Wid It,Tion Wayne
80,86,RAPSTAR,POLO G
81,87,Hallelu,Masterkraft
82,88,Alubarika,Zlatan
83,89,Bounce,Rema
84,90,Smile (feat. H.E.R.),Wizkid
85,91,Sisi,Geminigh
86,92,Sweet One,Wizkid
87,93,Fire Fighter,Kashcoming
