rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
84,Tales By Moonlight,Tiwa Savage,60,54,71,78,301,301,301,166.57142857142858
85,Ile Aye (This Life),Josseyan-tizzy,74,301,301,301,53,71,76,168.14285714285714
86,Motley Crew,Post Malone,81,66,91,301,301,301,78,174.14285714285714
87,Late At Night,Roddy Ricch,301,73,90,86,301,89,301,177.28571428571428
88,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,83,89,80,301,92,301,301,178.14285714285714
89,Toxic,Ayra Starr,80,301,89,301,82,301,93,178.14285714285714
90,Essence (feat. Tems),Wizkid,301,301,32,301,301,31,19,183.71428571428572
91,Fire Fighter,Kashcoming,301,301,66,77,50,301,301,199.57142857142858
92,Wade In The Water (Live),The Spirituals,301,57,301,301,81,82,301,203.42857142857142
93,Colorado,Zugo,301,301,92,81,301,68,301,206.42857142857142
94,Peaches,Justin Bieber,301,86,81,79,301,301,301,207.14285714285714
95,Focus,Joeboy,88,83,301,301,88,301,301,209.0
96,Heartbreak Anniversary,Giveon,301,90,301,93,301,87,301,210.57142857142858
97,Yafun Yafun,Ajebo Hustlers,301,93,301,92,87,301,301,210.85714285714286
98,Mood (feat. Buju),Wizkid,301,301,301,301,301,35,1,220.14285714285714
99,Anoti,Wizkid,301,301,301,301,301,42,2,221.28571428571428
100,Steady,Wizkid,301,301,301,301,301,52,3,222.85714285714286
101,Testimony,Buju,301,301,301,301,301,32,42,225.57142857142858
102,Blessed (feat. Damian Marley),Wizkid,301,301,301,301,301,92,23,231.42857142857142
103,Sisi,Geminigh,301,301,301,39,301,86,301,232.85714285714286
104,Ade Ori,Tiwa Savage,69,69,301,301,301,301,301,234.71428571428572
105,Special Kinda,Tiwa Savage,301,64,79,301,301,301,301,235.42857142857142
106,Damages,Tems,91,84,301,301,301,301,301,240.0
107,Dior,Pop Smoke,301,92,85,301,301,301,301,240.28571428571428
108,Karma,Ayra Starr,85,301,301,301,93,301,301,240.42857142857142
109,Reckless,Wizkid,301,301,301,301,301,301,12,259.7142857142857
110,Longtime (feat. Skepta),Wizkid,301,301,301,301,301,301,24,261.42857142857144
111,Smile (feat. H.E.R.),Wizkid,301,301,301,301,301,301,32,262.57142857142856
112,True Love (feat. Tay Iwar & Projexx),Wizkid,301,301,301,301,301,301,33,262.7142857142857
113,Sweet One,Wizkid,301,301,301,301,301,301,34,262.85714285714283
114,No Stress,Wizkid,301,301,301,301,301,301,36,263.14285714285717
115,Piece of Me (feat. Ella Mai),Wizkid,301,301,301,301,301,301,37,263.2857142857143
116,Grace,Wizkid,301,301,301,301,301,301,40,263.7142857142857
117,Gyrate,Wizkid,301,301,301,301,301,301,43,264.14285714285717
118,Roma (feat. Terri),Wizkid,301,301,301,301,301,301,48,264.85714285714283
119,family ties,Baby Keem,301,301,301,301,301,301,52,265.42857142857144
120,Running (To You),Chike,67,301,301,301,301,301,301,267.57142857142856
121,loving is harder,Johnny Drille,301,301,301,301,301,301,67,267.57142857142856
122,Shameful,King Ot,301,301,301,73,301,301,301,268.42857142857144
123,So Cold,Bella Shmurda,301,301,301,301,301,301,81,269.57142857142856
124,Tuntun (New) Era,Josseyan-tizzy,301,301,86,301,301,301,301,270.2857142857143
125,Petite,NSG,301,301,301,301,90,301,301,270.85714285714283
126,Music Messiah,DJ Neptune,90,301,301,301,301,301,301,270.85714285714283
127,Bad Influence,Omah lay,92,301,301,301,301,301,301,271.14285714285717
128,Twenty To One,Dave,301,301,93,301,301,301,301,271.2857142857143
