,Position,song,artist
0,1,Question,Burna Boy
1,2,Peru,Fireboy Dml
2,3,Lie,Kizz Daniel
3,4,Understand,Omah lay
4,5,Bloody Samaritan,Ayra Starr
5,6,Sinner,Adekunle Gold
6,7,Bounce,Ruger
7,8,Monalisa,Lojay
8,9,Essence (feat. Justin Bieber & Tems),Wizkid
9,10,Feel Good,MohBad
10,11,Big Thug Boys,AV
11,12,Outside,Buju
12,13,Fashion Killer,Ayra Starr
13,14,Feeling,LADIPOE
14,15,Ojuju,Troniq Music
15,16,Naira Marley,Zinoleesky
16,17,Soundgasm,Rema
17,18,Rock,Olamide
18,19,Medicine,Jaywillz
19,20,Yaba Buluku (Remix),DJ Tárico
20,21,Let Me Know,Mayorkun
21,22,INDUSTRY BABY,Lil Nas X
22,23,Cocaine,Dai Verse
23,24,STAY,The Kid Laroi
24,25,Party Next Door,Dangbana Republik
25,31,Cast (Gen Z Anthem),Ayra Starr
26,32,Felony,CKay
27,33,Dimension (feat. Skepta & Rema),Jae5
28,34,System,Dave
29,35,Drug Test,Naira Marley
30,36,It Is What It Is,Adekunle Gold
31,37,LV N ATTN feat. Wizkid,Lojay
32,38,Mercy,Falz
33,39,Beggie Beggie,Ayra Starr
34,40,HUSTLE,Teni
35,41,Far Away,Dangbana Republik
36,42,Abu Dhabi,Ruger
37,43,Coming,Naira Marley
38,44,RAPSTAR,POLO G
39,45,Somebody’s Son,Tiwa Savage
40,46,Forever (Remix),Gyakie
41,47,Alubarika,Zlatan
42,48,Oliver Twist,ArrDee
43,49,Kilometre,Burna Boy
44,50,Fire Fighter,Kashcoming
45,51,Hallelu,Masterkraft
46,52,More,Troniq Music
47,53,Ile Aye (This Life),Josseyan-tizzy
48,54,Bounce,Rema
49,55,Show Me,Joeboy
50,56,Pay Me,Troniq Music
51,57,Ke Star (Remix),Focalistic
52,58,Lonely,Ayra Starr
53,59,Loved By You,Justin Bieber
54,60,Kilofeshe,Zinoleesky
55,61,Wid It,Tion Wayne
56,62,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
57,63,All,Rexxie
58,64,Bad Habits,Ed Sheeran
59,65,Lazarus,Dave
60,66,Need To Know,Doja Cat
61,67,Call Me Baby,Cheque
62,68,Infinity,Olamide
63,69,Bridgertn,Ayra Starr
64,70,Snitch,Ayra Starr
65,71,My Advice,Vik dash
66,72,Ginger (feat. Burna Boy),Wizkid
67,73,Somebody Baby,Peruzzi
68,74,Celebrate Me,Patoranking
69,75,History,Cheque
70,76,23,Burna Boy
71,77,Godly,Omah lay
72,78,MONTERO (Call Me By Your Name),Lil Nas X
73,79,PonPon,Olamide
74,80,Tonongo,Lojay
75,81,Wade In The Water (Live),The Spirituals
76,82,Toxic,Ayra Starr
77,83,La La (feat. Ckay),DaVido
78,84,KPK (Ko Por Ke),Rexxie
79,85,KOLO (feat. Oxlade),Ice Prince
80,86,Early Momo,Vector
81,87,Yafun Yafun,Ajebo Hustlers
82,88,Focus,Joeboy
83,89,Pronto,Ajebo Hustlers
84,90,Petite,NSG
85,91,FOR YOU,Teni
86,92,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
87,93,Karma,Ayra Starr
