,Position,song,artist
0,1,Understand,Omah lay
1,2,Sinner,Adekunle Gold
2,3,Bounce,Ruger
3,4,Feeling,LADIPOE
4,5,Outside,Buju
5,6,Soundgasm,Rema
6,7,Big Thug Boys,AV
7,8,Monalisa,Lojay
8,9,Rock,Olamide
9,10,INDUSTRY BABY,Lil Nas X
10,11,Clash,Dave
11,12,System,Dave
12,13,Peru,Fireboy Dml
13,14,Feel Good,MohBad
14,15,Lazarus,Dave
15,16,Naira Marley,Zinoleesky
16,17,Essence (feat. Tems),Wizkid
17,18,Confident,Savage
18,19,Bling (feat. Amaarae & Buju),Blaqbonez
19,20,Yaba Buluku (Remix),DJ Tárico
20,21,Testimony,Buju
21,22,Party Next Door,Dangbana Republik
22,23,Dimension (feat. Skepta & Rema),Jae5
23,24,Felony,CKay
24,25,LV N ATTN feat. Wizkid,Lojay
25,26,Oliver Twist,ArrDee
26,27,Coming,Naira Marley
27,28,It Is What It Is,Adekunle Gold
28,29,Forever (Remix),Gyakie
29,30,Medicine,Jaywillz
30,31,Abu Dhabi,Ruger
31,32,We're All Alone,Dave
32,33,Verdansk,Dave
33,34,Kilometre,Burna Boy
34,35,Bounce,Rema
35,36,Ke Star (Remix),Focalistic
36,37,In The Fire,Dave
37,38,Pronto,Ajebo Hustlers
38,39,Far Away,Dangbana Republik
39,40,Law Of Attraction,Dave
40,41,History,Cheque
41,42,Loved By You,Justin Bieber
42,43,FOR YOU,Teni
43,44,Somebody Baby,Peruzzi
44,45,Hallelu,Masterkraft
45,46,Show Me,Joeboy
46,47,Twenty To One,Dave
47,48,RAPSTAR,POLO G
48,49,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
49,50,Both Sides Of A Smile,Dave
50,51,STAY,The Kid Laroi
51,52,All,Rexxie
52,53,Ginger (feat. Burna Boy),Wizkid
53,54,Cocaine,Dai Verse
54,55,KPK (Ko Por Ke),Rexxie
55,56,Infinity,Olamide
56,57,Kilofeshe,Zinoleesky
57,58,MONTERO (Call Me By Your Name),Lil Nas X
58,59,HUSTLE,Teni
59,60,Tonongo,Lojay
60,61,PonPon,Olamide
61,62,Running (To You),Chike
62,63,Three Rivers,Dave
63,64,Blessed (feat. Damian Marley),Wizkid
64,65,Godly,Omah lay
65,66,Heart Attack,Dave
66,67,The Best (feat. Mayorkun),DaVido
67,68,Celebrate Me,Patoranking
68,69,23,Burna Boy
69,70,La La (feat. Ckay),DaVido
70,71,Bad Habits,Ed Sheeran
71,72,Out There,Dangbana Republik
72,73,Focus,Joeboy
73,74,Late At Night,Roddy Ricch
74,75,Motley Crew,Post Malone
75,76,World,Dangbana Republik
76,77,ROCKSTAR,DaBaby
77,78,Yafun Yafun,Ajebo Hustlers
78,79,Commitment Issues,Central Cee
79,80,Peaches,Justin Bieber
80,81,Call Me Baby,Cheque
81,82,Runaway,AURORA
82,83,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
83,84,Damages,Tems
84,85,Early Momo,Vector
85,86,Lemonade,Internet money
86,87,Heartbreak Anniversary,Giveon
87,88,Bad Influence,Omah lay
88,89,Astronaut In The Ocean,Masked Wolf
89,90,Calling My Phone,Lil Tjay
90,91,KOLO (feat. Oxlade),Ice Prince
91,92,Dior,Pop Smoke
92,93,Rush,Dangbana Republik
93,94,Omo X 100,Reminisce
94,95,Bout A Million,Pop Smoke
95,96,Red Light Green Light,DaBaby
96,97,Survivor's Guilt,Dave
97,98,Real Shiii,Graimmy Thesoh
98,99,Leave The Door Open,Bruno Mars
99,100,Oh No,Alpha P
