,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Lie,Kizz Daniel
2,3,Understand,Omah lay
3,4,Bloody Samaritan,Ayra Starr
4,5,Essence (feat. Justin Bieber & Tems),Wizkid
5,6,Sinner,Adekunle Gold
6,7,Monalisa,Lojay
7,8,Feel Good,MohBad
8,9,Bounce,Ruger
9,10,Outside,Buju
10,11,Big Thug Boys,AV
11,12,Feeling,LADIPOE
12,13,Naira Marley,Zinoleesky
13,14,Let Me Know,Mayorkun
14,15,Fashion Killer,Ayra Starr
15,16,Rock,Olamide
16,17,Soundgasm,Rema
17,18,INDUSTRY BABY,Lil Nas X
18,19,Yaba Buluku (Remix),DJ Tárico
19,20,Medicine,Jaywillz
20,21,Clash,Dave
21,22,Confident,Savage
22,23,Cocaine,Dai Verse
23,24,STAY,The Kid Laroi
24,25,Dimension (feat. Skepta & Rema),Jae5
25,31,Bling (feat. Amaarae & Buju),Blaqbonez
26,32,Essence (feat. Tems),Wizkid
27,33,HUSTLE,Teni
28,34,Ojuju,Troniq Music
29,35,It Is What It Is,Adekunle Gold
30,36,Oliver Twist,ArrDee
31,37,LV N ATTN feat. Wizkid,Lojay
32,38,Drug Test,Naira Marley
33,39,Coming,Naira Marley
34,40,Cast (Gen Z Anthem),Ayra Starr
35,41,RAPSTAR,POLO G
36,42,Mercy,Falz
37,43,Forever (Remix),Gyakie
38,44,Kilometre,Burna Boy
39,45,Beggie Beggie,Ayra Starr
40,46,Lazarus,Dave
41,47,Bounce,Rema
42,48,Abu Dhabi,Ruger
43,49,Loved By You,Justin Bieber
44,50,Wid It,Tion Wayne
45,51,Hallelu,Masterkraft
46,52,Far Away,Dangbana Republik
47,53,Ke Star (Remix),Focalistic
48,54,Alubarika,Zlatan
49,55,Show Me,Joeboy
50,56,Need To Know,Doja Cat
51,57,My Advice,Vik dash
52,58,All,Rexxie
53,59,Work Fada,Tiwa Savage
54,60,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
55,61,Lonely,Ayra Starr
56,62,Bad Habits,Ed Sheeran
57,63,MONTERO (Call Me By Your Name),Lil Nas X
58,64,Kilofeshe,Zinoleesky
59,65,Infinity,Olamide
60,66,Fire Fighter,Kashcoming
61,67,Tonongo,Lojay
62,68,Somebody Baby,Peruzzi
63,69,Ginger (feat. Burna Boy),Wizkid
64,70,PonPon,Olamide
65,71,Tales By Moonlight,Tiwa Savage
66,72,Pay Me,Troniq Music
67,73,More,Troniq Music
68,74,KOLO (feat. Oxlade),Ice Prince
69,75,Snitch,Ayra Starr
70,76,Call Me Baby,Cheque
71,77,Bridgertn,Ayra Starr
72,78,Celebrate Me,Patoranking
73,79,Special Kinda,Tiwa Savage
74,80,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
75,81,Peaches,Justin Bieber
76,82,Pronto,Ajebo Hustlers
77,83,KPK (Ko Por Ke),Rexxie
78,84,History,Cheque
79,85,Dior,Pop Smoke
80,86,Tuntun (New) Era,Josseyan-tizzy
81,87,La La (feat. Ckay),DaVido
82,88,FOR YOU,Teni
83,89,Toxic,Ayra Starr
84,90,Late At Night,Roddy Ricch
85,91,Motley Crew,Post Malone
86,92,Colorado,Zugo
87,93,Twenty To One,Dave
