Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,Bounce,Ruger,PANDEMIC
3,Soundgasm,Rema,Soundgasm
4,Rock,Olamide,Rock
5,Outside,Buju,Outside
6,Confident,"Savage, Buju",Confident
7,Naira Marley,Zinoleesky,Naira Marley
8,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
9,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
10,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
11,It Is What It Is,Adekunle Gold,It Is What It Is
12,Coming,"Naira Marley, Busiswa",Coming
13,Felony,CKay,Boyfriend
14,Big Thug Boys,AV,Big Thug Boys
15,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
16,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
17,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
18,Kilometre,Burna Boy,Kilometre
19,Bounce,Rema,Bounce
20,Party Next Door,"Dangbana Republik, Bella Shmurda",Party Next Door
21,Oliver Twist,ArrDee,Oliver Twist
22,PonPon,"Olamide, FAVE",UY Scuti
23,Yaba Buluku (Remix),"DJ TÃ¡rico, Burna Boy, Preck, Nelson Tivane",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix]
24,Show Me,Joeboy,Somewhere Between Beauty & Magic
25,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
26,Omo X 100,"Reminisce, Olamide",Omo X 100
27,FOR YOU,"Teni, DaVido",FOR YOU
28,HUSTLE,Teni,WONDALAND
29,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
30,History,"Cheque, Fireboy Dml",History
31,Pronto,"Ajebo Hustlers, Omah lay",Pronto
32,Loved By You,"Justin Bieber, Burna Boy",Justice
33,Infinity,"Olamide, Omah lay",Carpe Diem
34,Kilofeshe,Zinoleesky,Chrome
35,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
36,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
37,Monalisa,"Lojay, Sarz",LV N ATTN
