,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Mood (feat. Buju),Wizkid
2,3,Bloody Samaritan,Ayra Starr
3,4,Understand,Omah lay
4,5,Feel Good,MohBad
5,6,Lie,Kizz Daniel
6,7,High,Adekunle Gold
7,8,Anoti,Wizkid
8,9,Monalisa,Lojay
9,10,Essence (feat. Justin Bieber & Tems),Wizkid
10,11,Question,Burna Boy
11,12,Sinner,Adekunle Gold
12,13,Bounce,Ruger
13,14,Cocaine,Dai Verse
14,15,Big Thug Boys,AV
15,16,Outside,Buju
16,17,Fountains,Drake
17,18,Girls Want Girls,Drake
18,19,Fashion Killer,Ayra Starr
19,20,Feeling,LADIPOE
20,21,Soundgasm,Rema
21,22,Let Me Know,Mayorkun
22,23,Ojuju,Troniq Music
23,24,Naira Marley,Zinoleesky
24,25,INDUSTRY BABY,Lil Nas X
25,31,Way 2 Sexy,Drake
26,32,Yaba Buluku (Remix),DJ Tárico
27,33,Somebody’s Son,Tiwa Savage
28,34,Hurricane,Kanye West
29,35,Confident,Savage
30,36,Party Next Door,Dangbana Republik
31,37,Champagne Poetry,Drake
32,38,Clash,Dave
33,39,In The Bible,Drake
34,40,Bling (feat. Amaarae & Buju),Blaqbonez
35,41,Testimony,Buju
36,42,Dimension (feat. Skepta & Rema),Jae5
37,43,Felony,CKay
38,44,Love All,Drake
39,45,Àkọ́kọ́,Brymo
40,46,So Cold,Bella Shmurda
41,47,Oliver Twist,ArrDee
42,48,It Is What It Is,Adekunle Gold
43,49,Méjì Méjì,Brymo
44,50,Essence (feat. Tems),Wizkid
45,51,Jail,Kanye West
46,52,System,Dave
47,53,Cast (Gen Z Anthem),Ayra Starr
48,54,Papi’s Home,Drake
49,55,TSU,Drake
50,56,Coming,Naira Marley
51,57,Ọkùnrin Mẹ́ta (Ẹ̀dùn Ọkàn),Brymo
52,58,Bounce,Rema
53,59,Ginger (feat. Burna Boy),Wizkid
54,60,Abu Dhabi,Ruger
55,61,Knife Talk,Drake
56,62,Tèmi Nì Tèmi,Brymo
57,63,Hallelu,Masterkraft
58,64,Far Away,Dangbana Republik
59,65,Kilometre,Burna Boy
60,66,7am On Bridle Path,Drake
61,67,Ọkán Mi Ti Fọ́ Wẹ́wẹ́,Brymo
62,68,N 2 Deep,Drake
63,69,LV N ATTN feat. Wizkid,Lojay
64,70,Moon,Kanye West
65,71,Forever (Remix),Gyakie
66,72,Mercy,Falz
67,73,Drug Test,Naira Marley
68,74,HUSTLE,Teni
69,75,Beggie Beggie,Ayra Starr
70,76,No Friends In The Industry,Drake
71,77,Alelúyà Méje,Brymo
72,78,Colorado,Zugo
73,79,Òkùnkùn,Brymo
74,80,LOML,Cheque
75,81,Bad Habits,Ed Sheeran
76,82,Wid It,Tion Wayne
77,83,Fura Sára,Brymo
78,84,odo,Johnny Drille
79,85,RAPSTAR,POLO G
80,86,Reckless,Wizkid
81,87,Pipe Down,Drake
82,88,Call Me Baby,Cheque
83,89,Show Me,Joeboy
84,90,Infinity,Olamide
85,91,Need To Know,Doja Cat
86,92,Off The Grid,Kanye West
87,93,Kilofeshe,Zinoleesky
