,Position,song,artist
0,1,Understand,Omah lay
1,2,Sinner,Adekunle Gold
2,3,Bounce,Ruger
3,4,Peru,Fireboy Dml
4,5,Feeling,LADIPOE
5,6,Outside,Buju
6,7,Monalisa,Lojay
7,8,Big Thug Boys,AV
8,9,Soundgasm,Rema
9,10,Feel Good,MohBad
10,11,Rock,Olamide
11,12,INDUSTRY BABY,Lil Nas X
12,13,Clash,Dave
13,14,Essence (feat. Tems),Wizkid
14,15,System,Dave
15,16,Naira Marley,Zinoleesky
16,17,Yaba Buluku (Remix),DJ Tárico
17,18,Confident,Savage
18,19,Testimony,Buju
19,20,Party Next Door,Dangbana Republik
20,21,Bling (feat. Amaarae & Buju),Blaqbonez
21,22,Dimension (feat. Skepta & Rema),Jae5
22,23,Lazarus,Dave
23,24,Coming,Naira Marley
24,25,Felony,CKay
25,26,Cocaine,Dai Verse
26,27,LV N ATTN feat. Wizkid,Lojay
27,28,It Is What It Is,Adekunle Gold
28,29,Oliver Twist,ArrDee
29,30,Forever (Remix),Gyakie
30,31,Abu Dhabi,Ruger
31,32,Kilometre,Burna Boy
32,33,STAY,The Kid Laroi
33,34,Show Me,Joeboy
34,35,HUSTLE,Teni
35,36,Far Away,Dangbana Republik
36,37,Ke Star (Remix),Focalistic
37,38,Medicine,Jaywillz
38,39,Bounce,Rema
39,40,Hallelu,Masterkraft
40,41,Somebody Baby,Peruzzi
41,42,FOR YOU,Teni
42,43,Pronto,Ajebo Hustlers
43,44,Loved By You,Justin Bieber
44,45,History,Cheque
45,46,Kilofeshe,Zinoleesky
46,47,MONTERO (Call Me By Your Name),Lil Nas X
47,48,Ginger (feat. Burna Boy),Wizkid
48,49,Running (To You),Chike
49,50,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
50,51,KPK (Ko Por Ke),Rexxie
51,52,Infinity,Olamide
52,53,All,Rexxie
53,54,Tonongo,Lojay
54,55,PonPon,Olamide
55,56,Verdansk,Dave
56,57,Godly,Omah lay
57,58,Law Of Attraction,Dave
58,59,RAPSTAR,POLO G
59,60,Call Me Baby,Cheque
60,61,Mercy,Falz
61,62,We're All Alone,Dave
62,63,Focus,Joeboy
63,64,23,Burna Boy
64,65,Celebrate Me,Patoranking
65,66,In The Fire,Dave
66,67,Bloody Samaritan,Ayra Starr
67,68,Both Sides Of A Smile,Dave
68,69,Peaches,Justin Bieber
69,70,World,Dangbana Republik
70,71,Bad Habits,Ed Sheeran
71,72,KOLO (feat. Oxlade),Ice Prince
72,73,Twenty To One,Dave
73,74,La La (feat. Ckay),DaVido
74,75,Commitment Issues,Central Cee
75,76,ROCKSTAR,DaBaby
76,77,Ile Aye (This Life),Josseyan-tizzy
77,78,Late At Night,Roddy Ricch
78,79,Heartbreak Anniversary,Giveon
79,80,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
80,81,Nirvana,Skepta
81,82,Dior,Pop Smoke
82,83,Ruger,Ruger
83,84,Out There,Dangbana Republik
84,85,Bad Influence,Omah lay
85,86,Astronaut In The Ocean,Masked Wolf
86,87,Damages,Tems
87,88,Rush,Dangbana Republik
88,89,The Best (feat. Mayorkun),DaVido
89,90,Jack,Nasty C
90,91,Blessed (feat. Damian Marley),Wizkid
91,92,Lemonade,Internet money
92,93,Yafun Yafun,Ajebo Hustlers
93,94,Early Momo,Vector
94,95,Leave The Door Open,Bruno Mars
95,96,Pray,Victony
96,97,Heart Attack,Dave
97,98,Lit Like This,Skepta
98,99,PEPE,L.A.X
99,100,Three Rivers,Dave
