,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Bloody Samaritan,Ayra Starr
2,3,Mood (feat. Buju),Wizkid
3,4,High,Adekunle Gold
4,5,Understand,Omah lay
5,6,Lie,Kizz Daniel
6,7,Anoti,Wizkid
7,8,Feel Good,MohBad
8,9,Monalisa,Lojay
9,10,Question,Burna Boy
10,11,Essence (feat. Justin Bieber & Tems),Wizkid
11,12,Bounce,Ruger
12,13,Sinner,Adekunle Gold
13,14,Cocaine,Dai Verse
14,15,Big Thug Boys,AV
15,16,Outside,Buju
16,17,Crazy Tings,Tems
17,18,Feeling,LADIPOE
18,19,Girls Want Girls,Drake
19,20,Fashion Killer,Ayra Starr
20,21,Ojuju,Troniq Music
21,22,Let Me Know,Mayorkun
22,23,Soundgasm,Rema
23,24,Fountains,Drake
24,25,Rock,Olamide
