Position,artist,album
1,Wizkid,Made In Lagos: Deluxe Edition
2,PsychoYP,Euphoria
3,Troniq Music,Eclipse
4,Tiwa Savage,Water & Garri
5,Ayra Starr,19 & Dangerous
6,Jaido P,Shopla
7,Rod Wave,SoulFly (Deluxe Version)
8,Wizkid,Made In Lagos
9,Doja Cat,Planet Her
10,Dave,We're All Alone In This Together
11,blackbear,misery lake
12,Fireboy Dml,APOLLO
13,Dangbana Republik,High Tension 2.0
14,Victor AD,Nothing To Prove
15,Burna Boy,Twice As Tall
16,Teni,WONDALAND
17,Lojay,LV N ATTN
18,Yung Bleu,Moon Boy
19,Reeplay,Abnormal Normality
20,Lorde,Solar Power
21,Pop Smoke,Faith
22,Skepta,All In
23,Liya,Alari
24,Deemoe,Underrated
25,Craig David,Born to Do It
26,Simi,Simisola
27,The Cavemen.,ROOTS
28,Ayra Starr,Ayra Starr
29,Ruger,PANDEMIC
30,Lin-Manuel Miranda,Vivo (Original Motion Picture Soundtrack)
31,Jinmi Abduls,Little Lagos
32,Various Artists,Let It Shine (Original Soundtrack)
33,Burna Boy,African Giant
34,Stray Kids,NOEASY
35,POLO G,Hall of Fame
36,G4 Boyz,S.C.A.M
37,Fireboy Dml,"Laughter, Tears & Goosebumps"
38,Sainte,Local Mvp
39,Nasty C,Strings And Bling
40,Billie Eilish,Happier Than Ever
41,Trippie Redd,Trip At Knight (Complete Edition)
42,Juice Wrld,Legends Never Die
43,Playboi Carti,Die Lit
44,Kida Kudz,TOP MEMBA
45,G Herbo,25
46,Various Artists,Budweiser (Remix)
47,YNW Melly,Just A Matter of Slime
48,Trippie Redd,Trip At Knight
49,Wizkid,Superstar
50,Brymo,Live! At TerraKulture Arena
51,Kanye West,JESUS IS KING
52,DaVido,A Good Time
53,Enya,The Very Best of Enya (Deluxe Edition)
54,POLO G,THE GOAT
55,Maverick City Music,Maverick City Vol. 3 Part 1
56,Mannywellz,Mirage
57,Niniola,Colours and Sounds
58,Adekunle Gold,"Afro Pop, Vol. 1"
59,Lil Baby,My Turn (Deluxe)
60,King Von,Welcome to O'Block
61,Dutchavelli,Dutch From The 5th
62,Lucky Dube,House of Exile
63,J. Cole,The Off-Season
64,Abra Cadabra,Product of My Environment
65,Zinoleesky,Chrome
66,Kota the Friend,"Lyrics to GO, Vol. 2"
67,Jon Bellion,The Separation
68,Central Cee,Wild West
69,Chika,ONCE UPON A TIME
70,Mainland BlockParty,Confluence Project
71,Ali Gatie,The Idea Of Her
72,Justin Bieber,Justice
73,6lack,East Atlanta Love Letter
74,Tomi Thomas,Hopeless Romantic
75,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
76,Obongjayar,Sweetness
77,Doja Cat,Planet Her (Deluxe)
78,9ice,Tradition
79,The Weeknd,Starboy
80,Russ,Just In Case
81,Lil Nas X,7 EP
82,Quavo,QUAVO HUNCHO
83,Various Artists,Suicide Squad: The Album
84,Mannywellz,SoulFro
85,Adele,25
86,Pop Smoke,Shoot For The Stars Aim For The Moon
87,Eli Fross,CESAR
88,Digga D,Made In The Pyrex
89,NAV,NAV
90,Ed Sheeran,Deezer Sessions
91,Covet,technicolor
92,Bankrol Hayden,Pain is Temporary
93,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
94,Various Artists,"Projeto Dance: Funaná & Batuku, Vol.1"
95,Cardio Workout,2021 Fitness Playlist
96,Phil Thompson,Lion of Judah
97,Odunsi (The Engine),rare.
98,Migos,Culture
99,Maverick City Music,Maverick City Vol. 2
100,Stormzy,Heavy Is The Head
