,Position,song,artist
0,1,Bounce,Ruger
1,2,Feeling,LADIPOE
2,3,Soundgasm,Rema
3,4,Forever (Remix),Gyakie
4,5,Infinity,Olamide
5,6,Maserati (Remix),Olakira
6,7,Bad Influence,Omah lay
7,8,It Is What It Is,Adekunle Gold
8,9,FOR YOU,Teni
9,10,Damages,Tems
10,11,Outside,Buju
11,12,Understand,Omah lay
12,13,Monalisa,Lojay
13,14,Big Thug Boys,AV
14,15,Sinner,Adekunle Gold
15,16,Kamata,Diamond Platnumz
16,17,Essence (feat. Tems),Wizkid
17,18,Yaba Buluku (Remix),DJ Tárico
18,19,Slow Down,King Promise
19,20,Coachella,Sarkodie
20,21,Running (To You),Chike
21,22,Second Sermon,Black Sherif
22,23,Baby I'm Jealous,Mr Eazi
23,24,Mood,Mr Drew
24,25,Vibration,Fireboy Dml
25,26,Rock,Olamide
26,27,Banyana,DJ Maphorisa
27,28,Kilometre,Burna Boy
28,29,Godly,Omah lay
29,30,Coming,Naira Marley
30,31,LV N ATTN feat. Wizkid,Lojay
31,32,Activate,Stonebwoy
32,33,Ke Star (Remix),Focalistic
33,34,AG Baby,Adekunle Gold
34,35,History,Cheque
35,36,Bling (feat. Amaarae & Buju),Blaqbonez
36,37,Felony,CKay
37,38,Summeryomuthi,Blaq Diamond
38,39,23,Burna Boy
39,40,Hallelu,Masterkraft
40,41,Somebody Baby,Peruzzi
41,42,Woman,Rema
42,43,MAD,Sarz
43,44,Away,Ayra Starr
44,45,Joro,Wizkid
45,46,The Best (feat. Mayorkun),DaVido
46,47,Baajo,Kwesi Arthur
47,48,Kilofeshe,Zinoleesky
48,49,Again,Wande Coal
49,50,Champion,Fireboy Dml
