Position,artist,album
1,Kanye West,Donda
2,Olivia Rodrigo,SOUR
3,Max Richter,My Brilliant Friend (TV Series Soundtrack)
4,Theoretical Cemetary,Spark Of Guards
5,Snow Patrol,Eyes Open
6,Fabrizio De André,In Direzione Ostinata e Contraria
7,Billie Eilish,Happier Than Ever
8,Various Artists,Electrical Language (Independent British Synth Pop 78-84)
9,Simon & Garfunkel,The Best Of Simon & Garfunkel
10,Aimee Mann,Lost In Space (Deluxe Edition)
11,ABBA,ABBA Gold
12,Billy Talent,Billy Talent
13,Big Red Machine,How Long Do You Think It's Gonna Last?
14,Blanco,City Of God
15,Bible Study Music,"Religious Music: Best Praise and Worship Instrumental Songs (Piano, Cello & Guitar)"
16,Taylor Swift,Fearless (Taylor's Version)
17,Taylor Swift,folklore
18,Sacred Earth,Breathing Space
19,Adele,25
20,DJ Albino,90s Golden Dance Classics Vol. 1
21,James Vincent McMorrow,Early in the Morning (Special Edition)
22,Bryan Adams,MTV Unplugged
23,Manuel Granada: Spanish Guitar,Spanish Guitar Latin Hits 2
24,Various Artists,Lyricist Lounge Volume 2
25,Madonna,True Blue (Reissue)
26,Linkin Park,Reanimation
27,OneRepublic,Human (Deluxe)
28,CHVRCHES,Screen Violence
29,Tiwa Savage,Water & Garri
30,Cristobal Tapia De Veer,The White Lotus (Soundtrack from the HBO® Original Limited Series)
31,Orla Gartland,Woman on the Internet
32,BK,Hard House Bible 2
33,Emaa,Macii Infloresc Iarna
34,Eagles,Live From The Forum MMXVIII
35,Sacred Earth,Into the Light
36,Nightlife Music Zone,"Summer Party Anthems 2019: Collection of Best Chillout Beats for Summer Beach, Pool or Garden Party, Deep Pumping Electro House Mu"
37,Phoebe Bridgers,Stranger in the Alps (Deluxe Edition)
38,Various Artists,A pas de géant (Comptines et chansons pour l'enfant qui grandit)
39,Loreena McKennitt,The Journey so Far - The Best of Loreena McKennitt (Deluxe Edition)
40,Lena Martell,One Day At a Time - The Ultimate Collection
41,Ariana Grande,My Everything
42,Brenda Wootton,"The Voice of Cornwall - La grande Cornouaillaise, vol. 1 (Celtic Music from Keltia Musique)"
43,Simon & Garfunkel,Bridge Over Troubled Water
44,Wolfgang Amadeus Mozart,"Mozart Lullabies, Nursery Rhymes Songs, Twinkle Twinkle Little Star and Other Classical Music Favourites. Mozart for Baby"
45,Dire Straits,Communiqué
46,The Calling,The Best Of...
47,Kapela ze Wsi Warszawa,Wiosna Ludu
48,Thin Lizzy,Live And Dangerous (Deluxe Edition)
49,Adele,21
50,Dolly Parton,The Essential Dolly Parton
51,Various Artists,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition)
52,Luke Kelly,The Definitive Collection
53,Queen,Greatest Hits II (2011 Remaster)
54,Queen,Live At Wembley Stadium
55,Pink Floyd,Pulse
56,Irish Folk Players,50 Irish Classic Folk Songs
57,Whitney Houston,The Bodyguard - Original Soundtrack Album
58,Sarah McLachlan,Surfacing
59,Obie Trice,Cheers
60,Pearl Jam,Ten
61,Elvis Presley,Elvis 30 #1 Hits
62,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version)
63,Kanye West,My Beautiful Dark Twisted Fantasy
64,Mumford & Sons,Sigh No More (Deluxe)
65,Pearl Jam,Yield
66,Various Artists,Tangled
67,Slowdive,Pygmalion
68,Bruce Springsteen,Darkness On the Edge of Town
69,Perry Como,The Essential Perry Como
70,Bee Gees,One Night Only
71,The Cure,Greatest Hits
72,#1 Garth Brooks Tribute Band,The Ultimate Tribute To Garth Brooks
73,Taylor Swift,Speak Now
74,Hole,Celebrity Skin
75,Paul McCartney,Band On The Run (Standard)
76,Bob Marley & The Wailers,Rastaman Vibration
77,Various Artists,Classic Love / The Ultimate Ballads Album
78,The Script,Science & Faith
79,WC,Ghetto Heisman
80,Cast of Camp Rock 2,Camp Rock 2: The Final Jam
81,The Cure,Disintegration
82,Various Artists,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)
83,Various Artists,The Twilight Saga: Eclipse - The Score
84,Tori Amos,From The Choir Girl Hotel
85,Keith Sweat,Still in the Game
86,P.O.D,Testify
87,Tori Amos,Strange Little Girls
88,Paul Simon,The Essential Paul Simon
89,Kevin Hart,Seriously Funny
90,Talking Heads,Fear of Music (Deluxe Version)
91,Various Artists,StarStruck
92,R.E.M.,Murmur
93,R.E.M.,Reckoning
94,Kylie Minogue,Aphrodite
95,Eminem,Recovery
96,All Time Low,"So Wrong, It's Right"
97,Casting Crowns,Casting Crowns
98,The Rolling Stones,Exile On Main Street
99,The Dubliners,Spirit Of The Irish: The Ultimate Collection
100,Maxïmo Park,Our Earthly Pleasures
