rank,song,artist,apple,boom,spotify,RT
1,Feeling,"LADIPOE, Buju",6,10,2,6.0
2,Rock,Olamide,13,17,12,14.0
3,Bounce,Ruger,14,38,7,19.666666666666668
4,Kamata,Diamond Platnumz,48,3,18,23.0
5,Kilometre,Burna Boy,51,23,4,26.0
6,Running (To You),"Chike, Simi",62,15,11,29.333333333333332
7,Somebody (feat. Phyno),Olamide,3,55,40,32.666666666666664
8,Slow Down,King Promise,7,65,31,34.333333333333336
9,Forever (Remix),"Gyakie, Omah Lay",58,36,9,34.333333333333336
10,Coming,"Naira Marley, Busiswa",57,53,8,39.333333333333336
11,Door,Joeboy,200,26,3,76.33333333333333
12,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,9,27,78.66666666666667
13,Baikoko,Mbosso,200,6,32,79.33333333333333
14,Nimekuzoea,Nandy,12,2,225,79.66666666666667
15,Focus,Joeboy,200,28,15,81.0
16,Soundgasm,Rema,9,250,1,86.66666666666667
17,Big Thug Boys,AV,18,19,225,87.33333333333333
18,Show Me,Joeboy,21,21,225,89.0
19,Dimension (feat. Skepta & Rema),JAE5,23,250,6,93.0
20,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",47,14,225,95.33333333333333
21,Bobo,Aya Nakamura,15,51,225,97.0
22,Outside,Buju,8,59,225,97.33333333333333
23,Send Me Nudes (feat. Joey B),KiDi,200,89,5,98.0
24,Confident,"Savage, Buju",29,250,16,98.33333333333333
25,Yaba Buluku (feat. Preck & Nelson Tivane),"DJ Tarico, Burna Boy",25,250,21,98.66666666666667
26,Siyathandana,Cassper Nyovest,2,250,45,99.0
27,Essence (feat. Tems),Wizkid,4,250,46,100.0
28,Celebrate Me,Patoranking,200,77,26,101.0
29,Understand,Omah Lay,5,250,51,102.0
30,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,53,29,225,102.33333333333333
31,History ft. Fireboy DML,"Cheque, Fireboy DML",60,24,225,103.0
32,For You,Teni,50,37,225,104.0
33,Niko Sawa,Nviiri The Storyteller,36,250,38,108.0
34,Kilofese,Zinoleesky,65,250,14,109.66666666666667
35,GUPTA,"Focalistic, Mr JazziQ",54,250,33,112.33333333333333
36,John Wick,De Mthuda,55,250,36,113.66666666666667
