rank,song,artist,Previous week,weeks on chart
1,Peru,Fireboy DML,2,10
2,Understand,Omah Lay,1,10
3,Question (feat. Don Jazzy),Burna Boy,42,10
4,Feeling ft. Buju,LADIPOE and  Buju,4,10
5,Essence (feat. Tems),Wizkid,7,9
6,Bounce,Ruger,5,10
7,Mood,Wizkid,66,10
8,Kamata,Diamond Platnumz,13,10
9,Lie,Kizz Daniel,3,10
10,Kilometre,Burna Boy,14,10
11,Soundgasm,Rema,15,10
12,Second Sermon,Black Sherif,16,10
13,NEED ME,Gyakie,40,10
14,Rock,Olamide,10,10
15,Big Thug Boys,AV,6,10
16,Coming ft. Busiswa,Naira Marley and  Busiswa,12,10
17,Sinner,Adekunle Gold and  Lucky Daye,8,3
18,Running (To You) ft. Simi,Chike and  Simi,9,6
19,Ring My Line (feat. Headie One),King Promise,19,10
20,Touch It,KiDi,20,10
21,Infinity ft. Omah Lay,Olamide,21,10
22,Godly,Omah Lay,24,4
23,History ft. Fireboy DML,Cheque,27,6
24,Anoti,WizKid,39,4
25,Forever (Remix) ft. Omah Lay,Gyakie,25,6
26,Door ft. Kwesi Arthur,Joeboy,29,10
27,LV N ATTN feat. Wizkid,"Lojay, WizKid",33,9
28,Naanzaje,Diamond Platnumz,0,1
29,Medicine,Jaywillz,32,4
30,Izolo,DJ Maphorisa and  Tyler ICU,34,9
31,Ojuju,Troniq Music and  Oxlade,31,8
32,Show Me,Joeboy,35,5
33,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,36,3
34,Felony,CKay,37,7
35,Joy,Blxckie and  Oxlade,38,6
36,Somebodyxe2x80x99s Son ft. Brandy,Tiwa Savage,0,1
37,Feel Good,MohBad,45,4
38,Testimony,Buju,0,1
39,Shopping Spree (feat. Chris Brown & Young Thug),Davido,44,2
40,Ex,Nikita Keringxe2x80x99,47,3
41,Dimension (feat. Skepta & Rema),JAE5,46,9
42,Non Living Thing (feat. Oxlade),Sarkodie,48,2
43,Emlanjeni,De Mthuda and  Sir Trill,51,2
44,High,Adekunle Gold and  Davido,0,1
45,Ba Xolele,Dzo 729,49,3
46,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,52,3
47,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico and  Burna Boy,11,4
48,Bobo,Aya Nakamura,54,10
49,Songi Songi ft. Hiro,Maud Elka,50,3
50,It Is What It Is,Adekunle Gold,56,2
51,Vibration,Fireboy Dml,63,10
52,Coachella ft. Kwesi Arthur,Sarkodie,64,8
53,Activate,Stonebwoy,68,3
54,Such Kinda Love ft. Jovial,Otile Brown,60,6
55,First Sermon,Black Sherif,61,8
56,Ke Star (Remix),Focalistic,70,4
57,Nimekuzoea,Nandy,41,2
58,AG Baby,Adekunle Gold,71,6
59,Bling (feat. Amaarae & Buju),Blaqbonez,73,6
60,Banyana,DJ Maphorisa,75,3
61,Sweet ft. GUCHI,Rayvanny,92,8
62,MAD,Sarz,79,8
63,23,Burna Boy,77,6
64,Jennifer,GUCHI,74,6
65,Hallelu,Masterkraft,80,8
66,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,22,6
67,Yalaaaa,Zuchu,100,6
68,Nyumba Ndogo,Zuchu,65,6
69,Teacher,Harmonize,0,1
70,Fake Ex,Yaw Tog,76,6
71,Jealous (feat. Mayorkun) ,Alikiba,23,5
72,E Choke ft. Mr Drew,Sefa,0,1
73,Benzema,Guchi,0,1
74,Sukari,Zuchu,72,3
75,Kiss ft. Rayvanny,Bahati,69,4
76,Celebrate Me,Patoranking,88,6
77,Adom Grace,Diana Hamilton,85,10
78,Number One ft. Zuchu,Rayvanny,83,6
79,Summer Bounce,Blaq Jerzee,0,1
80,Jeraha ft. Jovial,Otile Brown,81,4
81,Fashion Killer,Ayra Starr,96,7
82,Fiction (feat. Busy Signal),Rotimi,0,1
83,Jipinde,Ibraah,0,1
84,Focus,Joeboy,91,3
85,Ababuyanga,Aymos,87,5
86,Coachella feat. Kwesi Arthur,Sarkodie,97,6
87,Bankroll (feat. Tiwa Savage & Avelino),Not3s,0,1
88,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith,95,3
89,Steady,WizKid,0,1
90,Salute (feat. Rudeboy),Alikiba,78,2
91,Somebody’s Son (Ft Brandy),Tiwa Savage,90,8
92,Enfant de Dieu ( Lhymne national),Ks bloom,93,3
93,Tabia Za Wakenya (Kanairo),Mejja,0,1
94,Abule,Patoranking,94,3
95,iStradi (feat. PRO),Big Zulu,0,1
96,Xool Ma Ci Bxc3xabt (feat. Jeeba),Iss 814,0,1
97,SPUNK,WurlD,0,1
98,Destiny,Black Sherif,0,1
99,Off The Grid,Kanye West,0,1
100,"Thy Grace, Pt. 2",Kofi Kinaata,0,1
