,artist,song
0,Otile Brown,Such Kinda Love ft. Jovial
1,Nandy,Nimekuzoea
2,Omah Lay,Understand
3,Diamond Platnumz,Kamata
4,Zuchu,Nyumba Ndogo
5,GUCHI,Jennifer (Remix) ft. Rayvanny
6,Mbosso,Baikoko ft. Diamond Platnumz
7,LADIPOE,Feeling ft. Buju
8,Alikiba,Salute (feat. Rudeboy)
9,Omah Lay,Godly
10,Sarkodie,Coachella ft. Kwesi Arthur
11,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
12,AV,Big Thug Boys
13,Olamide,Infinity ft. Omah Lay
14,Chike,Running (To You) ft. Simi
15,Zuchu,Sukari
16,KiDi,Touch It
17,Joeboy,Show Me
18,Burna Boy,Kilometre
19,Otile Brown,Jeraha ft. Jovial
20,Joeboy,Door ft. Kwesi Arthur
21,Cheque,History ft. Fireboy DML
22,Rayvanny,Number One ft. Zuchu
23,Joeboy,Focus
24,Harmonize,Sandakalawe
25,Sefa,E Choke ft. Mr Drew
26,JAY BAHD,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga"
27,Ks bloom,Enfant de Dieu ( L\xe2\x80\x99hymne national)
28,Mbosso,Yalaah
29,Diana Hamilton,Adom Grace
30,Marioo (TZ),For You
31,Ruger,Bounce
32,Patoranking,Abule
33,Anjella,Nobody
34,Mbosso,Mtaalam
35,Gyakie,Forever (Remix) ft. Omah Lay
36,Kwame Yogot,Biibi Besi ft. Kuami Eugene
37,Mejja,Tabia Za Wakenya (Kanairo)
38,Killy (TZ),Mwisho
39,Sarkodie,Vibration ft. Vic Mensa
40,Jay Melody,Najieka
41,Mr Drew,Mood
42,Zuchu,Cheche ft. Diamond Platnumz
43,Naira Marley,Coming ft. Busiswa
44,Olamide,Need For Speed
45,KS Bloom,La Mour
46,Dadju,Mon soleil ft. Anitta
47,Barnaba Classic  (TZ),Cheketua 
48,Rayvanny,Lala ft. Jux
49,Steve Crown,You Are Yahweh
50,Sarkodie,Happy Day ft. Kuami Eugene
51,Buju,Outside
52,Ada Ehi,"Congratulations ft, Buchi"
53,Otile Brown,Regina ft. Jux
54,Jaywillz,Medicine
55,Nandy,New Couple
56,Otile Brown,In Love ft. AliKiba
57,Otile Brown,Dusuma ft. Meddy
58,Omah Lay,Bad Influence 
59,Zuchu, Litawachoma ft. Diamond Platnumz
60,Harmonize,Vibaya
61,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
62,Judikay,Capable God
63,King Promise,Slow Down
64,Kuami Eugene,Dollar On You
65,Mbosso,Kiss Me
66,Killy (TZ),Roho
67,Lava Lava,Nikomeshe
68,Judikay,Omemma ((Live))
69,Jeeba,Guuy
70,Yaw Tog,Fake Ex
71,Yaw Tog,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur
72,Omah Lay,Bad Influence
73,Dieyla Gueye,M\'a Ngui Baxx
74,Olamide,Somebody ft. Phyno
75,O\'Kenneth,AGYEIWAA ft. Reggie & City Boy
76,Mr Eazi,Rotate (Freestyle)
77,Adekunle Gold,Sinner ft. Lucky Daye
78,Omah Lay,You
79,Mbosso,Fall
80,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
81,KiDi,Send Me Nudes ft. Joey B
82,Willy Paul,Odi Love ft. Klons Melody
83,Moses Bliss,Too Faithful
84,Fireboy DML,Like I Do
85,KiDi,Golden Boy
86,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
87,Joeboy,Call
88,Medikal,Ama
89,Victor AD,OLOFOFO
90,Harmonize,Attitude ft. Awilo Longomba & H Baba
91,Phyno,Bia
92,Omah Lay,Damn
93,Liam Voice,Omwoyo
94,Diamond Platnumz,Waah! ft. Koffi Olomide
95,Omah Lay,Lo Lo
96,Nikita Kering\',Ex
97,Patoranking,Celebrate Me
98,Omah Lay,Can\'t Relate
99,Tayc,Le temps
