,artist,song
0,Black Sherif,Second Sermon
1,Omah Lay,Understand
2,Otile Brown,Such Kinda Love ft. Jovial
3,Nandy,Nimekuzoea
4,Black Sherif,First Sermon
5,Fireboy DML,Peru
6,KiDi,Touch It
7,LADIPOE,Feeling ft. Buju
8,Kizz Daniel,Lie
9,WizKid,Essence ft. Justin Bieber & Tems
10,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)"
11,Omah Lay,Godly
12,Zuchu,Nyumba Ndogo
13,Mbosso,Baikoko ft. Diamond Platnumz
14,Olamide,Infinity ft. Omah Lay
15,Alikiba,Jealous (feat. Mayorkun) 
16,Jaywillz,Medicine
17,Joeboy,Show Me
18,Bahati,Kiss ft. Rayvanny
19,Joeboy,Door ft. Kwesi Arthur
20,Zuchu,Sukari
21,GUCHI,Jennifer
22,Burna Boy,Kilometre
23,Diamond Platnumz,Kamata
24,Yaw Tog,Fake Ex
25,Alikiba,Salute (feat. Rudeboy)
26,Otile Brown,Jeraha ft. Jovial
27,Rayvanny,Number One ft. Zuchu
28,Cheque,History ft. Fireboy DML
29,Diana Hamilton,Adom Grace
30,Ruger,Bounce
31,AV,Big Thug Boys
32,Mbosso,Mtaalam
33,Joeboy,Focus
34,Adekunle Gold,Sinner ft. Lucky Daye
35,Rayvanny,Sweet ft. GUCHI
36,Chike,Running (To You) ft. Simi
37,Ks bloom,Enfant de Dieu ( Lxe2x80x99hymne national)
38,Patoranking,Abule
39,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
40,Sarkodie,Coachella feat. Kwesi Arthur
41,Mbosso,Yalaah
42,Zuchu,Yalaaaa
43,Olamide,Rock
44,Mejja,Tabia Za Wakenya (Kanairo)
45,Killy (TZ),Mwisho
46,Marioo (TZ),For You
47,GUCHI,Jennifer (Remix) ft. Rayvanny
48,Ada Ehi,"Congratulations ft, Buchi"
49,Gyakie,NEED ME
50,Black Sherif,Destiny
51,Sefa,E Choke ft. Mr Drew
52,Black Sherif,Ankonam
53,Steve Crown,You Are Yahweh
54,Burna Boy,Question ft. Don Jazzy
55,Harmonize,Sandakalawe
56,Fameye,Praise
57,KS Bloom,La Mour
58,Bahati,Pete Yangu ft. Nadia Mukami
59,Mohbad,Feel Good
60,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
61,Sarkodie,Jaara feat. Medikal
62,Diamond Platnumz,Naanzaje
63,Ibraah,Jipinde
64,Omah Lay,Bad Influence 
65,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
66,Rayvanny,Lala ft. Jux
67,Sarkodie,Non Living Thing feat. Oxlade
68,Mayorkun,Let Me Know
69,Maud Elka,Songi Songi ft. Hiro
70,Malcolm Nuna,Money Man (Remix)
71,Otile Brown,Dusuma ft. Meddy
72,Cheque,Call Me Baby
73,King Promise,Ring My Line ft. Headie One
74,JAY BAHD,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga"
75,Otile Brown,Regina ft. Jux
76,Otile Brown,In Love ft. AliKiba
77,Omah Lay,Bad Influence
78,Anjella,Nobody
79,Buju,Outside
80,Fireboy DML,Like I Do
81,Moses Bliss,Too Faithful
82,Tiwa Savage,Somebodyxe2x80x99s Son ft. Brandy
83,Zuchu,Cheche ft. Diamond Platnumz
84,Naira Marley,Drug Test
85,Fally Ipupa,8xc3xa8me merveille
86,Medikal,Accra
87,Aya Nakamura,Bobo
88,Mr Drew,Pains
89,Iss 814,Xool Ma Ci Bxc3xabt (feat. Jeeba)
90,Kofi Kinaata,"Thy Grace, Pt. 2"
91,Naira Marley,Coming ft. Busiswa
92,Omah Lay,Lo Lo
93,Mbosso,Fall
94,Guchi,Benzema
95,Zuchu, Litawachoma ft. Diamond Platnumz
96,Liam Voice,Omwoyo
97,Mbosso,Kiss Me
98,Fally Ipupa,Amore
99,Harmonize,Vibaya
