rank,song,artist,apple,boom,spotify,deezer,RT
1,Feeling,"LADIPOE, Buju",6,8,2,2,4.5
2,Understand,Omah Lay,5,3,3,17,7.0
3,Bounce,Ruger,9,32,14,1,14.0
4,Kamata,Diamond Platnumz,56,4,8,9,19.25
5,Kilometre,Burna Boy,30,19,13,26,22.0
6,Running (To You),"Chike, Simi",68,15,18,18,29.75
7,Forever (Remix),"Gyakie, Omah Lay",64,36,16,4,30.0
8,Coming,"Naira Marley, Busiswa",36,44,12,28,30.0
9,Slow Down,King Promise,7,64,41,16,32.0
10,Soundgasm,Rema,10,250,5,3,67.0
11,Essence (feat. Tems),Wizkid,4,250,1,15,67.5
12,Big Thug Boys,AV,26,13,225,12,69.0
13,Outside,Buju,3,52,225,13,73.25
14,Rock,Olamide,11,250,17,25,75.75
15,Coachella,"Sarkodie, Kwesi Arthur",55,11,225,14,76.25
16,FOR YOU,Teni,58,31,225,8,80.5
17,History,"Cheque, Fireboy DML",66,22,225,31,86.0
18,Sinner,"Adekunle Gold, Lucky Daye",28,78,7,270,95.75
19,Somebody (feat. Phyno),Olamide,23,75,48,270,104.0
20,Infinity,Olamide,200,14,225,5,111.0
21,Godly,Omah Lay,200,10,225,24,114.75
22,Banyana,"DJ Maphorisa, Sir Trill, Daliwonga, Kabza De Small",200,250,4,19,118.25
23,Vibration,Sarkodie,200,40,225,22,121.75
24,Mood,Mr Drew,200,42,225,21,122.0
25,Bad Influence,Omah Lay,200,59,225,7,122.75
26,Door,Joeboy,200,21,6,270,124.25
27,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,12,15,270,124.25
28,LV N ATTN feat. Wizkid,Lojay,200,250,25,23,124.5
29,Nobody,Anjella,200,34,225,46,126.25
30,Focus,Joeboy,200,24,19,270,128.25
31,Nimekuzoea,Nandy,17,2,225,270,128.5
32,Bling (feat. Amaarae & Buju),Blaqbonez,8,250,225,32,128.75
33,Baikoko,Mbosso,200,7,40,270,129.25
34,KPK (Ko Por Ke),Rexxie,200,250,26,45,130.25
35,It Is What It Is,Adekunle Gold,40,250,225,10,131.25
36,Touch It,KiDi,200,17,38,270,131.25
37,Show Me,Joeboy,18,18,225,270,132.75
38,Siyathandana,Cassper Nyovest,20,250,9,270,137.25
39,Felony,CKay,50,250,225,33,139.5
40,Dimension (feat. Skepta & Rema),JAE5,32,250,10,270,140.5
41,Send Me Nudes (feat. Joey B),KiDi,200,82,20,270,143.0
42,Somebody Baby,"Davido, Peruzzi",65,250,225,36,144.0
43,Yaba Buluku (feat. Preck & Nelson Tivane),"DJ Tarico, Burna Boy",34,250,27,270,145.25
44,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,60,27,225,270,145.5
45,Confident,"Savage, Buju",39,250,28,270,146.75
46,Medicine,Jaywillz,38,55,225,270,147.0
47,Celebrate Me,Patoranking,200,98,23,270,147.75
48,Niko Sawa,Nviiri The Storyteller,46,250,39,270,151.25
49,Kilofese,Zinoleesky,71,250,22,270,153.25
50,GUPTA,"Focalistic, Mr JazziQ",61,250,36,270,154.25
51,John Wick,De Mthuda,62,250,42,270,156.0
52,Nossas Coisas (feat. Ary),C4 pedro,75,250,37,270,158.0
53,Ex,Nikita Kering,42,97,225,270,158.5
54,Le temps,Tayc,41,100,225,270,159.0
55,Dollar On You,Kuami Eugene,77,65,225,270,159.25
56,Khuza Gogo,"DBN Gogo, Blaqnick, MasterBlaq",72,250,45,270,159.25
57,Maserati (Remix),"Olakira, DaVido",200,250,225,6,170.25
58,Damages,Tems,200,250,225,11,171.5
59,Baby I'm Jealous,"Mr Eazi, emPawa Africa, King Promise",200,250,225,20,173.75
60,Such Kinda Love ft. Jovial,Otile Brown,200,1,225,270,174.0
61,Nyumba Ndogo,Zuchu,200,5,225,270,175.0
62,Jennifer (Remix) ft. Rayvanny,GUCHI,200,6,225,270,175.25
63,Activate,"Stonebwoy, DaVido",200,250,225,27,175.5
64,AG Baby,"Adekunle Gold, Nailah Blackman",200,250,225,29,176.0
65,Salute (feat. Rudeboy),Alikiba,200,9,225,270,176.0
