rank,song,artist,Previous week,weeks on chart
1,Feeling ft. Buju,"LADIPOE, Buju",2,3
2,Rock,Olamide,3,3
3,Kilometre,Burna Boy,8,3
4,Kamata,Diamond Platnumz,41,3
5,Bounce,Ruger,13,2
6,Running (To You) ft. Simi,"Chike, Simi",14,3
7,Somebody ft. Phyno,Olamide,5,3
8,Slow Down,King Promise,7,3
9,Forever (Remix) ft. Omah Lay,"Gyakie, Omah Lay",12,3
10,Coming ft. Busiswa,"Naira Marley, Busiswa",16,3
11,Door ft. Kwesi Arthur,Joeboy,94,3
12,Nimekuzoea,Nandy,1,3
13,Baikoko ft. Diamond Platnumz,Mbosso,78,3
14,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,83,3
15,Touch It,KiDi,81,3
16,Focus,Joeboy,90,3
17,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,24,3
18,Essence (feat. Tems),Wizkid,20,3
19,Soundgasm,Rema,39,3
20,Show Me,Joeboy,4,3
21,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",6,3
22,LV N ATTN feat. Wizkid,"Lojay, Sarz",33,2
23,Confident,"Savage, Buju",0,1
24,Send Me Nudes (feat. Joey B),KiDi,0,1
25,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Burna Boy",0,1
26,Dimension (feat. Skepta & Rema),JAE5,34,3
27,For You,Teni,9,2
28,History ft. Fireboy DML,"Cheque, Fireboy DML",15,3
29,Outside,Buju,11,3
30,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,10,2
31,Celebrate Me,Patoranking,0,1
32,Niko Sawa (feat. Bien),Nviiri The Storyteller,31,3
33,Bobo,Aya Nakamura,17,3
34,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",47,3
35,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,48,2
36,Nossas Coisas (feat. ARY),C4 pedro,77,2
37,PEPE,"L.A.X, Davido",53,2
38,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,46,3
39,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq",75,3
40,Dollar On You,Kuami Eugene,18,3
41,Such Kinda Love ft. Jovial,Otile Brown,79,2
42,Jennifer,GUCHI,76,3
43,Nyumba Ndogo,Zuchu,82,3
44,First Sermon,Black Sherif,80,2
45,Godly,Omah Lay,84,3
46,Salute (feat. Rudeboy),Alikiba,0,1
47,Sukari,Zuchu,85,3
48,Infinity ft. Omah Lay,Olamide,86,3
49,Jennifer Remix ft. Rayvanny,GUCHI,0,1
50,Kiss ft. Rayvanny,Bahati,88,3
51,Nobody,Anjella,89,3
52,Sandakalawe,Harmonize,0,1
53,Number One ft. Zuchu,Rayvanny,87,3
54,Pete Yangu ft. Nadia Mukami,Bahati,92,3
55,Jeraha ft. Jovial,Otile Brown,0,1
56,Spiritual ft. Kuami Eugene & Patoranking,KiDi,97,3
57,Yalaah,Mbosso,93,3
58,Abule,Patoranking,91,3
59,New Couple,Nandy,96,3
60,Adom Grace,Diana Hamilton,0,1
61,MOSLADO,Teni,0,1
62,Enfant de Dieu ( Lhymne national),Ks bloom,0,1
63,Big Thug Boys,AV,0,1
64,Falling For U,Blaq Jerzee,0,1
65,Banyana,"DJ Maphorisa, Daliwonga, Kabza De Small",0,1
66,Cheketua ,Barnaba Classic  (TZ),99,3
67,Kilofese - Remix,Zinoleesky,0,1
68,Najieka,Jay Melody,0,1
69,Biibi Besi ft. Kuami Eugene,Kwame Yogot,98,3
70,Mtaalam,Mbosso,0,1
71,Music Messiah,DJ Neptune,0,1
72,Tabia Za Wakenya (Kanairo),Mejja,0,1
73,Praise,Fameye,0,1
74,Koroba,Tiwa Savage,0,1
75,Lala ft. Jux,Rayvanny,100,3
76,Cheche ft. Diamond Platnumz,Zuchu,0,1
77,Need For Speed,Olamide,95,3
78,Bosana,El Mukuka,0,1
79,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,0,1
80,Let Dem Kno,Smallgod,0,1
81,Dinaledi,Major League Djz,0,1
82,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,0,1
83,Breakup Riddim,DJ Aroma,0,1
84,OLOFOFO,Victor AD,0,1
85,E Choke ft. Mr Drew,Sefa,0,1
86,Regina ft. Jux,Otile Brown,0,1
87,Yebo Teacher,Moonchild Sanelly,0,1
88,Mon soleil ft. Anitta,Dadju,0,1
89,Kiss Me,Mbosso,0,1
90,This Your Body,Skales,0,1
91,Vibaya,Harmonize,0,1
92,Happy Day ft. Kuami Eugene,Sarkodie,0,1
93,Bling (feat. Amaarae & Buju),Blaqbonez,29,3
94,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,0,1
95,Jack,Nasty C,0,1
96,Lissa,Rapcha,0,1
97,Woza,Mr JazziQ,0,1
98, Litawachoma ft. Diamond Platnumz,Zuchu,0,1
99,Hold,Blxckie,0,1
100,Golden Boy,KiDi,0,1
