rank,song,artist,apple,boom,spotify,deezer,RT
1,Feeling,LADIPOE and  Buju,5,9,3,2,4.75
2,Kilometre,Burna Boy,41,22,8,20,22.75
3,Bounce,Ruger,9,33,51,1,23.5
4,Rock,Olamide,13,42,23,19,24.25
5,Kamata,Diamond Platnumz,65,8,19,9,25.25
6,Forever (Remix),Gyakie and  Omah Lay,71,39,21,4,33.75
7,Coming,Naira Marley and  Busiswa,47,50,20,22,34.75
8,Soundgasm,Rema,10,250,4,3,66.75
9,Essence (feat. Tems),Wizkid,3,250,1,15,67.25
10,Big Thug Boys,AV,19,13,225,12,67.25
11,Understand,Omah Lay,4,4,2,270,70.0
12,Coachella,Sarkodie and  Kwesi Arthur,64,14,225,14,79.25
13,Outside,Buju,7,80,225,13,81.25
14,FOR YOU,Teni,67,37,225,8,84.25
15,Running (To You),Chike and  Simi,38,19,22,270,87.25
16,History,Cheque and  Fireboy DML,74,26,225,25,87.5
17,Sinner,Adekunle Gold and  Lucky Daye,14,71,6,270,90.25
18,Slow Down,King Promise,6,63,29,270,92.0
19,Yaba Buluku (feat. Preck & Nelson Tivane),DJ Tarico and  Burna Boy,44,77,15,270,101.5
20,Infinity,Olamide,200,15,225,5,111.25
21,Somebody (feat. Phyno),Olamide,33,97,48,270,112.0
22,Godly,Omah Lay,200,11,225,18,113.5
23,Vibration,Sarkodie,200,44,225,16,121.25
24,Bad Influence,Omah Lay,200,59,225,7,122.75
25,LV N ATTN feat. Wizkid,Lojay,200,250,26,17,123.25
26,Door,Joeboy,200,24,5,270,124.75
27,KPK (Ko Por Ke),Rexxie,200,250,16,39,126.25
28,Nobody,Anjella,200,43,225,40,127.0
29,Bling (feat. Amaarae & Buju),Blaqbonez,8,250,225,26,127.25
30,Focus,Joeboy,200,28,12,270,127.5
31,Touch It,KiDi,200,12,36,270,129.5
32,Second Sermon,Black Sherif,24,1,225,270,130.0
33,Baikoko,Mbosso,200,6,49,270,131.25
34,Felony,CKay,30,250,225,27,133.0
35,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,17,45,270,133.0
36,Show Me,Joeboy,28,20,225,270,135.75
37,Nimekuzoea,Nandy,61,2,225,270,139.5
38,Siyathandana,Cassper Nyovest,29,250,11,270,140.0
39,Dimension (feat. Skepta & Rema),JAE5,31,250,13,270,141.0
40,Celebrate Me,Patoranking,200,84,10,270,141.0
41,Somebody Baby,Davido and  Peruzzi,72,250,225,30,144.25
42,Medicine,Jaywillz,49,38,225,270,145.5
43,Shopping Spree (feat. Chris Brown & Young Thug),Davido,22,250,55,270,149.25
44,Niko Sawa,Nviiri The Storyteller,55,250,30,270,151.25
45,Ex,Nikita Kering,39,76,225,270,152.5
46,Kilofese,Zinoleesky,77,250,14,270,152.75
47,Confident,Savage and  Buju,50,250,47,270,154.25
48,GUPTA,Focalistic and  Mr JazziQ,69,250,33,270,155.5
49,Nossas Coisas (feat. Ary),C4 pedro,81,250,27,270,157.0
50,Khuza Gogo,"DBN Gogo,  Blaqnick and  MasterBlaq",78,250,34,270,158.0
51,Maserati (Remix),Olakira,200,250,225,6,170.25
52,It Is What It Is,Adekunle Gold,200,250,225,10,171.25
53,Damages,Tems,200,250,225,11,171.5
54,Activate,Stonebwoy,200,250,225,21,174.0
55,AG Baby,Adekunle Gold,200,250,225,23,174.5
56,Such Kinda Love ft. Jovial,Otile Brown,200,3,225,270,174.5
57,Ke Star (Remix),Focalistic,200,250,225,24,174.75
58,Jennifer (Remix) ft. Rayvanny,GUCHI,200,5,225,270,175.0
59,Nyumba Ndogo,Zuchu,200,7,225,270,175.5
60,Summeryomuthi,Blaq Diamond,200,250,225,28,175.75
61,23,Burna Boy,200,250,225,29,176.0
62,Salute (feat. Rudeboy),Alikiba,200,10,225,270,176.25
63,Hallelu,Masterkraft,200,250,225,31,176.5
64,Woman,Rema,200,250,225,32,176.75
65,Joro,Wizkid,200,250,225,33,177.0
66,Away,Ayra Starr,200,250,225,34,177.25
67,The Best (feat. Mayorkun),DaVido,200,250,225,35,177.5
68,Sukari,Zuchu,200,16,225,270,177.75
69,MAD,Sarz,200,250,225,36,177.75
70,Ginger (feat. Burna Boy),Wizkid,200,250,225,37,178.0
71,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,18,225,270,178.25
72,Baajo,Kwesi Arthur,200,250,225,38,178.25
73,Pronto,Ajebo Hustlers,200,250,225,41,179.0
74,Jeraha ft. Jovial,Otile Brown,200,21,225,270,179.0
75,Kilofeshe,Zinoleesky,200,250,225,42,179.25
76,Number One ft. Zuchu,Rayvanny,200,23,225,270,179.5
77,Again,Wande Coal,200,250,225,43,179.5
78,Champion,Fireboy Dml,200,250,225,44,179.75
79,E Choke ft. Mr Drew,Sefa,200,25,225,270,180.0
80,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,200,27,225,270,180.5
81,Sandakalawe,Harmonize,200,29,225,270,181.0
82,Yalaah,Mbosso,200,30,225,270,181.25
83,Adom Grace,Diana Hamilton,200,31,225,270,181.5
84,Tabia Za Wakenya (Kanairo),Mejja,200,32,225,270,181.75
85,Testimony,Buju,200,250,7,270,181.75
86,MOSLADO,Teni,200,250,9,270,182.25
87,Abule,Patoranking,200,34,225,270,182.25
88,Mtaalam,Mbosso,200,35,225,270,182.5
89,Enfant de Dieu ( L\xe2\x80\x99hymne national),Ks bloom,200,36,225,270,182.75
90,Mwisho,Killy (TZ),200,40,225,270,183.75
91,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,41,225,270,184.0
