rank,song,artist,apple,boom,spotify,deezer,RT
1,Peru,Fireboy DML,4,8,1,4,4.25
2,Understand,Omah Lay,11,3,4,1,4.75
3,Question (feat. Don Jazzy),Burna Boy,22,11,5,11,12.25
4,Feeling,LADIPOE and  Buju,30,14,11,5,15.0
5,Essence (feat. Justin Bieber & Tems),Wizkid,23,17,24,9,18.25
6,Bounce,Ruger,16,49,9,2,19.0
7,Mood (feat. Buju),Wizkid,2,29,225,3,64.75
8,Kamata,Diamond Platnumz,200,38,23,15,69.0
9,Lie,Kizz Daniel,3,2,6,270,70.25
10,Kilometre,Burna Boy,200,35,28,19,70.5
11,Soundgasm,Rema,31,250,7,6,73.5
12,Second Sermon,Black Sherif,72,1,225,23,80.25
13,NEED ME,Gyakie,38,52,225,8,80.75
14,Rock,Olamide,39,58,225,16,84.5
15,Big Thug Boys,AV,20,48,3,270,85.25
16,Coming,Naira Marley and  Busiswa,56,250,48,21,93.75
17,Sinner,Adekunle Gold and  Lucky Daye,9,60,44,270,95.75
18,Running (To You),Chike and  Simi,60,21,37,270,97.0
19,Ring My Line (feat. Headie One),King Promise,24,71,25,270,97.5
20,Touch It,KiDi,200,9,225,13,111.75
21,Infinity,Olamide,200,20,225,10,113.75
22,Godly,Omah Lay,200,15,225,20,115.0
23,History,Cheque,200,40,225,24,122.25
24,Anoti,WizKid,200,23,2,270,123.75
25,Forever (Remix),Gyakie,200,250,46,12,127.0
26,Door,Joeboy,200,30,21,270,130.25
27,LV N ATTN feat. Wizkid,"Lojay, WizKid",200,250,45,28,130.75
28,Naanzaje,Diamond Platnumz,27,4,225,270,131.5
29,Medicine,Jaywillz,19,12,225,270,131.5
30,Izolo,DJ Maphorisa and  Tyler ICU,8,250,10,270,134.5
31,Ojuju,Troniq Music and  Oxlade,6,250,15,270,135.25
32,Show Me,Joeboy,37,26,225,270,139.5
33,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,50,42,270,140.5
34,Felony,CKay,63,250,225,25,140.75
35,Joy,Blxckie and  Oxlade,44,250,19,270,145.75
36,Somebodyxe2x80x99s Son ft. Brandy,Tiwa Savage,18,74,225,270,146.75
37,Feel Good,MohBad,13,81,225,270,147.25
38,Testimony,Buju,200,91,29,270,147.5
39,Shopping Spree (feat. Chris Brown & Young Thug),Davido,51,250,22,270,148.25
40,Ex,Nikita Keringxe2x80x99,47,250,26,270,148.25
41,Dimension (feat. Skepta & Rema),JAE5,43,250,30,270,148.25
42,Non Living Thing (feat. Oxlade),Sarkodie,49,250,35,270,151.0
43,Emlanjeni,De Mthuda and  Sir Trill,41,250,50,270,152.75
44,High,Adekunle Gold and  Davido,40,250,52,270,153.0
45,Ba Xolele,Dzo 729,58,250,40,270,154.5
46,Siyathandana,Cassper Nyovest,57,250,51,270,157.0
47,Yaba Buluku (feat. Preck & Nelson Tivane),DJ Tarico and  Burna Boy,75,250,36,270,157.75
48,Bobo,Aya Nakamura,68,68,225,270,157.75
49,Songi Songi ft. Hiro,Maud Elka,66,94,225,270,163.75
50,It Is What It Is,Adekunle Gold,200,250,225,7,170.5
51,Vibration,Fireboy Dml,200,250,225,14,172.25
52,Coachella,Sarkodie,200,250,225,17,173.0
53,Activate,Stonebwoy,200,250,225,22,174.25
54,Such Kinda Love ft. Jovial,Otile Brown,200,5,225,270,175.0
55,First Sermon,Black Sherif,200,6,225,270,175.25
56,Ke Star (Remix),Focalistic,200,250,225,26,175.25
57,Nimekuzoea,Nandy,200,7,225,270,175.5
58,AG Baby,Adekunle Gold,200,250,225,27,175.5
59,Bling (feat. Amaarae & Buju),Blaqbonez,200,250,225,29,176.0
60,Banyana,DJ Maphorisa,200,250,225,30,176.25
61,Sweet ft. GUCHI,Rayvanny,200,10,225,270,176.25
62,MAD,Sarz,200,250,225,31,176.5
63,23,Burna Boy,200,250,225,32,176.75
64,Jennifer,GUCHI,200,13,225,270,177.0
65,Hallelu,Masterkraft,200,250,225,33,177.0
66,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,16,225,270,177.75
67,Yalaaaa,Zuchu,200,18,225,270,178.25
68,Nyumba Ndogo,Zuchu,200,19,225,270,178.5
69,Teacher,Harmonize,200,22,225,270,179.25
70,Fake Ex,Yaw Tog,200,25,225,270,180.0
71,Jealous (feat. Mayorkun) ,Alikiba,200,27,225,270,180.5
72,E Choke ft. Mr Drew,Sefa,200,28,225,270,180.75
73,Benzema,Guchi,200,31,225,270,181.5
74,Sukari,Zuchu,200,32,225,270,181.75
75,Kiss ft. Rayvanny,Bahati,200,33,225,270,182.0
76,Celebrate Me,Patoranking,200,250,8,270,182.0
77,Adom Grace,Diana Hamilton,200,34,225,270,182.25
78,Number One ft. Zuchu,Rayvanny,200,36,225,270,182.75
79,Summer Bounce,Blaq Jerzee,200,250,12,270,183.0
80,Jeraha ft. Jovial,Otile Brown,200,37,225,270,183.0
81,Fashion Killer,Ayra Starr,200,250,13,270,183.25
82,Fiction (feat. Busy Signal),Rotimi,200,250,14,270,183.5
83,Jipinde,Ibraah,200,39,225,270,183.5
84,Focus,Joeboy,200,41,225,270,184.0
85,Ababuyanga,Aymos,200,250,16,270,184.0
86,Coachella feat. Kwesi Arthur,Sarkodie,200,42,225,270,184.25
87,Bankroll (feat. Tiwa Savage & Avelino),Not3s,200,250,17,270,184.25
88,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith,200,250,18,270,184.5
89,Steady,WizKid,200,43,225,270,184.5
90,Salute (feat. Rudeboy),Alikiba,200,44,225,270,184.75
91,Somebody’s Son (Ft Brandy),Tiwa Savage,200,250,20,270,185.0
92,Enfant de Dieu ( Lxe2x80x99hymne national),Ks bloom,200,45,225,270,185.0
93,Tabia Za Wakenya (Kanairo),Mejja,200,46,225,270,185.25
94,Abule,Patoranking,200,47,225,270,185.5
95,iStradi (feat. PRO),Big Zulu,1,250,225,270,186.5
96,Xool Ma Ci Bxc3xabt (feat. Jeeba),Iss 814,200,51,225,270,186.5
97,SPUNK,WurlD,200,250,27,270,186.75
98,Destiny,Black Sherif,200,53,225,270,187.0
99,Off The Grid,Kanye West,200,54,225,270,187.25
100,"Thy Grace, Pt. 2",Kofi Kinaata,200,55,225,270,187.5
101,+234 (Daily Paper),PsychoYP,5,250,225,270,187.5
102,Ankonam,Black Sherif,200,56,225,270,187.75
103,KPK (Ko Por Ke),Rexxie,200,250,31,270,187.75
104,Monalisa,Lojay and  Sarz,7,250,225,270,188.0
105,For You,Marioo (TZ),200,57,225,270,188.0
106,System (feat. WizKid),Dave,200,250,32,270,188.0
107,Lakiriboto,Liya,200,250,33,270,188.25
