rank,song,artist,Previous week,weeks on chart
1,Peru,Fireboy DML,1,11
2,Understand,Omah Lay,2,11
3,Lie,Kizz Daniel,9,11
4,Question (feat. Don Jazzy),Burna Boy,3,11
5,Feeling ft. Buju,LADIPOE and  Buju,4,10
6,Bounce,Ruger,6,11
7,Big Thug Boys,AV,15,11
8,Essence (feat. Tems),Wizkid,5,11
9,Running (To You) ft. Simi,Chike and  Simi,18,11
10,Touch It,KiDi,20,11
11,Kamata,Diamond Platnumz,8,11
12,Bloody Samaritan,Ayra Starr,0,1
13,Mood,Wizkid,7,11
14,Kilometre,Burna Boy,10,11
15,Soundgasm,Rema,11,11
16,Sinner,Adekunle Gold and  Lucky Daye,17,11
17,NEED ME,Gyakie,13,4
18,High,Adekunle Gold and  Davido,44,7
19,Second Sermon,Black Sherif,12,11
20,Rock,Olamide,14,11
21,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico and  Burna Boy,47,11
22,Ring My Line (feat. Headie One),King Promise,19,5
23,Infinity ft. Omah Lay,Olamide,21,7
24,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,66,5
25,Jealous (feat. Mayorkun) ,Alikiba,71,7
26,Godly,Omah Lay,22,11
27,FOR YOU,Marioo (TZ),0,1
28,Monalisa,Lojay and  Sarz,0,1
29,History ft. Fireboy DML,Cheque,23,5
30,LV N ATTN feat. Wizkid,Lojay,27,10
31,Anoti,WizKid,24,9
32,Slow Down,King Promise,0,1
33,Door ft. Kwesi Arthur,Joeboy,26,4
34,Bad Influence,Omah Lay,0,1
35,Outside,Buju,0,1
36,Izolo,DJ Maphorisa and  Tyler ICU,30,2
37,Salungano,Makhadzi,0,1
38,Medicine,Jaywillz,29,2
39,Naanzaje,Diamond Platnumz,28,3
40,Show Me,Joeboy,32,4
41,LOML (feat. Olamide),Cheque,0,1
42,Felony,CKay,34,3
43,Ojuju,Troniq Music and  Oxlade,31,3
44,Non Living Thing (feat. Oxlade),Sarkodie,42,2
45,Yalaaaa,Zuchu,67,4
46,Ex,Nikita Keringxe2x80x99,40,4
47,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,33,5
48,Fountains ft. Tems,Drake,0,1
49,Crazy Tings,Tems,0,1
50,Coming ft. Busiswa,Naira Marley and  Busiswa,16,3
51,Osama,Zakes Bantwini and  Kasango,0,1
52,Dimension (feat. Skepta & Rema),JAE5,41,9
53,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,46,4
54,Joy,Blxckie and  Oxlade,35,7
55,Somebodyxe2x80x99s Son ft. Brandy,Tiwa Savage,36,9
56,Songi Songi ft. Hiro,Maud Elka and  Alikiba,49,5
57,Shopping Spree (feat. Chris Brown & Young Thug),Davido,39,3
58,Bobo,Aya Nakamura,48,7
59,It Is What It Is,Adekunle Gold,50,7
60,Forever (Remix) ft. Omah Lay,Gyakie,25,4
61,Maserati (Remix),Olakira,0,1
62,Damages,Tems,0,1
63,Sweet ft. GUCHI,Rayvanny,61,7
64,Such Kinda Love ft. Jovial,Otile Brown,54,7
65,Baby I'm Jealous,Mr Eazi,0,1
66,Nimekuzoea,Nandy,57,7
67,Vibration,Fireboy Dml,51,7
68,First Sermon,Black Sherif,55,7
69,Jennifer,GUCHI,64,2
70,Coachella ft. Kwesi Arthur,Sarkodie,52,7
71,Benzema,Guchi,73,6
72,Teacher,Harmonize,69,2
73,Activate,Stonebwoy,53,2
74,Nyumba Ndogo,Zuchu,68,4
75,Ke Star (Remix),Focalistic,56,5
76,AG Baby,Adekunle Gold,58,7
77,Ni Wewe ft. Harmonize,Killy (TZ),0,1
78,Girls Want Girls ft. Lil Baby,Drake,0,1
79,Bling (feat. Amaarae & Buju),Blaqbonez,59,2
80,Banyana,DJ Maphorisa,60,5
81,MAD,Sarz,62,8
82,23,Burna Boy,63,2
83,Fake Ex,Yaw Tog,70,2
84,Hallelu,Masterkraft,65,4
85,Shuperu ft. KiDi,Mr Drew,0,1
86,Jeraha ft. Jovial,Otile Brown,80,7
87,Sukari,Zuchu,74,2
88,Kiss ft. Rayvanny,Bahati,75,4
89,Jipinde,Ibraah,83,2
90,Number One ft. Zuchu,Rayvanny,78,3
91,Celebrate Me,Patoranking,76,9
92,Adom Grace,Diana Hamilton,77,4
93,Focus,Joeboy,84,2
94,Coachella feat. Kwesi Arthur,Sarkodie,86,4
95,Salute (feat. Rudeboy),Alikiba,90,2
96,E Choke ft. Mr Drew,Sefa,72,2
97,Fashion Killer,Ayra Starr,81,2
98,Ghana Jollof (feat. Falz & Kwabena Kwabena),Basketmouth,0,1
99,"Thy Grace, Pt. 2",Kofi Kinaata,100,2
100,Abule,Patoranking,94,2
