rank,song,artist,apple,boom,spotify,deezer,RT
106,System (feat. WizKid),Dave,200,250,26,270,186.5
107,Snitch (feat. Foushexc3xa9),Ayra Starr,2,250,225,270,186.75
108,Praise,Fameye,200,53,225,270,187.0
109,GUPTA,Focalistic,200,250,28,270,187.0
110,Coachella feat. Kwesi Arthur,Sarkodie,200,54,225,270,187.25
111,Music Messiah,DJ Neptune,200,250,29,270,187.25
112,"Congratulations ft, Buchi",Ada Ehi,200,55,225,270,187.5
113,Drug Test,Naira Marley,200,56,225,270,187.75
114,"ungayeki, (feat. Berita)",Amanda Black,7,250,225,270,188.0
115,You Are Yahweh,Steve Crown,200,57,225,270,188.0
116,Ankonam,Black Sherif,200,58,225,270,188.25
117,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,200,59,225,270,188.5
118,Bosana,El Mukuka,200,250,34,270,188.5
119,MOSLADO,Teni,200,250,35,270,188.75
120,La Mour,KS Bloom,200,60,225,270,188.75
121,Only You,GIMS,200,250,36,270,189.0
122,"Thy Grace, Pt. 2",Kofi Kinaata,200,61,225,270,189.0
123,"Isphithiphithi (feat. Reece Madlisa, Busta 929 & Joocy)",Pabi Cooper,11,250,225,270,189.0
124,Pete Yangu ft. Nadia Mukami,Bahati,200,62,225,270,189.25
125,Cocaine,Dai Verse,14,250,225,270,189.75
126,Rollies and Cigars,Sarkodie,200,65,225,270,190.0
127,Tales By Moonlight (feat. Amaarae),Tiwa Savage,15,250,225,270,190.0
128,Nobody,Anjella,200,66,225,270,190.25
129,Spiritual ft. Kuami Eugene & Patoranking,KiDi,200,67,225,270,190.5
130,HUSTLE,Teni,17,250,225,270,190.5
131,Lala ft. Jux,Rayvanny,200,68,225,270,190.75
132,BE MY LOVER,Jizzle,200,250,44,270,191.0
133,Let Me Know,Mayorkun,19,250,225,270,191.0
134,Koroba,Tiwa Savage,200,250,45,270,191.25
135,Accra,Medikal,200,70,225,270,191.25
136,This Your Body,Skales,200,250,46,270,191.5
137,Dusuma ft. Meddy,Otile Brown,200,72,225,270,191.75
138,Frenemies (feat. Oxlade),Rexxie,22,250,225,270,191.75
139,In Love ft. AliKiba,Otile Brown,200,73,225,270,192.0
140,Send Me Nudes (feat. Joey B),KiDi,200,250,48,270,192.0
141,Regina ft. Jux,Otile Brown,200,74,225,270,192.25
142,Solace,Ajebo Hustlers,24,250,225,270,192.25
143,Somebody’s Son (Ft Brandy),Tiwa Savage,200,250,51,270,192.75
144,Pains,Mr Drew,200,78,225,270,193.25
145,Vibaya,Harmonize,200,79,225,270,193.5
146,Love Me,Juls,200,250,55,270,193.75
147,Cheche ft. Diamond Platnumz,Zuchu,200,80,225,270,193.75
148,8xc3xa8me merveille,Fally Ipupa,200,81,225,270,194.0
149,Like I Do,Fireboy DML,200,82,225,270,194.25
150,Lakiriboto,Liya,200,250,57,270,194.25
151,Confident,Savage and  Buju,32,250,225,270,194.25
152,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,33,250,225,270,194.5
153,Too Faithful,Moses Bliss,200,84,225,270,194.75
154,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,85,225,270,195.0
155,"Uphetheni Esandleni (feat. Sizwe Mdlalose, Assiye Bongzin & DJ Tira)",Dladla Mshunqisi,35,250,225,270,195.0
156,Kiss Me,Mbosso,200,86,225,270,195.25
157,Eloyi,Nobuhle and  Black Motion,36,250,225,270,195.25
158,Omwoyo,Liam Voice,200,87,225,270,195.5
159,Capable God,Judikay,200,88,225,270,195.75
160,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz,38,250,225,270,195.75
161,Amore,Fally Ipupa,200,89,225,270,196.0
162,Southy Love (feat. Fireboy DML),Peruzzi,39,250,225,270,196.0
163,Money Man (Remix),Malcolm Nuna,200,90,225,270,196.25
164,Non Living Thing feat. Oxlade,Sarkodie,200,91,225,270,196.5
165,Lo Lo,Omah Lay,200,92,225,270,196.75
166,Goumin Fracas,Toofan,42,250,225,270,196.75
167,Money & Laughter (feat. Amaarae & Zamir),BOJ,44,250,225,270,197.25
168,Fall,Mbosso,200,94,225,270,197.25
169,You,Omah Lay,200,95,225,270,197.5
170,Fine Wine (feat. King Promise & Joeboy),R2Bees,45,250,225,270,197.5
171,Real,Tim Lyre,46,250,225,270,197.75
172,Peaches ft. Daniel Caesar & Giveon,Justin Bieber,200,96,225,270,197.75
173,Xool Ma Ci Bxc3xabt (feat. Jeeba),Iss 814,200,97,225,270,198.0
174, Litawachoma ft. Diamond Platnumz,Zuchu,200,98,225,270,198.25
175,M'a Ngui Baxx,Dieyla Gueye,200,99,225,270,198.5
176,Dis moi comment.,Tayc,52,250,225,270,199.25
177,Songi Songi (feat. Hiro),Maud Elka,53,250,225,270,199.5
178,Pololo (feat. Tiakola),MHD,54,250,225,270,199.75
179,Sans moi,Franglish and  Aya Nakamura,55,250,225,270,200.0
180,Far Away,Dangbana Republik and  Bella Shmurda,56,250,225,270,200.25
181,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd",58,250,225,270,200.75
