,Position,song,artist
0,1,Bounce,Ruger
1,2,Understand,Omah lay
2,3,Essence (feat. Justin Bieber & Tems),Wizkid
3,4,Feeling,LADIPOE
4,5,Peru,Fireboy Dml
5,6,Soundgasm,Rema
6,7,It Is What It Is,Adekunle Gold
7,8,Forever (Remix),Gyakie
8,9,Lie,Kizz Daniel
9,10,Infinity,Olamide
10,11,Touch It,KiDi
11,12,Bloody Samaritan,Ayra Starr
12,13,Maserati (Remix),Olakira
13,14,FOR YOU,Teni
14,15,Outside,Buju
15,16,Sinner,Adekunle Gold
16,17,Jealous (feat. Mayorkun),Alikiba
17,18,Damages,Tems
18,19,Monalisa,Lojay
19,20,Big Thug Boys,AV
20,21,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz
21,22,Bad Influence,Omah lay
22,23,Essence (feat. Tems),Wizkid
23,24,Yaba Buluku (Remix),DJ Tárico
24,25,Kamata,Diamond Platnumz
25,26,Slow Down,King Promise
26,27,Baby I'm Jealous,Mr Eazi
27,28,Running (To You),Chike
28,29,Vibration,Fireboy Dml
29,30,Rock,Olamide
30,31,Coachella,Sarkodie
31,32,Second Sermon,Black Sherif
32,33,Mood,Mr Drew
33,34,Kilometre,Burna Boy
34,35,Godly,Omah lay
35,36,Coming,Naira Marley
36,37,Activate,Stonebwoy
37,38,LV N ATTN feat. Wizkid,Lojay
38,39,History,Cheque
39,40,Ke Star (Remix),Focalistic
40,41,AG Baby,Adekunle Gold
41,42,Bling (feat. Amaarae & Buju),Blaqbonez
42,43,Felony,CKay
43,44,Banyana,DJ Maphorisa
44,45,23,Burna Boy
45,46,MAD,Sarz
46,47,Hallelu,Masterkraft
47,48,Somebody Baby,Peruzzi
48,49,Woman,Rema
49,50,Summeryomuthi,Blaq Diamond
