rank,song,artist,apple,boom,spotify,deezer,RT
1,Understand,Omah Lay,3,4,1,12,5.0
2,Feeling,LADIPOE and  Buju,15,10,44,2,17.75
3,Running (To You),Chike and  Simi,23,19,23,21,21.5
4,Bounce,Ruger,8,40,46,1,23.75
5,Big Thug Boys,AV,13,13,58,14,24.5
6,Sinner,Adekunle Gold and  Lucky Daye,17,58,9,15,24.75
7,Rock,Olamide,20,37,22,26,26.25
8,Kilometre,Burna Boy,52,24,3,28,26.75
9,Kamata,Diamond Platnumz,72,11,21,16,30.0
10,Slow Down,King Promise,6,69,30,19,31.0
11,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,55,56,11,18,35.0
12,Forever (Remix),Gyakie and  Omah Lay,78,46,19,4,36.75
13,Coming,Naira Marley and  Busiswa,59,49,24,30,40.5
14,Soundgasm,Rema,16,250,2,3,67.75
15,Second Sermon,Black Sherif,39,1,225,22,71.75
16,Essence (feat. Tems),Wizkid,5,250,43,17,78.75
17,Outside,Buju,12,95,225,11,85.75
18,FOR YOU,Teni,74,42,225,9,87.5
19,Infinity,Olamide,200,16,225,5,111.5
20,Coachella,Sarkodie,200,15,225,20,115.0
21,Godly,Omah Lay,200,12,225,29,116.5
22,Banyana,"DJ Maphorisa, Kabza De Small",200,250,5,27,120.5
23,History,Cheque,200,28,225,35,122.0
24,Monalisa,Lojay and  Sarz,7,250,225,13,123.75
25,Mood,Mr Drew,200,48,225,24,124.25
26,Vibration,Sarkodie,200,47,225,25,124.25
27,Bad Influence,Omah Lay,200,68,225,7,125.0
28,Door,Joeboy,200,25,7,270,125.5
29,Peru,Fireboy DML,4,5,225,270,126.0
30,LV N ATTN feat. Wizkid,Lojay,200,250,28,31,127.25
31,Focus,Joeboy,200,33,14,270,129.25
32,Touch It,KiDi,200,8,48,270,131.5
33,Bling (feat. Amaarae & Buju),Blaqbonez,22,250,225,36,133.25
34,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,20,45,270,133.75
35,Show Me,Joeboy,25,21,225,270,135.25
36,Medicine,Jaywillz,24,32,225,270,137.75
37,Black ft. Mr Eazi,Victor AD,35,22,225,270,138.0
38,Felony,CKay,42,250,225,37,138.5
39,Nimekuzoea,Nandy,69,2,225,270,141.5
40,Celebrate Me,Patoranking,200,91,8,270,142.25
41,Shopping Spree (feat. Chris Brown & Young Thug),Davido,34,250,17,270,142.75
42,Somebody Baby,Davido and  Peruzzi,58,250,225,41,143.5
43,Dimension (feat. Skepta & Rema),JAE5,43,250,13,270,144.0
44,Non Living Thing (feat. Oxlade),Sarkodie,1,250,55,270,144.0
45,Siyathandana,Cassper Nyovest,11,250,47,270,144.5
46,Emlanjeni,De Mthuda and  Sir Trill,10,250,57,270,146.75
47,Bobo,Aya Nakamura,29,64,225,270,147.0
48,Kilofese,Zinoleesky,63,250,15,270,149.5
49,Niko Sawa,Nviiri The Storyteller,64,250,34,270,154.5
50,Nossas Coisas (feat. Ary),C4 pedro,82,250,27,270,157.25
51,GUPTA,Focalistic and  Mr JazziQ,76,250,36,270,158.0
52,Khuza Gogo,"DBN Gogo,  Blaqnick and  MasterBlaq",80,250,37,270,159.25
53,Maserati (Remix),Olakira,200,250,225,6,170.25
54,It Is What It Is,Adekunle Gold,200,250,225,8,170.75
55,Damages,Tems,200,250,225,10,171.25
56,Baby I'm Jealous,Mr Eazi,200,250,225,23,174.5
57,Such Kinda Love ft. Jovial,Otile Brown,200,3,225,270,174.5
58,Jennifer (Remix) ft. Rayvanny,GUCHI,200,6,225,270,175.25
59,Nyumba Ndogo,Zuchu,200,7,225,270,175.5
60,Baikoko ft. Diamond Platnumz,Mbosso,200,9,225,270,176.0
61,Activate,Stonebwoy,200,250,225,32,176.75
62,Ke Star (Remix),Focalistic,200,250,225,33,177.0
63,Salute (feat. Rudeboy),Alikiba,200,14,225,270,177.25
64,AG Baby,Adekunle Gold,200,250,225,34,177.25
65,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,17,225,270,178.0
66,Sukari,Zuchu,200,18,225,270,178.25
67,Summeryomuthi,Blaq Diamond,200,250,225,38,178.25
68,23,Burna Boy,200,250,225,39,178.5
69,Hallelu,Masterkraft,200,250,225,40,178.75
70,Woman,Rema,200,250,225,42,179.25
71,Jeraha ft. Jovial,Otile Brown,200,23,225,270,179.5
72,MAD,Sarz,200,250,225,43,179.5
73,Away,Ayra Starr,200,250,225,44,179.75
74,Joro,Wizkid,200,250,225,45,180.0
75,Jealous (feat. Mayorkun) ,Alikiba,200,26,225,270,180.25
76,The Best (feat. Mayorkun),DaVido,200,250,225,46,180.25
77,Baajo,Kwesi Arthur,200,250,225,47,180.5
78,Number One ft. Zuchu,Rayvanny,200,27,225,270,180.5
79,Kilofeshe,Zinoleesky,200,250,225,48,180.75
80,System (feat. WizKid),Dave,200,250,4,270,181.0
81,Again,Wande Coal,200,250,225,49,181.0
82,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,200,29,225,270,181.0
83,E Choke ft. Mr Drew,Sefa,200,30,225,270,181.25
84,Champion,Fireboy Dml,200,250,225,50,181.25
85,Testimony,Buju,200,250,6,270,181.5
86,Adom Grace,Diana Hamilton,200,31,225,270,181.5
87,Yalaah,Mbosso,200,34,225,270,182.25
88,MOSLADO,Teni,200,250,10,270,182.5
89,Sandakalawe,Harmonize,200,35,225,270,182.5
90,Mtaalam,Mbosso,200,36,225,270,182.75
91,KPK (Ko Por Ke),Rexxie,200,250,12,270,183.0
92,Abule,Patoranking,200,38,225,270,183.25
93,Tabia Za Wakenya (Kanairo),Mejja,200,39,225,270,183.5
94,Dinaledi,Major League Djz,200,250,16,270,184.0
95,Enfant de Dieu ( Lxe2x80x99hymne national),Ks bloom,200,41,225,270,184.0
96,INDUSTRY BABY ft. Jack Harlow,Lil Nas X,200,43,225,270,184.5
97,Let Dem Kno,Smallgod,200,250,18,270,184.5
98,Destiny,Black Sherif,200,44,225,270,184.75
99,Music Messiah,DJ Neptune,200,250,20,270,185.0
100,Mwisho,Killy (TZ),200,45,225,270,185.0
101,Solace,Ajebo Hustlers,200,250,25,270,186.25
102,La Mour,KS Bloom,200,50,225,270,186.25
103,Only You,GIMS,200,250,26,270,186.5
104,Pains,Mr Drew,200,51,225,270,186.5
105,Nobody,Anjella,200,52,225,270,186.75
106,Yafun Yafun,Ajebo Hustlers,2,250,225,270,186.75
107,"Congratulations ft, Buchi",Ada Ehi,200,53,225,270,187.0
108,Cheche ft. Diamond Platnumz,Zuchu,200,54,225,270,187.25
109,Send Me Nudes (feat. Joey B),KiDi,200,250,29,270,187.25
110,You Are Yahweh,Steve Crown,200,55,225,270,187.5
111,Koroba,Tiwa Savage,200,250,31,270,187.75
112,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,57,225,270,188.0
113,Karma,Odeal,200,250,32,270,188.0
114,This Your Body,Skales,200,250,33,270,188.25
