rank,song,artist,apple,boom,RT
1,Nimekuzoea,Nandy,4,2,5.0
2,Feeling ft. Buju,"LADIPOE, Buju",3,10,8.0
3,Rock,Olamide,9,11,14.5
4,Show Me,Joeboy,8,20,18.0
5,Somebody ft. Phyno,Olamide,1,36,19.0
6,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",29,15,36.5
7,Slow Down,King Promise,5,74,42.0
8,Kilometre,Burna Boy,36,17,44.5
9,For You,Teni,32,26,45.0
10,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,39,32,55.0
11,Outside,Buju,7,97,55.5
12,Forever (Remix) ft. Omah Lay,"Gyakie, Omah Lay",47,22,58.0
13,Bounce,Ruger,40,40,60.0
14,Running (To You) ft. Simi,"Chike, Simi",55,12,61.0
15,History ft. Fireboy DML,"Cheque, Fireboy DML",52,18,61.0
16,Coming ft. Busiswa,"Naira Marley, Busiswa",44,58,73.0
17,Bobo,Aya Nakamura,35,99,84.5
18,Dollar On You,Kuami Eugene,67,50,92.0
19,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,"Yaw Tog, Stormzy, Kwesi Arthur",77,76,115.0
20,Essence (feat. Tems),Wizkid,2,250,127.0
21,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",6,250,131.0
22,Fine Wine (feat. King Promise & Joeboy),R2Bees,10,250,135.0
23,All (feat. Davido),Rexxie,11,250,136.0
24,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,12,250,137.0
25,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,13,250,138.0
26,Southy Love (feat. Fireboy DML),Peruzzi,14,250,139.0
27,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]","Tee Jay, Rascoe Kaos",15,250,140.0
28,La La (feat. CKay),Davido,16,250,141.0
29,Bling (feat. Amaarae & Buju),Blaqbonez,17,250,142.0
30,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,18,250,143.0
31,Niko Sawa (feat. Bien),Nviiri The Storyteller,19,250,144.0
32,It Is What It Is,Adekunle Gold,20,250,145.0
33,LV N ATTN feat. Wizkid,"Lojay, Sarz",21,250,146.0
34,Dimension (feat. Skepta & Rema),JAE5,22,250,147.0
35,Enough,Hersh,23,250,148.0
36,Xxikiwawa (feat. Pholoso & DJ Khosto),"DJ Fortee, Black Motion, Lady Du",24,250,149.0
37,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,25,250,150.0
38,I Want (feat. Mutoriah),Chris Kaiga,26,250,151.0
39,Soundgasm,Rema,27,250,152.0
40,Le temps,Tayc,28,250,153.0
41,Kamata,Diamond Platnumz,30,250,155.0
42,Weekend,Eddy Kenzo,31,250,156.0
43,Sika,Blxckie,33,250,158.0
44,K:HOVA,K.O,34,250,159.0
45,Best I Ever Had,Nasty C,37,250,162.0
46,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,38,250,163.0
47,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",41,250,166.0
48,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,42,250,167.0
49,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura",43,250,168.0
50,Do I Qualify (feat. Han-C) [Edit],DJ Clock,45,250,170.0
51,Pronto,"Ajebo Hustlers, Omah Lay",46,250,171.0
52,Baby Go,"Otile Brown, Kizz Daniel",48,250,173.0
53,PEPE,"L.A.X, Davido",49,250,174.0
54,Somebody Baby,"Davido, Peruzzi",50,250,175.0
55,I Miss You,Joda Kgosi,51,250,176.0
56,Felony,CKay,53,250,178.0
57,Stereo,Bensoul,54,250,179.0
58,Je veux que toi (feat. Fally Ipupa),Bramsito,56,250,181.0
59,Tornado,chuXchu,57,250,182.0
60,Questions,Shekhinah,58,250,183.0
61,Right Now,Elaine,59,250,184.0
62,Sere (Remix),"Spinall, Fireboy DML, 6LACK",60,250,185.0
63,Baajo,"Kwesi Arthur, Joeboy",61,250,186.0
64,Verified (feat. Mayorkun),Laycon,62,250,187.0
65,Akekho,KekeLingo,63,250,188.0
66,KOLO (feat. Oxlade),Ice Prince,64,250,189.0
67,Long Way,Emtee,65,250,190.0
68,Shine Your Light (feat. Akon),"Master KG, David Guetta",66,250,191.0
69,Un coup (feat. Dadju),Fally Ipupa,68,250,193.0
70,Early Momo (feat. GoodGirl LA),Vector,69,250,194.0
71,Big Boss,Didi B,71,250,196.0
72,LEGGO,"Serge Ibaka, Tayc",72,250,197.0
73,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,73,250,198.0
74,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",74,250,199.0
75,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq",75,250,200.0
76,Jennifer,GUCHI,200,1,200.5
77,Nossas Coisas (feat. ARY),C4 pedro,76,250,201.0
78,Baikoko ft. Diamond Platnumz,Mbosso,200,3,201.5
79,Such Kinda Love ft. Jovial,Otile Brown,200,4,202.0
80,First Sermon,Black Sherif,200,5,202.5
81,Touch It,KiDi,200,6,203.0
82,Nyumba Ndogo,Zuchu,200,7,203.5
83,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,8,204.0
84,Godly,Omah Lay,200,9,204.5
85,Sukari,Zuchu,200,13,206.5
86,Infinity ft. Omah Lay,Olamide,200,14,207.0
87,Number One ft. Zuchu,Rayvanny,200,16,208.0
88,Kiss ft. Rayvanny,Bahati,200,19,209.5
89,Nobody,Anjella,200,21,210.5
90,Focus,Joeboy,200,23,211.5
91,Abule,Patoranking,200,24,212.0
92,Pete Yangu ft. Nadia Mukami,Bahati,200,25,212.5
93,Yalaah,Mbosso,200,27,213.5
94,Door ft. Kwesi Arthur,Joeboy,200,29,214.5
95,Need For Speed,Olamide,200,30,215.0
96,New Couple,Nandy,200,31,215.5
97,Spiritual ft. Kuami Eugene & Patoranking,KiDi,200,33,216.5
98,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,34,217.0
99,Cheketua ,Barnaba Classic  (TZ),200,35,217.5
100,Lala ft. Jux,Rayvanny,200,37,218.5
101,Mtaalam,Mbosso,200,38,219.0
102,Jeraha ft. Jovial,Otile Brown,200,39,219.5
103,Adom Grace,Diana Hamilton,200,41,220.5
104,Najieka,Jay Melody,200,42,221.0
105,Tabia Za Wakenya (Kanairo),Mejja,200,43,221.5
106,Praise,Fameye,200,44,222.0
107,Celebrate Me,Patoranking,200,45,222.5
108,Cheche ft. Diamond Platnumz,Zuchu,200,46,223.0
109,Regina ft. Jux,Otile Brown,200,47,223.5
110,Jailer ft. Jaywillz,Olamide,200,48,224.0
111,Attitude ft. Awilo Longomba & H Baba,Harmonize,200,49,224.5
112,AGYEIWAA ft. Reggie & City Boy,O\'Kenneth,200,51,225.5
113,Vibaya,Harmonize,200,52,226.0
114,Happy Day ft. Kuami Eugene,Sarkodie,200,53,226.5
115,Kiss Me,Mbosso,200,54,227.0
116,Lissa,Rapcha,200,55,227.5
117,Enfant de Dieu ( L\xe2\x80\x99hymne national),Ks bloom,200,56,228.0
118,Roho,Killy (TZ),200,57,228.5
119, Litawachoma ft. Diamond Platnumz,Zuchu,200,59,229.5
120,E Choke ft. Mr Drew,Sefa,200,60,230.0
121,Bad Influence ,Omah Lay,200,61,230.5
122,Rotate (Freestyle),Mr Eazi,200,62,231.0
123,In Love ft. AliKiba,Otile Brown,200,63,231.5
124,Dusuma ft. Meddy,Otile Brown,200,64,232.0
125,Fall,Mbosso,200,65,232.5
126,Mon soleil ft. Anitta,Dadju,200,66,233.0
127,You Are Yahweh,Steve Crown,200,67,233.5
128,Julie,Olamide,200,68,234.0
129,OLOFOFO,Victor AD,200,69,234.5
130,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,200,71,235.5
131,Wewe Ni Mungu,Bahati,200,72,236.0
132,"Congratulations ft, Buchi",Ada Ehi,200,73,236.5
133,You,Omah Lay,200,75,237.5
134,Leo Leo,Nandy,200,77,238.5
135,YUDA,Nandy,200,78,239.0
136,Mood,Mr Drew,200,79,239.5
137,Sor Mi Mu (ft. Bisa Kdei),Gyakie,200,80,240.0
138,Call,Joeboy,200,81,240.5
139,Jolie madame ft. Ronisia,Jo\xc3\xa9 Dwet Fil\xc3\xa9,200,82,241.0
140,Odi Love ft. Klons Melody,Willy Paul,200,83,241.5
141,If You No Love,Chike,200,84,242.0
142,PonPon ft. Fave,Olamide,200,85,242.5
143,Kiuno,Rayvanny,200,87,243.5
144,Take It Slow,Bahati,200,88,244.0
145,Waah! ft. Koffi Olomide,Diamond Platnumz,200,89,244.5
146,I Wanna Dance with Somebody,Whitney Houston,200,90,245.0
147,Damn,Omah Lay,200,91,245.5
148,Like I Do,Fireboy DML,200,92,246.0
149,Amore,Fally Ipupa,200,93,246.5
150,Siskii (Kamote),Mejja,200,94,247.0
151,Lo Lo,Omah Lay,200,95,247.5
152,Basi Tu ft. Mbosso,Lava Lava,200,96,248.0
153,Capable God,Judikay,200,98,249.0
154,Fake Ex,Yaw Tog,200,100,250.0
