rank,song,artist,apple,boom,spotify,deezer,RT
1,Peru,Fireboy DML,2,5,1,4,3.0
2,Understand,Omah Lay,3,4,7,1,3.75
3,Lie,Kizz Daniel,6,2,6,14,7.0
4,Question (feat. Don Jazzy),Burna Boy,14,13,9,11,11.75
5,Feeling,LADIPOE and  Buju,54,14,19,5,23.0
6,Bounce,Ruger,21,59,13,2,23.75
7,Big Thug Boys,AV,16,57,3,21,24.25
8,Essence (feat. Justin Bieber & Tems),Wizkid,42,25,43,9,29.75
9,Running (To You),Chike and  Simi,46,17,32,29,31.0
10,Touch It,KiDi,200,9,54,13,69.0
11,Kamata,Diamond Platnumz,200,38,10,32,70.0
12,Bloody Samaritan,Ayra Starr,13,36,225,20,73.5
13,Mood (feat. Buju),Wizkid,5,65,225,3,74.5
14,Kilometre,Burna Boy,200,34,33,36,75.75
15,Soundgasm,Rema,38,250,11,6,76.25
16,Sinner,Adekunle Gold and  Lucky Daye,43,250,8,15,79.0
17,NEED ME,Gyakie,17,67,225,8,79.25
18,High,Adekunle Gold and  Davido,11,40,5,270,81.5
19,Second Sermon,Black Sherif,78,3,225,40,86.5
20,Rock,Olamide,34,76,225,33,92.0
21,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,77,250,15,27,92.25
22,Ring My Line (feat. Headie One),King Promise,45,88,40,270,110.75
23,Infinity,Olamide,200,23,225,10,114.5
24,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,18,225,24,116.75
25,Jealous (feat. Mayorkun),Alikiba,200,27,225,22,118.5
26,Godly,Omah Lay,200,16,225,37,119.5
27,FOR YOU,Marioo (TZ),200,54,225,19,124.5
28,Monalisa,Lojay and  Sarz,8,250,225,17,125.0
29,History,Cheque,200,43,225,41,127.25
30,LV N ATTN feat. Wizkid,Lojay,200,250,17,45,128.0
31,Anoti,WizKid,200,47,2,270,129.75
32,Slow Down,King Promise,18,250,225,30,130.75
33,Door,Joeboy,200,31,24,270,131.25
34,Bad Influence,Omah Lay,200,82,225,25,133.0
35,Outside,Buju,44,250,225,18,134.25
36,Izolo,DJ Maphorisa and  Tyler ICU,9,250,12,270,135.25
37,Salungano,Makhadzi,1,250,20,270,135.25
38,Medicine,Jaywillz,41,10,225,270,136.5
39,Naanzaje,Diamond Platnumz,51,1,225,270,136.75
40,Show Me,Joeboy,26,28,225,270,137.25
41,LOML (feat. Olamide),Cheque,200,66,18,270,138.5
42,Felony,CKay,39,250,225,42,139.0
43,Ojuju,Troniq Music and  Oxlade,19,250,22,270,140.25
44,Non Living Thing (feat. Oxlade),Sarkodie,33,250,14,270,141.75
45,Yalaaaa,Zuchu,52,20,225,270,141.75
46,Ex,Nikita Keringxe2x80x99,7,250,42,270,142.25
47,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,51,48,270,142.25
48,Fountains ft. Tems,Drake,20,56,225,270,142.75
49,Crazy Tings,Tems,4,250,51,270,143.75
50,Coming,Naira Marley and  Busiswa,68,250,225,38,145.25
51,Osama,Zakes Bantwini and  Kasango,30,250,52,270,150.5
52,Dimension (feat. Skepta & Rema),JAE5,58,250,27,270,151.25
53,Siyathandana,Cassper Nyovest,82,250,4,270,151.5
54,Joy,Blxckie and  Oxlade,57,250,29,270,151.5
55,Somebodyxe2x80x99s Son ft. Brandy,Tiwa Savage,40,75,225,270,152.5
56,Songi songi (Remix) ft. Alikiba,Maud Elka and  Alikiba,37,78,225,270,152.5
57,Shopping Spree (feat. Chris Brown & Young Thug),Davido,64,250,45,270,157.25
58,Bobo,Aya Nakamura,76,80,225,270,162.75
59,It Is What It Is,Adekunle Gold,200,250,225,7,170.5
60,Forever (Remix),Gyakie,200,250,225,12,171.75
61,Maserati (Remix),Olakira,200,250,225,16,172.75
62,Damages,Tems,200,250,225,23,174.5
63,Sweet ft. GUCHI,Rayvanny,200,6,225,270,175.25
64,Such Kinda Love ft. Jovial,Otile Brown,200,7,225,270,175.5
65,Baby I'm Jealous,Mr Eazi,200,250,225,28,175.75
66,Nimekuzoea,Nandy,200,8,225,270,175.75
67,Vibration,Fireboy Dml,200,250,225,31,176.5
68,First Sermon,Black Sherif,200,11,225,270,176.5
69,Jennifer,GUCHI,200,12,225,270,176.75
70,Coachella,Sarkodie,200,250,225,34,177.25
71,Benzema,Guchi,200,15,225,270,177.5
72,Teacher,Harmonize,200,19,225,270,178.5
73,Activate,Stonebwoy,200,250,225,39,178.5
74,Nyumba Ndogo,Zuchu,200,22,225,270,179.25
75,Ke Star (Remix),Focalistic,200,250,225,43,179.5
76,AG Baby,Adekunle Gold,200,250,225,44,179.75
77,Ni Wewe ft. Harmonize,Killy (TZ),200,24,225,270,179.75
78,Girls Want Girls ft. Lil Baby,Drake,200,26,225,270,180.25
79,Bling (feat. Amaarae & Buju),Blaqbonez,200,250,225,46,180.25
80,Banyana,DJ Maphorisa,200,250,225,47,180.5
81,MAD,Sarz,200,250,225,48,180.75
82,23,Burna Boy,200,250,225,49,181.0
83,Fake Ex,Yaw Tog,200,29,225,270,181.0
84,Hallelu,Masterkraft,200,250,225,50,181.25
85,Shuperu ft. KiDi,Mr Drew,200,30,225,270,181.25
86,Jeraha ft. Jovial,Otile Brown,200,32,225,270,181.75
87,Sukari,Zuchu,200,33,225,270,182.0
88,Kiss ft. Rayvanny,Bahati,200,35,225,270,182.5
89,Jipinde,Ibraah,200,37,225,270,183.0
90,Number One ft. Zuchu,Rayvanny,200,39,225,270,183.5
91,Celebrate Me,Patoranking,200,250,16,270,184.0
92,Adom Grace,Diana Hamilton,200,41,225,270,184.0
93,Focus,Joeboy,200,42,225,270,184.25
94,Coachella feat. Kwesi Arthur,Sarkodie,200,44,225,270,184.75
