rank,song,artist,apple,boom,spotify,deezer,RT
1,Understand,Omah Lay,7,2,2,2,3.25
2,Peru,Fireboy DML,6,6,4,5,5.25
3,Lie,Kizz Daniel,4,9,14,9,9.0
4,Feeling,LADIPOE and  Buju,12,8,13,4,9.25
5,Bounce,Ruger,17,31,11,1,15.0
6,Big Thug Boys,AV,13,32,1,20,16.5
7,Essence (feat. Justin Bieber & Tems),Wizkid,21,10,43,3,19.25
8,Sinner,Adekunle Gold and  Lucky Daye,15,35,44,16,27.5
9,Running (To You),Chike and  Simi,40,37,32,28,34.25
10,Rock,Olamide,31,44,47,30,38.0
11,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,70,61,38,24,48.25
12,Coming,Naira Marley and  Busiswa,52,92,35,36,53.75
13,Kamata,Diamond Platnumz,200,24,30,25,69.75
14,Kilometre,Burna Boy,200,23,24,34,70.25
15,Soundgasm,Rema,20,250,8,6,71.0
16,Second Sermon,Black Sherif,67,1,225,32,81.25
17,Outside,Buju,24,80,225,15,86.0
18,Slow Down,King Promise,44,250,46,26,91.5
19,Ring My Line (feat. Headie One),King Promise,18,74,19,270,95.25
20,Touch It,KiDi,200,7,225,11,110.75
21,Infinity,Olamide,200,15,225,10,112.5
22,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,11,225,21,114.25
23,Jealous (feat. Mayorkun),Alikiba,200,16,225,17,114.5
24,Godly,Omah Lay,200,12,225,35,118.0
25,Forever (Remix),Gyakie,200,250,21,8,119.75
26,FOR YOU,Marioo (TZ),200,47,225,14,121.5
27,History,Cheque,200,29,225,39,123.25
28,Monalisa,Lojay and  Sarz,9,250,225,19,125.75
29,Door,Joeboy,200,20,20,270,127.5
30,Bad Influence,Omah Lay,200,65,225,22,128.0
31,Ojuju,Troniq Music and  Oxlade,2,250,3,270,131.25
32,Medicine,Jaywillz,16,17,225,270,132.0
33,LV N ATTN feat. Wizkid,Lojay,200,250,45,38,133.25
34,Izolo,DJ Maphorisa and  Tyler ICU,10,250,12,270,135.5
35,Show Me,Joeboy,29,18,225,270,135.5
