rank,song,artist,Previous week,weeks on chart
1,Feeling ft. Buju,"LADIPOE, Buju",1,4
2,Rock,Olamide,2,4
3,Bounce,Ruger,5,4
4,Kamata,Diamond Platnumz,4,4
5,Kilometre,Burna Boy,3,3
6,Running (To You) ft. Simi,"Chike, Simi",6,4
7,Somebody ft. Phyno,Olamide,7,4
8,Slow Down,King Promise,8,4
9,Forever (Remix) ft. Omah Lay,"Gyakie, Omah Lay",9,4
10,Coming ft. Busiswa,"Naira Marley, Busiswa",10,4
11,Door ft. Kwesi Arthur,Joeboy,11,4
12,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,14,4
13,Baikoko ft. Diamond Platnumz,Mbosso,13,4
14,Nimekuzoea,Nandy,12,4
15,Focus,Joeboy,16,4
16,Soundgasm,Rema,19,4
17,Big Thug Boys,AV,63,4
18,Show Me,Joeboy,20,4
19,Dimension (feat. Skepta & Rema),JAE5,26,4
20,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",21,4
21,Bobo,Aya Nakamura,33,4
22,Outside,Buju,29,3
23,Send Me Nudes (feat. Joey B),KiDi,24,2
24,Confident,"Savage, Buju",23,2
25,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Burna Boy",25,2
26,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,17,4
27,Essence (feat. Tems),Wizkid,18,3
28,Celebrate Me,Patoranking,31,4
29,Understand,Omah Lay,0,1
30,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,30,3
31,History ft. Fireboy DML,"Cheque, Fireboy DML",28,2
32,For You,Teni,27,4
33,Niko Sawa (feat. Bien),Nviiri The Storyteller,32,4
34,Kilofese,Zinoleesky,0,1
35,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",34,3
36,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,35,3
37,Nossas Coisas (feat. ARY),C4 pedro,36,3
38,Dollar On You,Kuami Eugene,40,4
39,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq",39,4
40,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,38,4
41,Such Kinda Love ft. Jovial,Otile Brown,41,3
42,Jennifer,GUCHI,42,4
43,Nyumba Ndogo,Zuchu,43,4
44,First Sermon,Black Sherif,44,3
45,Salute (feat. Rudeboy),Alikiba,46,4
46,Godly,Omah Lay,45,2
47,Kiss ft. Rayvanny,Bahati,50,4
48,Infinity ft. Omah Lay,Olamide,48,4
49,Sukari,Zuchu,47,2
50,Jeraha ft. Jovial,Otile Brown,55,4
51,Sandakalawe,Harmonize,52,4
52,Number One ft. Zuchu,Rayvanny,53,2
53,Nobody,Anjella,51,4
54,Yalaah,Mbosso,57,4
55,Enfant de Dieu ( Lhymne national),Ks bloom,62,2
56,Pete Yangu ft. Nadia Mukami,Bahati,54,4
57,Abule,Patoranking,58,4
58,Adom Grace,Diana Hamilton,60,4
59,MOSLADO,Teni,61,4
60,E Choke ft. Mr Drew,Sefa,85,2
61,Falling For U,Blaq Jerzee,64,2
62,Mtaalam,Mbosso,70,2
63,Praise,Fameye,73,2
64,Biibi Besi ft. Kuami Eugene,Kwame Yogot,69,2
65,Music Messiah,DJ Neptune,71,2
66,Najieka,Jay Melody,68,4
67,Tabia Za Wakenya (Kanairo),Mejja,72,2
68,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,82,2
69,LV N ATTN feat. Wizkid,Lojay,22,4
70,Koroba,Tiwa Savage,74,2
71,New Couple,Nandy,59,2
72,Cheketua ,Barnaba Classic  (TZ),66,2
73,Let Dem Kno,Smallgod,80,2
74,Mon soleil ft. Anitta,Dadju,88,2
75,Cheche ft. Diamond Platnumz,Zuchu,76,4
76,Bosana,El Mukuka,78,2
77,Dinaledi,Major League Djz,81,4
78,Need For Speed,Olamide,77,2
79,Breakup Riddim,DJ Aroma,83,2
80,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,94,2
81,Far Away,"Dangbana Republik, Bella Shmurda",0,1
82,Lala ft. Jux,Rayvanny,75,2
83,Yebo Teacher,Moonchild Sanelly,87,2
84,Mood,Mr Drew,0,1
85,This Your Body,Skales,90,2
86,Jolie madame ft. Ronisia,Jo\xc3\xa9 Dwet Fil\xc3\xa9,0,1
87,Vibaya,Harmonize,91,2
88,Regina ft. Jux,Otile Brown,86,2
89,Touch It,KiDi,15,2
90,Bling (feat. Amaarae & Buju),Blaqbonez,93,2
91,Woza,Mr JazziQ,97,2
92,Happy Day ft. Kuami Eugene,Sarkodie,92,2
93,Monalisa,"Lojay, Sarz",0,1
94,You Are Yahweh,Steve Crown,0,1
95,KPK (Ko Por Ke),Rexxie,0,1
96,Kiss Me,Mbosso,89,2
97,OLOFOFO,Victor AD,84,2
98,Sekkle & Bop (feat. Popcaan),Mr Eazi,0,1
99,Jack,Nasty C,95,2
100,PEPE,L.A.X,37,2
