,artist,song
0,Diamond Platnumz,Naanzaje
1,Kizz Daniel,Lie
2,Black Sherif,Second Sermon
3,Omah Lay,Understand
4,Fireboy DML,Peru
5,Rayvanny,Sweet ft. GUCHI
6,Otile Brown,Such Kinda Love ft. Jovial
7,Nandy,Nimekuzoea
8,KiDi,Touch It
9,Jaywillz,Medicine
10,Black Sherif,First Sermon
11,GUCHI,Jennifer
12,Burna Boy,Question ft. Don Jazzy
13,LADIPOE,Feeling ft. Buju
14,Guchi,Benzema
15,Omah Lay,Godly
16,Chike,Running (To You) ft. Simi
17,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)"
18,Harmonize,Teacher
19,Zuchu,Yalaaaa
20,GUCHI,Jennifer (Remix) ft. Rayvanny
21,Zuchu,Nyumba Ndogo
22,Olamide,Infinity ft. Omah Lay
23,Killy (TZ),Ni Wewe ft. Harmonize
24,WizKid,Essence ft. Justin Bieber & Tems
25,Drake,Girls Want Girls ft. Lil Baby
26,Alikiba,Jealous (feat. Mayorkun) 
27,Joeboy,Show Me
28,Yaw Tog,Fake Ex
29,Mr Drew,Shuperu ft. KiDi
30,Joeboy,Door ft. Kwesi Arthur
31,Otile Brown,Jeraha ft. Jovial
32,Zuchu,Sukari
33,Burna Boy,Kilometre
34,Bahati,Kiss ft. Rayvanny
35,Ayra Starr,Bloody Samaritan
36,Ibraah,Jipinde
37,Diamond Platnumz,Kamata
38,Rayvanny,Number One ft. Zuchu
39,Adekunle Gold,High ft. Davido
40,Diana Hamilton,Adom Grace
41,Joeboy,Focus
42,Cheque,History ft. Fireboy DML
43,Sarkodie,Coachella feat. Kwesi Arthur
44,Alikiba,Salute (feat. Rudeboy)
45,Sefa,E Choke ft. Mr Drew
46,WizKid,Anoti
47,Kofi Kinaata,"Thy Grace, Pt. 2"
48,Patoranking,Abule
49,Kanye West,Off The Grid
50,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
51,Ks bloom,Enfant de Dieu ( Lxe2x80x99hymne national)
52,Iss 814,Xool Ma Ci Bxc3xabt (feat. Jeeba)
53,Marioo (TZ),For You
54,Drake,Champagne Poetry
55,Drake,Fountains ft. Tems
56,AV,Big Thug Boys
57,Rapcha,Lissa 2
58,Ruger,Bounce
59,Ada Ehi,"Congratulations ft, Buchi"
60,Drake,Fair Trade ft. Travis Scott
61,Black Sherif,Ankonam
62,KS Bloom,La Mour
63,Black Sherif,Destiny
64,WizKid,Mood ft. Buju
65,Cheque,LOML ft. Olamide
66,Gyakie,NEED ME
67,Malcolm Nuna,Money Man (Remix)
68,Whozu,Chawa ft. Rayvanny & Ntosh Gaz
69,Drake,Love All ft. JAY-Z
70,Harmonize,Sandakalawe
71,Steve Crown,You Are Yahweh
72,Mejja,Tabia Za Wakenya (Kanairo)
73,Killy (TZ),Mwisho
74,Tiwa Savage,Somebodyxe2x80x99s Son ft. Brandy
75,Olamide,Rock
76,Medikal,Accra
77,Maud Elka,Songi songi (Remix) ft. Alikiba
78,Sarkodie,Non Living Thing feat. Oxlade
79,Aya Nakamura,Bobo
80,Otile Brown,Dusuma ft. Meddy
81,Omah Lay,Bad Influence 
82,Otile Brown,Regina ft. Jux
83,Rayvanny,Lala ft. Jux
84,Bahati,Pete Yangu ft. Nadia Mukami
85,Sarkodie,Jaara feat. Medikal
86,Otile Brown,In Love ft. AliKiba
87,King Promise,Ring My Line ft. Headie One
88,Fireboy DML,Like I Do
89,Cheque,Call Me Baby
90,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
91,Moses Bliss,Too Faithful
92,Teni,Dorime 
93,Omah Lay,Bad Influence
94,Ed Sheeran,Visiting Hours
95,Drake,Way 2 Sexy ft. Future & Young Thug
96,Kuami Eugene,Dollar On You
97,Fally Ipupa,Amore
98,Drake,In The Bible ft. Lil Durk & Giveon
99,Rayvanny,Happy Birthday
