,artist,song
0,Omah Lay,Understand
1,Kizz Daniel,Lie
2,LADIPOE,Feeling ft. Buju
3,Fireboy DML,Peru
4,Olamide,Rock
5,WizKid,Essence ft. Justin Bieber & Tems
6,Mohbad,Feel Good
7,Ruger,Bounce
8,Adekunle Gold,Sinner ft. Lucky Daye
9,Buju,Outside
10,Jaywillz,Medicine
11,Joeboy,Show Me
12,AV,Big Thug Boys
13,Mayorkun,Let Me Know
14,Naira Marley,Drug Test
15,Cheque,History ft. Fireboy DML
16,Tiwa Savage,Somebodyxe2x80x99s Son ft. Brandy
17,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
18,Joeboy,Focus
19,Zinoleesky,Naira Marley
20,Buju,Testimony
21,Teni,HUSTLE
22,Burna Boy,Question ft. Don Jazzy
23,Burna Boy,Kilometre
24,Naira Marley,Coming ft. Busiswa
25,Olamide,Infinity ft. Omah Lay
26,Omah Lay,Godly
27,Patoranking,Celebrate Me
28,PlaTBoss,Matriculation (Intro)
29,Olamide,Triumphant ft. Bella Shmurda
30,PlaTBoss,Hustler's Tale
31,Lojay,Monalisa ft. Sarz
32,Chike,Running (To You) ft. Simi
33,PlaTBoss,Politics and Lies
34,PlaTBoss,Trust Issues
35,Timaya,Eff All Day ft. Phyno
36,PlaTBoss,Tomorrow Never Comes
37,PlaTBoss,Balling
38,Duncan Mighty,Nibolowa ft. Burna Boy
39,PlaTBoss,Living It Up
40,Ayra Starr,Bloody Samaritan
41,PlaTBoss,Indifferent
42,Tiwa Savage,Work Fada ft. Nas & Rich King
43,PlaTBoss,Graduation
44,Cheque,Call Me Baby
45,Crayon,Too Correct ft. Rema
46,2Baba,Rise Up ft. Falz
47,Dj Xclusive,Ameno (Dorime)
48,Fireboy DML,Champion ft. D Smoke
49,Judikay,Capable God
50,Omah Lay,Can't Relate
51,Teni,INJURE ME
52,GUCHI,Jennifer
53,Joeboy,Door ft. Kwesi Arthur
54,Burna Boy,Way Too Big
55,Moses Bliss,Too Faithful
56,Reeze,Wahala
57,Teni,Dorime 
58,WizKid,Ginger ft. Burna Boy
59,Teni,FOR YOU ft. Davido
60,Patoranking,Abule
61,Seyi Vibez,Professor Peller ft. Zlatan
62,Ruger,Abu Dhabi
63,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
64,LIYA,Lakiriboto ft. Davido
65,Judikay,Omemma ((Live))
66,Olamide,Julie
67,Lil Kesh,Love Like This ft. Fireboy DML
68,Tiwa Savage,Tales By Moonlight ft. Amaarae
69,Kolaboy,Omalicha ft. Ejyk Nwamba
70,Burna Boy,23
71,Joeboy,Lonely
72,Nathaniel Bassey,Hallelujah Challenge Praise Medley
73,Omah Lay,My Bebe
74,Olamide,Loading ft. BadboyTimz
75,Guchi,Benzema
76,Zlatan,Alubarika ft. Buju
77,Mercy Chinwo,Obinasom
78,Omah Lay,Bad Influence 
79,WizKid,Blessed ft. Damian Marley
80,Omah Lay,Lo Lo
81,WizKid,Essence ft. Tems
82,Olamide,Need For Speed
83,CKay,Kiss Me Like You Miss Me ft. Payal Dev
84,Bella Shmurda,Adura ft. Mohbad
85,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
86,CKay,Felony
87,Chike,If You No Love
88,Omah Lay,Confession
89,Joeboy,Door
90,Phyno,Bia
91,Ayra Starr,Beggie Beggie ft. CKay
92,Naira Marley,Aye
93,Ajebo Hustlers,Pronto ft. Omah Lay
94,Gyakie,Forever (Remix) ft. Omah Lay
95,Olamide,Jailer ft. Jaywillz
96,Oxlade,Pay Me ft. Troniq Music
97,Mayorkun,Betty Butter ft. Davido
98,Oxlade,Ojuju ft. Troniq Music
99,Olamide,Green Light
