rank,song,artist,Previous week,weeks on chart
1,Understand,Omah Lay,7,5
2,Sinner,Adekunle Gold and  Lucky Daye,1,4
3,Peru,Fireboy DML,5,3
4,Feeling,LADIPOE and  Buju,2,12
5,Essence (feat. Tems),Wizkid,10,12
6,Outside,Buju,3,12
7,Naira Marley,Zinoleesky,11,6
8,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,6,6
9,Rock,Olamide,4,12
10,Feel Good,MohBad,9,3
11,COMING,Naira Marley and  Busiswa,8,12
12,Ginger,Wizkid,39,12
13,CELEBRATE ME,Patoranking,16,8
14,Kilometre,Burna Boy,15,12
15,History,Cheque and  Fireboy DML,13,12
16,Running (To You),Chike and  Simi,17,12
17,Mercy,Falz,0,1
18,Godly,Omah Lay,21,12
19,Bounce,Ruger,14,12
20,Lie,Kizz Daniel,0,1
21,Big Thug Boys,AV,22,7
22,Monalisa,Lojay and  Sarz,53,10
23,Medicine,Jaywillz,23,6
24,Testimony,Buju,12,4
25,Bloody Samaritan,Ayra Starr,0,1
26,HUSTLE,Teni,30,5
27,Show Me,Joeboy,24,12
28,Alubarika,Zlatan,0,1
29,Drug Test,Naira Marley,0,1
30,Focus,Joeboy,19,12
31,Soundgasm,Rema,27,8
32,Pronto,Ajebo Hustlers and  Omah Lay,25,12
33,Lonely,Ayra Starr,0,1
34,It Is What It Is,Adekunle Gold,34,12
35,Confident,Savage and  Buju,32,8
36,Abu Dhabi,Ruger,40,12
37,23,Burna Boy,42,12
38,Forever (Remix),Gyakie and  Omah Lay,36,12
39,Ke Star (Remix),Focalistic and  Davido,37,12
40,Felony,CKay,31,12
41,Ojuju,Oxlade,0,1
42,Far Away,Dangbana Republik and  Bella Shmurda,33,4
43,Bling,Blaqbonez,35,12
44,Petite,NSG,0,1
45,The Best,Davido,46,12
46,FOR YOU,Teni,18,12
47,Way Too Big,Burna Boy,51,12
48,Jailer,Olamide,38,7
49,Beggie Beggie,Ayra Starr,0,1
50,INDUSTRY BABY ft. Jack Harlow,Lil Nas X and  Jack Harlow,26,2
51,Tonongo,Lojay and  Sarz,57,10
52,Blessed (feat. Damian Marley),Wizkid,95,12
53,Clash (feat. Stormzy),Dave and  Stormzy,54,4
54,Party Next Door,Dangbana Republik and  Bella Shmurda,60,5
55,World,Dangbana Republik and  Bella Shmurda,58,12
56,Kilofeshe,Zinoleesky,65,10
57,Bank On It,Burna Boy,62,12
58,Rumors (feat. Cardi B),Lizzo and  Cardi B,0,1
59,Hallelu,Masterkraft,44,12
60,dimension,JAE5,41,12
61,La La (feat. CKay),Davido,66,11
62,LV N ATTN feat. Wizkid,Lojay and  Sarz,61,2
63,Somebody Baby,Davido and  Peruzzi,45,12
64,Need To Know,Doja Cat,0,1
65,STAY,The Kid LAROI and  Justin Bieber,0,1
66,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,87,12
67,Late At Night,Roddy Ricch,64,9
68,Snitch,Ayra Starr,0,1
69,Early Momo,Vector,48,12
70,Infinity,Olamide,73,12
71,KOLO,Ice Prince,49,12
72,Call Me Baby,Cheque,28,2
73,Wade In The Water (Live),The Spirituals,0,1
74,Too Correct,Crayon,74,11
75,Door,Joeboy,78,12
76,Bad Influence,Omah Lay,80,12
77,Fashion Killer,Ayra Starr,0,1
78,System ft. WizKid,Dave and  Wizkid,29,2
79,Out There,Dangbana Republik and  Bella Shmurda,55,4
80,Shameful,King O.T,0,1
81,Colorado,Zugo and  Dai Verse,0,1
82,Cocaine,Dai Verse,77,2
83,Lazarus,Dave and  Boj,59,2
84,KPK (Ko Por Ke),Rexxie,82,12
85,Southy Love,Peruzzi,91,12
86,Cast (Gen Z Anthem),Ayra Starr,0,1
87,Wonder,Dremo,0,1
88,Pray,Victony,0,1
89,Body (Remix),Tion Wayne,47,12
90,No Stress,Wizkid,97,12
91,Loved By You (feat. Burna Boy),Justin Bieber,94,12
92,Bridgertn,Ayra Starr,0,1
93,Real Life,Burna Boy,76,12
94,Toxic,Ayra Starr,0,1
95,INJURE ME,Teni,50,12
96,Karma,Ayra Starr,0,1
97,Professor Peller ft. Zlatan,Seyi Vibez,56,2
98,Triumphant ft. Bella Shmurda,Olamide,0,1
99,Dorime ,Teni,0,1
100,RAPSTAR,Polo G,0,1
