,artist,song
0,LADIPOE,Feeling ft. Buju
1,Olamide,Rock
2,Cheque,History ft. Fireboy DML
3,Joeboy,Show Me
4,Burna Boy,Kilometre
5,Joeboy,Focus
6,Ruger,Bounce
7,Naira Marley,Coming ft. Busiswa
8,GUCHI,Jennifer
9,Omah Lay,Godly
10,Chike,Running (To You) ft. Simi
11,Olamide,Infinity ft. Omah Lay
12,Victor AD,OLOFOFO
13,Olamide,Triumphant ft. Bella Shmurda
14,Buju,Outside
15,Crayon,Too Correct ft. Rema
16,Adekunle Gold,It Is What It Is
17,Joeboy,Door ft. Kwesi Arthur
18,Judikay,Omemma
19,Judikay,Capable God
20,Skales,This Your Body ft. Davido
21,Gyakie,Forever (Remix) ft. Omah Lay
22,Teni,INJURE ME
23,Barry Jhay,Ayewada
24,Mr Eazi,Rotate (Freestyle)
25,DJ Neptune,Music Messiah ft. Wande Coal
26,Teni,FOR YOU ft. Davido
27,Davido,La La ft. Ckay
28,Omah Lay,Can't Relate
29,Naira Marley,Koleyewon
30,Chike,If You No Love
31,Justin Bieber,Loved By You ft. Burna Boy
32,Wizkid,Essence ft. Tems
33,Jae5,Dimension ft. Skepta & Rema
34,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
35,Slimcase,Focus Vibe
36,Davido,The Best ft. Mayorkun
37,Fireboy DML,Champion ft. D Smoke
38,M.I Abaga,All My Life (feat. Oxlade) ft. Oxlade
39,Patoranking,Abule
40,Burna Boy,Way Too Big
41,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
42,Ajebo Hustlers,Pronto ft. Omah Lay
43,Omah Lay,You
44,Olamide,Loading ft. BadboyTimz
45,Roddy Ricch,Late At Night
46,Lil Kesh,Love Like This ft. Fireboy DML
47,Omah Lay,My Bebe
48,Chidinma,This Love
49,2jaja,Freestyle
50,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
51,Chike,Running
52,Erigga,Many Nites
53,Joeboy,Lonely
54,Burna Boy,23
55,Nathaniel Bassey,Hallelujah Challenge Praise Medley
56,Timaya,Don Dada
57,Moses Bliss,You I Live For
58,Peruzzi,Somebody Baby ft. Davido
59,Oyin,Ife ft. Qdot
60,Kcee,Hold Me Tight ft. Peruzzi & Okwesili Eze Group
61,Omah Lay,Bad Influence
62,Zlatan,Cho Cho ft. Davido & Mayorkun
63,Omah Lay,Bad Influence 
64,Omah Lay,Confession
65,Zlatan,Lagos Anthem
66,LiL Baby,Voice of the Heroes ft. Lil Durk
67,Omah Lay,Damn
68,CKay,Felony
69,Erigga,Dick Appointment
70,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
71,Dj Enimoney,Sugar Daddy ft. Olamide
72,Young Jonn,Off You ft. KiDi
73,Mercy Chinwo,Obinasom
74,Luddy Dave,GAT ME SINGING
75,Naira Marley,Aye
76,Omah Lay,Damn ft. 6Lack
77,Burna Boy,Bank On It
78,DJ Spinall,Sere (Remix) ft. Fireboy DML & 6LACK
79,Omah Lay,Lo Lo
80,Sarkodie,Coachella ft. Kwesi Arthur
81,Tekno,Enjoy (Remix) ft. Mafikizolo
82,Onos,Faithful God (Live)
83,Teni,Save The Day
84,Moses Bliss,Too Faithful
85,Dangbana Republik,World ft. Bella Shmurda
86,Burna Boy,Real Life ft. Stormzy
87,Chike,Roju
88,Joeboy,Door
89,Olamide,Green Light
90,Lojay,LV N ATTN feat. Wizkid ft. Sarz & Wizkid
91,Bella Shmurda,Adura ft. Mohbad
92,Chidinma,Jehovah Overdo
93,Victoria Orenze,Spirit Chant
94,Runtown,If E Happen For Lagos
95,Bella Shmurda,Cash App ft. Zlatan & Lincoln
96,Barry Jhay,Ori
97,Crayon,Jackpot ft. Bella Shumurda
98,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
99,Joeboy,Call
