Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,7,Essence (feat. Tems),Wizkid,40,738403,571.1%,https://www.youtube.com/watch?v=jipQpjUA_o8
2,1,Understand,Omah Lay,6,246918,-17.6%,https://www.youtube.com/watch?v=X3Ai6osw3Mk
3,3,Bounce,Ruger,15,160952,-1.1%,https://www.youtube.com/watch?v=I9tqmugh2X8
4,9,Lie,Kizz Daniel,2,154504,59.3%,https://www.youtube.com/watch?v=ZAzAdF1ZvaQ
5,2,Naira Marley,Zinoleesky,8,147491,-27.6%,https://www.youtube.com/watch?v=u5LxthcSS7E
6,4,Sinner (feat. Lucky Daye),Adekunle Gold,6,124330,-9.6%,https://www.youtube.com/watch?v=XIcsU494u8M
7,6,Jennifer,Guchi,14,118766,-8.9%,https://www.youtube.com/watch?v=y3bQfOAsnY0
8,8,Feeling,LADIPOE & Buju,15,92001,-8%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
9,,Rumors (feat. Cardi B),Lizzo,1,83271,,https://www.youtube.com/watch?v=4P9XUrniiK4
10,11,Running (To You),Chike & Simi,27,83211,-9.4%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
11,10,Coming,Naira Marley & Busiswa,22,81304,-12.6%,https://www.youtube.com/watch?v=dAhmUNl62mc
12,62,Alubarika (feat. Buju),Zlatan,2,78346,214.7%,https://www.youtube.com/watch?v=P9MMjYDWpj0
13,,Eff All Day (feat. Phyno),Timaya,1,77269,,https://www.youtube.com/watch?v=MFLavfarQFE
14,5,Kola Boy (Feat. Emmanuella),Onyx,3,76476,-43.2%,https://www.youtube.com/watch?v=76jJ0HFOrSU
15,12,Soundgasm,Rema,10,73796,-8.5%,https://www.youtube.com/watch?v=nrTkERuwdCc
16,15,HUSTLE,Teni,7,72777,4.5%,https://www.youtube.com/watch?v=FKqlAbsGlg0
17,20,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,4,68198,4.6%,https://www.youtube.com/watch?v=UTHLKHL_whs
18,18,Outside,Buju,13,67329,-0.8%,https://www.youtube.com/watch?v=3A3MiNlX6II
19,24,Party Next Door,Dangbana Republik & Bella Shmurda,7,66279,12.1%,https://www.youtube.com/watch?v=bhZmePt58gM
20,13,Peru,Fireboy DML,5,65321,-12.5%,https://www.youtube.com/watch?v=p6uXFreFPyA
21,14,Rock,Olamide,14,65279,-8.1%,https://www.youtube.com/watch?v=6WkxiF7nnjY
22,16,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,7,65050,-5%,https://www.youtube.com/watch?v=CXjLmsOQTkA
23,21,Forever (Remix),Gyakie & Omah Lay,32,64974,0.1%,https://www.youtube.com/watch?v=q5URc13jOv0
24,27,Monalisa,Lojay & Sarz,7,64948,15%,https://www.youtube.com/watch?v=loxACEBahMM
25,17,Jehovah Overdo,Chidinma,15,64939,-4.8%,https://www.youtube.com/watch?v=jgcXR4U4kEc
26,,Fendi (feat. Joeboy),Blaqbonez,2,63098,,https://www.youtube.com/watch?v=TbyPZQkHvU0
27,19,Godly,Omah Lay,39,61570,-6%,https://www.youtube.com/watch?v=DqUd72pK15Y
28,26,Big Thug Boys,AV,8,58725,1.4%,https://www.youtube.com/watch?v=4iJvmXekbnY
29,23,Celebrate Me,Patoranking,9,55706,-8.6%,https://www.youtube.com/watch?v=7XfOyuBSb_k
30,25,FOR YOU (feat. Davido),Teni,27,55579,-4.3%,https://www.youtube.com/watch?v=Y5QUVma7_g4
31,,Wade In The Water (Live),The Spirituals,3,50532,,https://www.youtube.com/watch?v=fxZ4H-gq_lc
32,29,Show Me,Joeboy,18,48604,-4.4%,https://www.youtube.com/watch?v=F0KN8cgHC8g
33,30,Medicine,Jaywillz,7,48376,-3.9%,https://www.youtube.com/watch?v=UR6wXYhJQU8
34,28,Drug Test,Naira Marley,2,45196,-19.3%,https://www.youtube.com/watch?v=FmPgghIX_bE
35,31,Roju,Chike,31,44904,-6.5%,https://www.youtube.com/watch?v=19WTWVw15n0
36,67,Bloody Samaritan,Ayra Starr,3,44766,91.5%,https://www.youtube.com/watch?v=FzTOsvZkCaI
37,,Dip,Stefflon Don & Ms Banks,1,43417,,https://www.youtube.com/watch?v=em2ntshLHwU
38,32,Ke Star (Remix),Focalistic & Davido,26,42549,-6.8%,https://www.youtube.com/watch?v=oQKKCXXRcKE
39,33,Cash App,"Bella Shmurda, Zlatan & Lincoln",45,41975,-6.7%,https://www.youtube.com/watch?v=n1S66UhdIwA
40,36,Feel Good,Mohbad,5,40263,1.6%,https://www.youtube.com/watch?v=u00Xmw-uGQs
41,44,Okay,Adekunle Gold,27,39888,19%,https://www.youtube.com/watch?v=zgi30OqnKN4
42,22,Roar,Dunsin Oyekan,3,38986,-39.7%,https://www.youtube.com/watch?v=_oy9Er4YXnM
43,39,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,42,38021,1.4%,https://www.youtube.com/watch?v=psieSr_bu8o
44,35,Bounce,Rema,25,36199,-8.7%,https://www.youtube.com/watch?v=xxMTgqNjZGo
45,98,Bad Habits,Ed Sheeran,6,36037,129.8%,https://www.youtube.com/watch?v=orJSJGHjBLI
46,37,KPK (Ko Por Ke),Rexxie & Mohbad,37,35648,-9.6%,https://www.youtube.com/watch?v=rs7PiGxBShs
47,59,STAY,The Kid Laroi & Justin Bieber,6,35568,28.6%,https://www.youtube.com/watch?v=kTJczUoc26U
48,40,Dimension (feat. Skepta & Rema),JAE5,22,35036,-3.8%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
49,41,La La (feat. CKay),Davido,20,34370,-5.6%,https://www.youtube.com/watch?v=NM8cY2VzqkI
49,45,Ginger (feat. Burna Boy),Wizkid,42,34370,2.6%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
51,46,It Is What It Is,Adekunle Gold,16,34059,3%,https://www.youtube.com/watch?v=fgNKzf92gNo
52,49,Onyedikagi (feat. Glowrie),Mercy Chinwo,17,34002,4.9%,https://www.youtube.com/watch?v=o4pm6f5zv4I
53,55,You're Welcome,Dwayne Johnson,14,32557,10.1%,https://www.youtube.com/watch?v=79DijItQXMM
54,42,Shopping Spree (feat. Chris Brown & Young Thug),Davido,7,31293,-13.1%,https://www.youtube.com/watch?v=vKR0Drgf6vc
55,51,Bling (feat. Amaarae & Buju),Blaqbonez,17,29929,-2.7%,https://www.youtube.com/watch?v=JJsCz_1ib30
56,54,Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour,10,29813,-0.2%,https://www.youtube.com/watch?v=2LGiIBkg2uw
57,58,Mercy,Falz,3,29804,6.2%,https://www.youtube.com/watch?v=lEvpnPDOYFM
58,52,There Is a Place,Nathaniel Bassey,7,29309,-3.2%,https://www.youtube.com/watch?v=lWGx7EL_rsQ
59,,INFERNO,Sub Urban & Bella Poarch,1,29035,,https://www.youtube.com/watch?v=hgF1HI_kW6s
60,48,Need To Know,Doja Cat,5,28211,-13.1%,https://www.youtube.com/watch?v=dI3xkL7qUAc
61,74,Motorboat,Tory Lanez,10,26315,20.9%,https://www.youtube.com/watch?v=_ulWkovtTTU
62,56,History,Cheque & Fireboy DML,19,25796,-11.9%,https://www.youtube.com/watch?v=n1FIQVk1JEE
63,60,Confident,-- & Buju,7,25576,-5.3%,https://www.youtube.com/watch?v=O7vPv3Tm0vg
64,34,Paloma,Mr. P & --,5,25533,-38.8%,https://www.youtube.com/watch?v=9XV2XGyn25k
65,,Ojuju,Oxlade,1,25501,,https://www.youtube.com/watch?v=hYTqUjT0ing
66,,Frenemies (feat. Oxlade),Rexxie,1,24489,,https://www.youtube.com/watch?v=J7VLfORyO-M
67,57,Zoe (Live),Odunayo Adebayo & --,3,22188,-23.6%,https://www.youtube.com/watch?v=YSOFPs94v9o
68,,Mandela Freestyle,Meek Mill,1,21277,,https://www.youtube.com/watch?v=P_XPDVOJvm0
69,87,Ameno,ERA,14,20949,15.8%,https://www.youtube.com/watch?v=onjPLuZp6hY
