,artist,song
0,Olamide,Rock
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,Cheque,History ft. Fireboy DML
4,Joeboy,Show Me
5,Olamide,Need For Speed
6,Buju,Outside
7,Joeboy,Focus
8,Burna Boy,Kilometre
9,Naira Marley,Coming ft. Busiswa
10,Olamide,Infinity ft. Omah Lay
11,Zinoleesky,Naira Marley
12,Victor AD,OLOFOFO
13,Olamide,Somebody ft. Phyno
14,Olamide,Julie
15,Lil Kesh,Korope ft. Naira Marley
16,GUCHI,Jennifer
17,Olamide,Jailer ft. Jaywillz
18,Omah Lay,Godly
19,Chike,Running (To You) ft. Simi
20,Olamide,Triumphant ft. Bella Shmurda
21,Patoranking,Celebrate Me
22,Crayon,Too Correct ft. Rema
23,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
24,AV,Big Thug Boys
25,Olamide,PonPon ft. Fave
26,Reminisce,Omo X 100 ft. Olamide
27,Mrolaide ,Feel
28,L.A.X,PEPE ft. Davido
29,Wizkid,Essence ft. Tems
30,Rexxie,All ft. Davido
31,Olamide,Want ft. Fave
32,Barry Jhay,Ayewada
33,Teni,INJURE ME
34,Joeboy,Door ft. Kwesi Arthur
35,Olamide,Cup Of Tea
36,Chike,If You No Love
37,Gyakie,Forever (Remix) ft. Omah Lay
38,Kaptain,Check Yourself
39,DJ Neptune,Music Messiah ft. Wande Coal
40,Jaido P,Survive ft. Olamide
41,Skales,This Your Body ft. Davido
42,Flavour,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz
43,GUCHI,Jennifer (Remix) ft. Rayvanny
44,Naira Marley,Koleyewon
45,Omah Lay,Can't Relate
46,Jae5,Dimension ft. Skepta & Rema
47,Olamide,Rough Up ft. Layydoe
48,Judikay,Omemma
49,Olamide,Petty (Bonus Track)
50,Judikay,Capable God
51,Teni,FOR YOU ft. Davido
52,Davido,La La ft. Ckay
53,Jaywillz,Medicine
54,Fireboy DML,Champion ft. D Smoke
55,Mr Eazi,Rotate (Freestyle)
56,Patoranking,Abule
57,Adekunle Gold,It Is What It Is
58,Burna Boy,Way Too Big
59,Olamide,So Much More
60,Rexxie,KPK (Remix) ft. Sho Madjozi & MohBad
61,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
62,Erigga,Many Nites
63,Bella Shmurda,Cash App ft. Zlatan & Lincoln
64,Ajimovoix Drums,FOCUS DANCE BEAT ft. Hagman & Abati
65,Mercy Chinwo,Obinasom
66,Moses Bliss,Too Faithful
67,Moses Bliss,You I Live For
68,Brownskin,Merry Go Round ft. Teni
69,Omah Lay,You
70,Slimcase,Focus Vibe
71,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
72,Olamide,Loading ft. BadboyTimz
73,Burna Boy,23
74,Judikay,Omemma ((Live))
75,Omah Lay,My Bebe
76,Bella Shmurda,Adura ft. Mohbad
77,Davido,The Best ft. Mayorkun
78,Omah Lay,Bad Influence
79,Peruzzi,Somebody Baby ft. Davido
80,Young Jonn,Off You ft. KiDi
81,Nathaniel Bassey,Hallelujah Challenge Praise Medley
82,Omah Lay,Bad Influence 
83,Lil Kesh,Love Like This ft. Fireboy DML
84,Burna Boy,Bank On It
85,2jaja,Freestyle
86,Omah Lay,Damn
87,Ed Sheeran,Bad Habits
88,Joeboy,Lonely
89,Dangbana Republik,World ft. Bella Shmurda
90,Naira Marley,Aye
91,Zlatan,Lagos Anthem
92,Sarkodie,Coachella ft. Kwesi Arthur
93,Fireboy DML,Airplane Mode
94,Chike,Roju
95,Omah Lay,Confession
96,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
97,Erigga,Dick Appointment
98,Dj Enimoney,Sugar Daddy ft. Olamide
99,Timaya,Don Dada
