rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Lie,Kizz Daniel,2,1,4,2,1,2,2.0
2,Understand,Omah Lay,4,2,3,1,6,3,3.1666666666666665
3,Peru,Fireboy DML,1,6,11,4,2,1,4.166666666666667
4,Let Me Know,Mayorkun,5,3,6,14,5,13,7.666666666666667
5,Sinner ft. Lucky Daye,Adekunle Gold and  Lucky Daye,8,4,10,9,9,6,7.666666666666667
6,Essence ft. Justin Bieber & Tems,Wizkid,6,22,2,6,7,5,8.0
7,Bloody Samaritan,Ayra Starr,3,8,8,41,3,4,11.166666666666666
8,Feeling ft. Buju,LADIPOE and  Buju,14,10,13,3,15,12,11.166666666666666
9,Outside,Buju,11,7,19,10,12,11,11.666666666666666
10,Naira Marley,Zinoleesky,16,5,12,20,17,14,14.0
11,Feel Good,MohBad,9,12,38,7,10,9,14.166666666666666
12,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane",DJ Tarico and  Burna Boy,12,13,24,18,13,16,16.0
13,Rock,Olamide,21,11,25,5,23,39,20.666666666666668
14,Coming ft. Busiswa,Naira Marley and  Busiswa,35,24,15,25,36,21,26.0
15,Drug Test,Naira Marley,58,9,50,15,55,22,34.833333333333336
16,Alubarika ft. Buju,Zlatan,40,18,46,77,42,34,42.833333333333336
17,Kilometre,Burna Boy,56,51,78,24,57,28,49.0
18,Celebrate Me,Patoranking,80,16,30,28,76,65,49.166666666666664
19,Tales By Moonlight ft. Amaarae,Tiwa Savage,24,82,61,69,22,84,57.0
20,History ft. Fireboy DML,Cheque and  Fireboy DML,88,23,66,16,89,63,57.5
21,Ojuju ft. Troniq Music,Troniq Music and  Oxlade,45,17,54,99,94,59,61.333333333333336
22,Running (To You) ft. Simi,Chike and  Simi,97,34,14,33,92,120,65.0
23,Bounce,Ruger,10,420,5,8,11,8,77.0
24,Question ft. Don Jazzy,Burna Boy,91,183,1,23,102,72,78.66666666666667
25,Big Thug Boys,AV,13,420,23,13,14,10,82.16666666666667
26,Medicine,Jaywillz,17,420,18,11,18,43,87.83333333333333
27,Testimony,Buju,25,25,350,21,25,101,91.16666666666667
28,Ginger ft. Burna Boy,Wizkid,28,45,350,59,35,40,92.83333333333333
29,HUSTLE,Teni,42,420,21,22,43,23,95.16666666666667
30,Monalisa ft. Sarz,Lojay and  Sarz,7,420,17,32,93,7,96.0
31,Show Me,Joeboy,36,420,36,12,37,44,97.5
32,It Is What It Is,Adekunle Gold,47,20,49,450,46,18,105.0
33,Beggie Beggie ft. CKay,Ayra Starr,32,100,350,92,32,26,105.33333333333333
34,Mercy,Falz,52,43,16,450,49,24,105.66666666666667
35,Far Away,Dangbana Republik and  Bella Shmurda,54,32,20,450,54,30,106.66666666666667
36,Confident,Savage and  Buju,19,26,59,450,20,75,108.16666666666667
37,Pronto ft. Omah Lay,Ajebo Hustlers and  Omah Lay,41,53,350,94,44,69,108.5
38,Work Fada ft. Nas & Rich King,Tiwa Savage,37,420,55,43,33,83,111.83333333333333
39,Soundgasm,Rema,23,121,22,450,24,37,112.83333333333333
40,Felony,CKay,48,63,350,87,48,81,112.83333333333333
41,Focus,Joeboy,95,29,350,19,91,95,113.16666666666667
42,23,Burna Boy,57,76,350,71,59,76,114.83333333333333
43,Lonely,Ayra Starr,59,106,350,72,56,48,115.16666666666667
44,Bling (feat. Amaarae & Buju),Blaqbonez,31,40,63,450,31,80,115.83333333333333
45,Abu Dhabi,Ruger,53,420,85,63,52,29,117.0
46,Forever (Remix) ft. Omah Lay,Gyakie and  Omah Lay,73,420,27,95,71,27,118.83333333333333
47,Ke Star (Remix),Focalistic and  Davido,65,61,43,450,64,41,120.66666666666667
48,Somebody’s Son,Tiwa Savage,15,184,7,450,16,82,125.66666666666667
49,Blessed ft. Damian Marley,Wizkid,33,194,350,80,39,102,133.0
50,Godly,Omah Lay,375,44,29,27,300,79,142.33333333333334
51,FOR YOU ft. Davido,Teni,375,38,32,60,300,77,147.0
52,Call Me Baby,Cheque,375,55,71,45,300,60,151.0
53,Way Too Big,Burna Boy,68,71,350,55,68,325,156.16666666666666
54,Party Next Door,Dangbana Republik and  Bella Shmurda,26,420,33,450,27,78,172.33333333333334
55,Tonongo,Lojay and  Sarz,39,102,350,450,41,56,173.0
56,Colorado,Zugo and  Dai Verse,44,54,350,450,47,93,173.0
57,INDUSTRY BABY,Lil Nas X and  Jack Harlow,51,420,34,450,51,42,174.66666666666666
58,Hallelu,Masterkraft,85,57,350,450,81,31,175.66666666666666
59,Need To Know,Doja Cat,46,420,62,450,45,45,178.0
60,Kilofeshe,Zinoleesky,89,48,350,450,90,46,178.83333333333334
61,Pay Me ft. Troniq Music,Troniq Music and  Oxlade,62,420,350,97,82,73,180.66666666666666
62,Clash,Dave and  Stormzy,34,420,88,450,34,61,181.16666666666666
63,STAY,The Kid LAROI and  Justin Bieber,64,420,45,450,65,47,181.83333333333334
64,Eff All Day ft. Phyno,Timaya,375,58,28,36,300,325,187.0
65,LV N ATTN feat. Wizkid,Lojay and  Sarz,63,182,350,450,62,19,187.66666666666666
66,Early Momo,Vector,74,109,350,450,72,74,188.16666666666666
67,Real Life (feat. Stormzy),Burna Boy,79,115,84,450,77,325,188.33333333333334
68,Late At Night,Roddy Ricch,81,91,350,450,79,87,189.66666666666666
69,Snitch,Ayra Starr,72,164,350,450,67,57,193.33333333333334
70,Infinity ft. Omah Lay,Olamide,375,60,350,26,300,52,193.83333333333334
71,KOLO (feat. Oxlade),Ice Prince,99,126,350,450,105,68,199.66666666666666
72,Wade In The Water (Live),The Spirituals,111,420,31,450,101,92,200.83333333333334
73,More,Troniq Music and  Oxlade,76,191,350,450,96,71,205.66666666666666
74,Fashion Killer,Ayra Starr,18,420,350,450,19,15,212.0
75,Cocaine,Dai Verse,20,420,350,450,21,17,213.0
76,Door ft. Kwesi Arthur,Joeboy,375,132,98,54,300,325,214.0
77,No Stress,Wizkid,92,193,350,450,99,114,216.33333333333334
78,Cast (Gen Z Anthem),Ayra Starr,29,420,350,450,29,20,216.33333333333334
