rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Rock,Olamide,1,1,1,1,1,2,1.1666666666666667
2,Feeling,"LADIPOE, Buju",2,2,39,2,2,1,8.0
3,Outside,Buju,5,16,5,9,5,15,9.166666666666666
4,PonPon,Olamide,8,13,6,4,8,38,12.833333333333334
5,Essence,Wizkid,9,29,8,22,11,11,15.0
6,COMING,"Naira Marley, Busiswa",18,14,17,6,14,29,16.333333333333332
7,History,"Cheque, Fireboy DML",27,6,24,8,26,31,20.333333333333332
8,Kilometre,Burna Boy,19,12,19,19,23,34,21.0
9,Cup of Tea,Olamide,14,21,11,7,17,58,21.333333333333332
10,It Is What It Is,Adekunle Gold,24,35,21,13,18,32,23.833333333333332
11,Somebody,Olamide,51,5,48,5,24,17,25.0
12,Focus,Joeboy,34,9,33,11,43,41,28.5
13,Running (To You),"Chike, Simi",47,20,42,21,39,6,29.166666666666668
14,Need For Speed,Olamide,4,3,3,159,7,19,32.5
15,FOR YOU,Teni,50,32,47,18,34,14,32.5
16,Felony,CKay,23,94,23,30,13,35,36.333333333333336
17,Julie,Olamide,7,10,4,162,10,33,37.666666666666664
18,Godly,Omah Lay,58,19,54,39,46,13,38.166666666666664
19,dimension,JAE5,13,41,14,139,12,23,40.333333333333336
20,Jailer,Olamide,6,7,46,160,6,27,42.0
21,CELEBRATE ME,Patoranking,45,17,44,3,114,39,43.666666666666664
22,Somebody Baby,"Davido, Peruzzi",40,99,38,27,28,51,47.166666666666664
23,The Best,Davido,49,55,45,54,48,46,49.5
24,PEPE,"L.A.X, Davido",59,28,57,42,63,53,50.333333333333336
25,World,"Dangbana Republik, Bella Shmurda",52,91,49,12,66,64,55.666666666666664
26,Cash App,"Bella Shmurda, Zlatan, Lincoln",75,73,71,46,68,25,59.666666666666664
27,Soundgasm,Rema,3,420,2,17,3,5,75.0
28,KPK (Remix),"Rexxie, MohBad",79,70,76,170,42,26,77.16666666666667
29,Bling,Blaqbonez,10,420,9,14,9,30,82.0
30,Show Me,Joeboy,16,8,16,450,30,7,87.83333333333333
31,Rough Up (feat. Layydoe),Olamide,12,22,10,450,19,43,92.66666666666667
32,INJURE ME,Teni,65,30,62,15,300,84,92.66666666666667
33,Infinity,Olamide,72,15,72,38,35,325,92.83333333333333
34,Too Correct,"Crayon, Rema",73,27,70,26,300,63,93.16666666666667
35,Forever (Remix),"Gyakie, Omah Lay",32,34,29,450,15,8,94.66666666666667
36,23,Burna Boy,46,65,43,52,44,325,95.83333333333333
37,Want (feat. FAVE),Olamide,17,11,13,450,20,66,96.16666666666667
38,Ginger,Wizkid,26,420,25,35,40,42,98.0
39,Pronto,"Ajebo Hustlers, Omah Lay",29,420,27,34,31,57,99.66666666666667
40,So Much More,Olamide,21,26,18,450,36,67,103.0
41,Body (Remix),"Tion Wayne, Russ Millions",25,420,90,40,25,24,104.0
42,La La (feat. CKay),Davido,30,40,28,450,60,16,104.0
43,Bounce,Ruger,44,4,350,218,4,4,104.0
44,Hallelu,Masterkraft,56,420,53,31,29,40,104.83333333333333
45,Way Too Big,Burna Boy,57,50,56,59,83,325,105.0
46,Bounse,Rema,41,420,7,146,21,21,109.33333333333333
47,KOLO,Ice Prince,39,420,35,60,45,62,110.16666666666667
48,Early Momo,Vector,38,420,36,69,58,60,113.5
49,Southy Love,Peruzzi,36,420,34,71,81,50,115.33333333333333
50,Bad Influence,Omah Lay,84,66,82,65,80,325,117.0
51,Loved By You (feat. Burna Boy),Justin Bieber,37,63,37,450,37,85,118.16666666666667
52,LV N ATTN feat. Wizkid,"Lojay, Sarz",15,420,15,148,16,96,118.33333333333333
53,Music Messiah,"DJ Neptune, Wande Coal",94,44,96,81,74,325,119.0
54,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,55,71,51,450,41,80,124.66666666666667
55,Confident,"Savage, Buju",11,420,12,16,33,325,136.16666666666666
56,Ayewada,Barry Jhay,77,36,73,10,300,325,136.83333333333334
