Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,6,Lie,Kizz Daniel,5,501572,153.6%,https://www.youtube.com/watch?v=3d6T2qFZ5vU
2,,High,Adekunle Gold & Davido,1,424458,,https://www.youtube.com/watch?v=juBnNBm0cPw
3,3,Bloody Samaritan,Ayra Starr,6,321528,30.4%,https://www.youtube.com/watch?v=b5Sp0jIHDYE
4,2,Essence (feat. Tems),Wizkid,43,222475,-15.8%,https://www.youtube.com/watch?v=jipQpjUA_o8
5,7,Understand,Omah Lay,9,170584,-7.4%,https://www.youtube.com/watch?v=X3Ai6osw3Mk
6,9,Bounce,Ruger,18,144808,1.6%,https://www.youtube.com/watch?v=I9tqmugh2X8
7,4,Mood (feat. Buju),Wizkid,2,137627,-43.2%,https://www.youtube.com/watch?v=N_O4u_nDbGs
8,8,Feel Good,Mohbad,8,136125,-4.6%,https://www.youtube.com/watch?v=u00Xmw-uGQs
9,,Fountains,Drake,1,128668,,https://www.youtube.com/watch?v=pwtWYFUwenE
10,1,Question (feat. Don Jazzy),Burna Boy,3,118682,-57.2%,https://www.youtube.com/watch?v=0rOer3k2DWg
11,,Bongos Ikwue (feat. Bongos Ikwue),2Baba,1,114477,,https://www.youtube.com/watch?v=DViU44z_nIE
12,12,Peru,Fireboy DML,8,101160,9.2%,https://www.youtube.com/watch?v=p6uXFreFPyA
13,,Way 2 Sexy (feat. FUTURE & Young Thug),Drake,1,93889,,https://www.youtube.com/watch?v=vX9msKu75qs
14,13,Somebody’s Son (feat. Brandy),Tiwa Savage,3,93016,2.1%,https://www.youtube.com/watch?v=zxDAgjaxDWI
15,11,Medicine,Jaywillz,10,85080,-18.5%,https://www.youtube.com/watch?v=Gj7eQzJlsU4
16,15,Sinner (feat. Lucky Daye),Adekunle Gold,9,83649,-0.6%,https://www.youtube.com/watch?v=XIcsU494u8M
17,5,Anoti,Wizkid,2,81161,-63.8%,https://www.youtube.com/watch?v=M0im9Hl3BJA
18,16,Jennifer,Guchi,17,76950,-3.9%,https://www.youtube.com/watch?v=y3bQfOAsnY0
19,17,Feeling,LADIPOE & Buju,18,76210,-0.1%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
20,21,Monalisa,Lojay & Sarz,10,74158,11.9%,https://www.youtube.com/watch?v=loxACEBahMM
21,67,Ojuju,Troniq Music & Oxlade,4,71358,209.4%,https://www.youtube.com/watch?v=yzvDyh0DOIY
22,20,Coming,Naira Marley & Busiswa,25,66319,-0.9%,https://www.youtube.com/watch?v=dAhmUNl62mc
23,18,Naira Marley,Zinoleesky,11,66008,-10.6%,https://www.youtube.com/watch?v=u5LxthcSS7E
24,22,Outside,Buju,16,63389,-1.4%,https://www.youtube.com/watch?v=3A3MiNlX6II
25,24,Jehovah Overdo,Chidinma,18,62566,4.1%,https://www.youtube.com/watch?v=jgcXR4U4kEc
26,23,Soundgasm,Rema,13,62326,1.9%,https://www.youtube.com/watch?v=nrTkERuwdCc
27,19,Running (To You),Chike & Simi,30,62128,-11.2%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
28,25,Big Thug Boys,AV,11,58826,-1.2%,https://www.youtube.com/watch?v=4iJvmXekbnY
29,26,HUSTLE,Teni,10,57808,-2.8%,https://www.youtube.com/watch?v=FKqlAbsGlg0
30,34,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7,56631,17.4%,https://www.youtube.com/watch?v=UTHLKHL_whs
31,27,Rock,Olamide,17,55947,-3.4%,https://www.youtube.com/watch?v=6WkxiF7nnjY
32,28,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,10,55133,-3.9%,https://www.youtube.com/watch?v=CXjLmsOQTkA
33,31,Godly,Omah Lay,42,55045,4.1%,https://www.youtube.com/watch?v=DqUd72pK15Y
34,29,Forever (Remix),Gyakie & Omah Lay,35,54709,-0.7%,https://www.youtube.com/watch?v=q5URc13jOv0
35,,Girls Want Girls (feat. Lil Baby),Drake,1,53336,,https://www.youtube.com/watch?v=f8kg-i3K50Q
36,,Fair Trade (feat. Travis Scott),Drake,1,51282,,https://www.youtube.com/watch?v=THVbtGqEO1o
37,33,FOR YOU (feat. Davido),Teni,30,50189,0.4%,https://www.youtube.com/watch?v=Y5QUVma7_g4
38,,Nothing is Too Hard for You,The Gratitude COZA & Judikay,1,48075,,https://www.youtube.com/watch?v=JD4eQizMbaY
39,36,Celebrate Me,Patoranking,12,47794,2.4%,https://www.youtube.com/watch?v=7XfOyuBSb_k
40,14,Let Me Know,Mayorkun,3,46861,-46.6%,https://www.youtube.com/watch?v=fXclkNPiiqU
41,38,STAY,The Kid Laroi & Justin Bieber,9,46142,7.2%,https://www.youtube.com/watch?v=kTJczUoc26U
42,,Champagne Poetry,Drake,1,44983,,https://www.youtube.com/watch?v=IxVuT8cgccM
43,40,Show Me,Joeboy,21,43548,3.5%,https://www.youtube.com/watch?v=F0KN8cgHC8g
44,,Love All (feat. JAY-Z),Drake,1,42874,,https://www.youtube.com/watch?v=Pnz4wbCblmM
45,43,Party Next Door,Dangbana Republik & Bella Shmurda,10,41995,7%,https://www.youtube.com/watch?v=bhZmePt58gM
46,41,Cash App,"Bella Shmurda, Zlatan & Lincoln",48,41267,3.1%,https://www.youtube.com/watch?v=n1S66UhdIwA
47,10,Steady,Wizkid,2,40337,-65.5%,https://www.youtube.com/watch?v=3YFz0CDeHMQ
48,46,Okay,Adekunle Gold,30,37536,-0%,https://www.youtube.com/watch?v=zgi30OqnKN4
49,30,Essence,DaBaby,2,37322,-29.6%,https://www.youtube.com/watch?v=aGjOT_Rsw0I
50,48,Ke Star (Remix),Focalistic & Davido,29,36775,3.6%,https://www.youtube.com/watch?v=oQKKCXXRcKE
51,,In The Bible (feat. Lil Durk & Giveon),Drake,1,35769,,https://www.youtube.com/watch?v=eEdVtJW_PwE
52,76,loving is harder,Johnny Drille,2,33468,74%,https://www.youtube.com/watch?v=tqozCsrbWS4
53,52,It Is What It Is,Adekunle Gold,19,32296,1.3%,https://www.youtube.com/watch?v=fgNKzf92gNo
54,,Papi’s Home,Drake,1,30960,,https://www.youtube.com/watch?v=EO5UdC7B_ac
55,51,Onyedikagi (feat. Glowrie),Mercy Chinwo,20,30911,-3.4%,https://www.youtube.com/watch?v=o4pm6f5zv4I
56,39,Butter,BTS,12,30151,-29.9%,https://www.youtube.com/watch?v=WMweEpGlu_U
57,,Jerusalema (feat. Nomcebo Zikode),Master KG,54,28913,,https://www.youtube.com/watch?v=fCZVL_8D048
58,44,Far Away,Dangbana Republik & Bella Shmurda,4,28742,-25.1%,https://www.youtube.com/watch?v=h5IzjiWOcAg
59,35,Motorboat,Tory Lanez,13,28641,-38.8%,https://www.youtube.com/watch?v=_ulWkovtTTU
60,62,Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour,13,28384,6.7%,https://www.youtube.com/watch?v=2LGiIBkg2uw
61,54,There Is a Place,Nathaniel Bassey,10,27470,-3.2%,https://www.youtube.com/watch?v=lWGx7EL_rsQ
62,58,Drug Test,Naira Marley,5,27058,-0.3%,https://www.youtube.com/watch?v=FmPgghIX_bE
63,,No Time For Sleep (Freestyle),Bobby Shmurda,1,26501,,https://www.youtube.com/watch?v=hQTfR3v3jJ8
64,,TSU,Drake,1,26372,,https://www.youtube.com/watch?v=cNWrVZyca9s
65,,MONTERO (Call Me By Your Name),Lil Nas X,21,26291,,https://www.youtube.com/watch?v=6swmTBVI83k
66,55,Confident,-- & Buju,10,26281,-5.3%,https://www.youtube.com/watch?v=O7vPv3Tm0vg
67,60,You're Welcome,Dwayne Johnson,17,26152,-2.2%,https://www.youtube.com/watch?v=79DijItQXMM
68,32,family ties,Baby Keem & Kendrick Lamar,2,25614,-50.1%,https://www.youtube.com/watch?v=v6HBZC9pZHQ
69,59,Black Girl Magic,Patoranking,2,25421,-5.5%,https://www.youtube.com/watch?v=QQ8NW322hyM
70,56,Hurricane (Audio),Kanye West,2,23557,-14.5%,https://www.youtube.com/watch?v=bPjZmQAvk_8
71,,N 2 Deep (feat. FUTURE),Drake,1,23450,,https://www.youtube.com/watch?v=Oh-Al70frOc
72,,Love Nwantiti (Remix) (feat. ElGrandeToto),CKay,18,23269,,https://www.youtube.com/watch?v=opY2QTqftp4
73,,You Only Live Twice (feat. Lil Wayne & Rick Ross),Drake,1,23236,,https://www.youtube.com/watch?v=rmr-2HnWw80
