rank,song,artist,Previous week,weeks on chart
1,Feeling,"LADIPOE, Buju",1,8
2,Rock,Olamide,2,8
3,Outside,Buju,3,8
4,COMING,"Naira Marley, Busiswa",4,8
5,Essence (feat. Tems),Wizkid,5,8
6,Party Next Door,"Dangbana Republik, Bella Shmurda",0,1
7,Naira Marley,Zinoleesky,6,2
8,History,"Cheque, Fireboy DML",7,8
9,Kilometre,Burna Boy,8,8
10,Running (To You),"Chike, Simi",11,8
11,Focus,Joeboy,10,8
12,Yaba Buluku (Remix),"DJ Tarico, Burna Boy",57,2
13,FOR YOU,Teni,13,8
14,CELEBRATE ME,Patoranking,14,4
15,Godly,Omah Lay,16,8
16,dimension,JAE5,17,8
17,Somebody Baby,"Davido, Peruzzi",18,8
18,INJURE ME,Teni,40,8
19,The Best,Davido,20,8
20,World,"Dangbana Republik, Bella Shmurda",21,8
21,HUSTLE,Teni,0,1
22,Cash App,"Bella Shmurda, Zlatan, Lincoln",22,8
23,Jailer,Olamide,24,3
24,Need For Speed,Olamide,15,3
25,Julie,Olamide,26,3
26,Soundgasm,Rema,28,4
27,PonPon,Olamide,27,3
28,Bling,Blaqbonez,30,8
29,Show Me,Joeboy,31,8
30,Somebody,Olamide,29,3
31,Confident,"Savage, Buju",54,4
32,It Is What It Is,Adekunle Gold,9,8
33,Ke Star (Remix),"Focalistic, Davido",32,8
34,Big Thug Boys,AV,37,3
35,Omo X 100,Reminisce,23,3
36,23,Burna Boy,43,8
37,Ginger,Wizkid,42,8
38,Infinity,Olamide,35,8
39,Forever (Remix),"Gyakie, Omah Lay",36,8
40,Too Correct,"Crayon, Rema",38,7
41,Cup of Tea,Olamide,41,3
42,Body (Remix),"Tion Wayne, Russ Millions",39,8
43,Hallelu,Masterkraft,47,8
44,Way Too Big,Burna Boy,50,8
45,KPK (Ko Por Ke),"Rexxie, MohBad",19,8
46,PEPE,"L.A.X, Davido",46,4
47,Korope,"Lil Kesh, Naira Marley",34,2
48,Bounse,Rema,48,8
49,La La (feat. CKay),Davido,49,7
50,Early Momo,Vector,52,8
51,KOLO,Ice Prince,51,8
52,Southy Love,Peruzzi,68,8
53,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,45,8
54,Bad Influence,Omah Lay,53,8
55,Bounce,Ruger,55,8
56,Ayewada,Barry Jhay,56,6
57,Felony,CKay,33,8
58,Pronto,"Ajebo Hustlers, Omah Lay",44,8
59,All,Rexxie,12,2
60,Late At Night,Roddy Ricch,64,5
61,LV N ATTN (feat. Wizkid),"Lojay, Sarz",60,2
62,Tonongo,"Lojay, Sarz",65,6
63,Medicine,Jaywillz,89,2
64,Survive,Jaido P,25,3
65,Kilofeshe,Zinoleesky,62,6
66,Rush,"Dangbana Republik, Bella Shmurda",66,8
67,High Way,"DJ Kaywise, Phyno",63,7
68,Monalisa,"Lojay, Sarz",85,6
69,Champion,"Dangbana Republik, Bella Shmurda",86,5
70,Blessed (feat. Damian Marley),Wizkid,87,8
71,Real Life,Burna Boy,92,8
72,No Stress,Wizkid,84,8
73,Rough Up (feat. Layydoe),Olamide,67,3
74,Oliver Twist,ArrDee,72,5
75,Want (feat. FAVE),Olamide,61,3
76,Damages,Tems,73,3
77,Triumphant,Olamide,100,7
78,Commitment Issues,Central Cee,74,8
79,Frenemies,Rexxie,79,2
80,Verified (feat. Mayorkun),Laycon,76,2
81,Ruger,Ruger,75,8
82,Door,Joeboy,77,8
83,Koleyewon,Naira Marley,59,8
84,Bank On It,Burna Boy,80,8
85,Understand,Omah Lay,0,1
86,Abule,Patoranking,82,2
87,Music Messiah,DJ Neptune,81,6
88,Loved By You (feat. Burna Boy),Justin Bieber,71,8
89,Abu Dhabi,Ruger,90,8
90,Holy Ground,Davido,94,5
91,Smile,Wizkid,98,4
92,RAPSTAR,Polo G,91,8
93,Money,"Terri, Bella Shmurda, Mohbad",83,2
94,So Much More,Olamide,69,3
95,Jowo,Davido,0,1
96,Reckless,Wizkid,99,3
97,Olofofo,Victor AD,97,5
98,My Crew,Kiiwii,0,1
99,Voice of the Heroes,"Lil Baby, Lil Durk",0,1
100,Bad Habits,Ed Sheeran,58,2
