rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Understand,Omah Lay,4,2,2,1,3,1,2.1666666666666665
2,Sinner ft. Lucky Daye,Adekunle Gold and  Lucky Daye,6,4,6,7,6,5,5.666666666666667
3,Peru,Fireboy DML,3,12,20,4,4,4,7.833333333333333
4,Feeling ft. Buju,LADIPOE and  Buju,13,6,8,2,14,12,9.166666666666666
5,Essence ft. Tems,Wizkid,2,14,1,37,1,3,9.666666666666666
6,Outside,Buju,10,8,18,10,10,9,10.833333333333334
7,Naira Marley,Zinoleesky,15,5,5,13,16,13,11.166666666666666
8,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane",DJ Tarico and  Burna Boy,11,13,22,12,12,20,15.0
9,Rock,Olamide,21,9,21,3,22,15,15.166666666666666
10,Feel Good,MohBad,8,31,40,6,7,10,17.0
11,Coming ft. Busiswa,Naira Marley and  Busiswa,34,20,11,16,36,62,29.833333333333332
12,Ginger ft. Burna Boy,Wizkid,33,41,50,67,33,43,44.5
13,Celebrate Me,Patoranking,69,15,29,24,71,61,44.833333333333336
14,Kilometre,Burna Boy,52,48,74,19,53,30,46.0
15,History ft. Fireboy DML,Cheque and  Fireboy DML,75,19,62,14,75,51,49.333333333333336
16,Running (To You) ft. Simi,Chike and  Simi,83,34,10,28,87,71,52.166666666666664
17,Mercy,Falz,44,43,57,65,44,63,52.666666666666664
18,Godly,Omah Lay,95,51,27,22,94,65,59.0
19,Bounce,Ruger,9,420,3,5,8,6,75.16666666666667
20,Lie,Kizz Daniel,1,1,4,450,2,2,76.66666666666667
21,Big Thug Boys,AV,12,420,28,9,13,11,82.16666666666667
22,Monalisa ft. Sarz,Lojay and  Sarz,5,420,24,34,5,8,82.66666666666667
23,Medicine,Jaywillz,14,420,33,8,15,18,84.66666666666667
24,Testimony,Buju,22,22,350,21,23,81,86.5
25,Bloody Samaritan,Ayra Starr,7,25,36,450,9,7,89.0
26,HUSTLE,Teni,38,420,16,15,40,28,92.83333333333333
27,Show Me,Joeboy,36,420,32,11,37,39,95.83333333333333
28,Alubarika,Zlatan,35,10,12,450,35,33,95.83333333333333
29,Drug Test,Naira Marley,30,3,34,450,30,57,100.66666666666667
30,Focus,Joeboy,77,23,350,17,78,72,102.83333333333333
31,Soundgasm,Rema,16,105,15,450,17,14,102.83333333333333
32,Pronto ft. Omah Lay,Ajebo Hustlers and  Omah Lay,39,49,350,80,43,60,103.5
33,Lonely,Ayra Starr,40,100,350,56,42,40,104.66666666666667
34,It Is What It Is,Adekunle Gold,45,16,51,450,47,23,105.33333333333333
35,Confident,Savage and  Buju,18,24,63,450,20,74,108.16666666666667
36,Abu Dhabi,Ruger,43,420,72,42,45,29,108.5
37,23,Burna Boy,55,73,350,61,56,66,110.16666666666667
38,Forever (Remix) ft. Omah Lay,Gyakie and  Omah Lay,65,420,23,86,66,27,114.5
39,Ke Star (Remix),Focalistic and  Davido,56,57,38,450,57,32,115.0
40,Felony,CKay,50,63,350,76,54,98,115.16666666666667
41,Ojuju,Oxlade,86,7,65,450,11,73,115.33333333333333
42,Far Away,Dangbana Republik and  Bella Shmurda,46,28,91,450,46,35,116.0
43,Bling (feat. Amaarae & Buju),Blaqbonez,29,36,55,450,31,97,116.33333333333333
44,Petite,NSG,41,84,81,450,39,83,129.66666666666666
45,The Best ft. Mayorkun,Davido,71,98,350,98,70,107,132.33333333333334
46,FOR YOU ft. Davido,Teni,375,35,30,53,300,55,141.33333333333334
47,Way Too Big,Burna Boy,61,71,350,49,63,325,153.16666666666666
48,Jailer ft. Jaywillz,Olamide,90,30,350,69,88,325,158.66666666666666
49,Beggie Beggie,Ayra Starr,26,107,350,450,27,25,164.16666666666666
50,INDUSTRY BABY,Lil Nas X and  Jack Harlow,49,420,17,450,49,16,166.83333333333334
51,Tonongo,Lojay and  Sarz,32,94,350,450,34,44,167.33333333333334
52,Blessed ft. Damian Marley,Wizkid,37,420,350,82,38,82,168.16666666666666
53,Clash,Dave and  Stormzy,28,420,77,450,29,21,170.83333333333334
54,Party Next Door,Dangbana Republik and  Bella Shmurda,25,420,19,450,26,91,171.83333333333334
55,World,Dangbana Republik and  Bella Shmurda,63,56,79,450,64,325,172.83333333333334
56,Kilofeshe,Zinoleesky,80,45,350,450,83,41,174.83333333333334
57,Bank On It,Burna Boy,60,420,94,94,61,325,175.66666666666666
58,Rumors (feat. Cardi B),Lizzo and  Cardi B,119,50,9,450,101,325,175.66666666666666
59,Hallelu,Masterkraft,81,54,350,450,85,36,176.0
60,Dimension (feat. Skepta & Rema),JAE5,27,420,48,450,28,96,178.16666666666666
61,La La (feat. Ckay),Davido,48,420,49,450,48,56,178.5
62,LV N ATTN feat. Wizkid,Lojay and  Sarz,51,168,350,450,51,24,182.33333333333334
63,Somebody Baby,Davido and  Peruzzi,92,69,350,450,91,47,183.16666666666666
64,Need To Know,Doja Cat,47,420,60,450,50,75,183.66666666666666
65,STAY,The Kid LAROI and  Justin Bieber,64,420,47,450,68,79,188.0
66,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,101,420,350,90,100,69,188.33333333333334
67,Late At Night,Roddy Ricch,76,93,350,450,76,86,188.5
68,Snitch,Ayra Starr,53,181,350,450,52,52,189.66666666666666
69,Early Momo,Vector,68,112,350,450,72,89,190.16666666666666
70,Infinity ft. Omah Lay,Olamide,375,59,350,18,300,48,191.66666666666666
71,KOLO (feat. Oxlade),Ice Prince,82,120,350,450,84,68,192.33333333333334
72,Call Me Baby,Cheque,375,53,350,38,300,50,194.33333333333334
