Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Question (feat. Don Jazzy),Burna Boy,2,277240,-4.7%,https://www.youtube.com/watch?v=0rOer3k2DWg
2,2,Essence (feat. Tems),Wizkid,42,264092,-8.1%,https://www.youtube.com/watch?v=jipQpjUA_o8
3,8,Bloody Samaritan,Ayra Starr,5,246552,116.2%,https://www.youtube.com/watch?v=b5Sp0jIHDYE
4,,Mood (feat. Buju),Wizkid,1,242512,,https://www.youtube.com/watch?v=N_O4u_nDbGs
5,,Anoti,Wizkid,1,223986,,https://www.youtube.com/watch?v=M0im9Hl3BJA
6,4,Lie,Kizz Daniel,4,197813,16.1%,https://www.youtube.com/watch?v=ZAzAdF1ZvaQ
7,3,Understand,Omah Lay,8,184293,-22.9%,https://www.youtube.com/watch?v=X3Ai6osw3Mk
8,38,Feel Good,Mohbad,7,142762,239%,https://www.youtube.com/watch?v=u00Xmw-uGQs
9,5,Bounce,Ruger,17,142567,-5.8%,https://www.youtube.com/watch?v=I9tqmugh2X8
10,,Steady,Wizkid,1,116817,,https://www.youtube.com/watch?v=3YFz0CDeHMQ
11,18,Medicine,Jaywillz,9,104364,47.8%,https://www.youtube.com/watch?v=Gj7eQzJlsU4
12,11,Peru,Fireboy DML,7,92617,2%,https://www.youtube.com/watch?v=p6uXFreFPyA
13,7,Somebody’s Son (feat. Brandy),Tiwa Savage,2,91142,-21.3%,https://www.youtube.com/watch?v=zxDAgjaxDWI
14,6,Let Me Know,Mayorkun,2,87750,-38.8%,https://www.youtube.com/watch?v=fXclkNPiiqU
15,10,Sinner (feat. Lucky Daye),Adekunle Gold,8,84188,-19.3%,https://www.youtube.com/watch?v=XIcsU494u8M
16,9,Jennifer,Guchi,16,80108,-23.9%,https://www.youtube.com/watch?v=y3bQfOAsnY0
17,13,Feeling,LADIPOE & Buju,17,76293,-9.3%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
18,12,Naira Marley,Naira Marley,10,73857,-18.1%,https://www.youtube.com/watch?v=u5LxthcSS7E
19,14,Running (To You),Chike & Simi,29,69934,-10.1%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
20,15,Coming,Naira Marley & Busiswa,24,66928,-11.4%,https://www.youtube.com/watch?v=dAhmUNl62mc
