,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,Olamide,Rock
4,AV,Big Thug Boys
5,Joeboy,Show Me
6,Cheque,History ft. Fireboy DML
7,Buju,Outside
8,Joeboy,Focus
9,Jaywillz,Medicine
10,Zinoleesky,Naira Marley
11,Olamide,Infinity ft. Omah Lay
12,Naira Marley,Coming ft. Busiswa
13,Buju,Testimony
14,Teni,HUSTLE
15,Burna Boy,Kilometre
16,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
17,Olamide,Need For Speed
18,Patoranking,Celebrate Me
19,Omah Lay,Godly
20,Mohbad,Feel Good
21,Victor AD,OLOFOFO
22,Olamide,Triumphant ft. Bella Shmurda
23,Chike,Running (To You) ft. Simi
24,Phyno,Bia
25,Adekunle Gold,Sinner ft. Lucky Daye
26,GUCHI,Jennifer (Remix) ft. Rayvanny
27,Olamide,Julie
28,Wizkid,Essence ft. Tems
29,Crayon,Too Correct ft. Rema
30,Judikay,Omemma ((Live))
31,Joeboy,Door ft. Kwesi Arthur
32,Mrolaide ,Feel
33,Teni,INJURE ME
34,Lil Kesh,Korope ft. Naira Marley
35,L.A.X,PEPE ft. Davido
36,Dj Xclusive,Ameno (Dorime)
37,Olamide,Somebody ft. Phyno
38,Kaptain,Check Yourself
39,Omah Lay,Can't Relate
40,Judikay,Capable God
41,Fireboy DML,Champion ft. D Smoke
42,Olamide,Jailer ft. Jaywillz
43,Teni,FOR YOU ft. Davido
44,Chike,Roju
45,Skales,This Your Body ft. Davido
46,Burna Boy,Way Too Big
47,Jae5,Dimension ft. Skepta & Rema
48,Yemi Alade,Enjoyment
49,Patoranking,Abule
50,Moses Bliss,Too Faithful
51,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
52,Olamide,PonPon ft. Fave
53,Bella Shmurda,Cash App ft. Zlatan & Lincoln
54,Olamide,Loading ft. BadboyTimz
55,Kolaboy,Omalicha ft. Ejyk Nwamba
56,Lil Kesh,Love Like This ft. Fireboy DML
57,Omah Lay,My Bebe
58,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
59,Joeboy,Lonely
60,Burna Boy,23
61,Chike,If You No Love
62,Fireboy DML,Peru
63,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
64,Jaido P,Survive ft. Olamide
65,Ruger,Abu Dhabi
66,Gyakie,Forever (Remix) ft. Omah Lay
67,Omah Lay,Bad Influence 
68,Bella Shmurda,Adura ft. Mohbad
69,Mr Eazi,Rotate (Freestyle)
70,Dangbana Republik,Lako ft. Bella Shmurda
71,Nathaniel Bassey,Hallelujah Challenge Praise Medley
72,Omah Lay,Confession
73,Dr Dolor,Baba Nla ft. Buju
74,Naira Marley,Aye
75,Joeboy,Door
76,Zlatan,Lagos Anthem
77,Omah Lay,You
78,Naira Marley,Koleyewon
79,DJ Neptune,Music Messiah ft. Wande Coal
80,DJ Aroma,Breakup Riddim ft. Nhlanhla Nciza
81,Omah Lay,Bad Influence
82,Ajebo Hustlers,Pronto ft. Omah Lay
83,Omah Lay,Lo Lo
84,Davido,The Best ft. Mayorkun
85,Runtown,If E Happen For Lagos
86,Olamide,Want ft. Fave
87,Dj Kaywise,High Way ft. Phyno
88,Dangbana Republik,Far Away ft. Bella Shmurda
89,Olamide,Cup Of Tea
90,Nasty C,Jack
91,Idowest,NGNP (No Girlfriend No Problem) ft. Zlatan
92,Olamide,Green Light
93,Burna Boy,Bank On It
94,K1 De Ultimate,Adkin
95,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
96,Slimcase,Focus Vibe
97,Pop Smoke,Tell The Vision ft. Kanye West & Pusha T
98,Ajimovoix Drums,FOCUS DANCE BEAT ft. Hagman & Abati
99,CKay,Felony
