rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1,1,1,1
2,Rock,Olamide,2,2,2,2,3,4,2.5
3,COMING,"Naira Marley, Busiswa",9,8,9,4,7,24,10.16666667
4,History,"Cheque, Fireboy DML",15,3,15,3,19,20,12.5
5,Kilometre,Burna Boy,11,5,10,12,16,30,14
6,Essence,Wizkid,8,33,8,25,10,11,15.83333333
7,It Is What It Is,Adekunle Gold,14,17,16,10,18,32,17.83333333
8,Outside,Buju,5,15,5,17,5,60,17.83333333
9,Focus,Joeboy,25,6,25,6,29,28,19.83333333
10,Running (To You),"Chike, Simi",33,11,32,15,30,3,20.66666667
11,Late At Night,Roddy Ricch,20,46,26,8,23,29,25.33333333
12,FOR YOU,Teni,44,27,45,14,21,13,27.33333333
13,Pronto,"Ajebo Hustlers, Omah Lay",19,43,20,22,17,48,28.16666667
14,Felony,CKay,18,69,19,24,9,37,29.33333333
15,Godly,Omah Lay,42,10,43,34,41,12,30.33333333
16,Somebody Baby,"Davido, Peruzzi",27,59,24,20,24,38,32
17,dimension,JAE5,7,34,7,133,6,22,34.83333333
18,The Best,Davido,38,37,42,47,38,43,40.83333333
19,World,"Dangbana Republik, Bella Shmurda",35,86,36,7,49,54,44.5
20,All My Life,M.I Abaga,65,39,55,57,75,9,50
21,INJURE ME,Teni,52,23,56,13,96,79,53.16666667
22,Too Correct,"Crayon, Rema",54,16,59,29,102,61,53.5
23,Cash App,"Bella Shmurda, Zlatan, Lincoln",58,96,69,40,45,23,55.16666667
24,Music Messiah,"DJ Neptune, Wande Coal",77,26,72,54,62,72,60.5
25,Bounce,Ruger,3,7,3,450,2,5,78.33333333
26,Bling,Blaqbonez,6,420,6,11,4,27,79
27,Show Me,Joeboy,10,4,11,450,25,2,83.66666667
28,Body (Remix),"Tion Wayne, Russ Millions",13,420,14,35,15,17,85.66666667
29,Forever (Remix),"Gyakie, Omah Lay",17,22,18,450,8,7,87
30,Infinity,Olamide,57,12,68,36,26,325,87.33333333
31,23,Burna Boy,37,55,39,46,42,325,90.66666667
32,Door,"Joeboy, Kwesi Arthur",75,18,77,42,300,65,96.16666667
33,Ginger,Wizkid,26,420,27,31,40,49,98.83333333
34,La La (feat. CKay),Davido,22,28,21,450,59,14,99
35,Hallelu,Masterkraft,46,420,47,28,20,35,99.33333333
36,Voice of the Heroes,"Lil Baby, Lil Durk",16,67,13,450,27,33,101
