rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Lie,Kizz Daniel,6,1,6,1,6,5,4.166666666666667
2,Peru,Fireboy DML,3,6,12,4,4,2,5.166666666666667
3,Question ft. Don Jazzy,Burna Boy,8,4,1,3,10,9,5.833333333333333
4,Understand,Omah Lay,9,3,7,2,11,7,6.5
5,Bloody Samaritan,Ayra Starr,4,5,3,21,9,4,7.666666666666667
6,Feel Good,MohBad,11,11,8,11,13,10,10.666666666666666
7,Sinner ft. Lucky Daye,Adekunle Gold and  Lucky Daye,12,7,15,17,14,12,12.833333333333334
8,Outside,Buju,15,9,22,14,16,14,15.0
9,Feeling ft. Buju,LADIPOE and  Buju,20,10,17,6,21,31,17.5
10,Naira Marley,Zinoleesky,23,8,18,31,23,34,22.833333333333332
11,Rock,Olamide,31,14,27,8,33,37,25.0
12,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane",DJ Tarico and  Burna Boy,17,15,28,34,18,65,29.5
13,Anoti,Wizkid,2,191,5,5,3,3,34.833333333333336
14,Coming ft. Busiswa,Naira Marley and  Busiswa,45,29,20,30,48,39,35.166666666666664
15,So Cold ft. Popcaan,Bella Shmurda and  Popcaan,27,2,81,39,30,38,36.166666666666664
16,Essence ft. Justin Bieber & Tems,Wizkid,7,223,2,9,8,6,42.5
17,Blessed ft. Damian Marley,Wizkid,30,95,61,65,28,28,51.166666666666664
18,Alubarika ft. Buju,Zlatan,81,18,71,94,66,60,65.0
19,Drug Test,Naira Marley,152,13,58,25,118,43,68.16666666666667
20,Mood ft. Buju,Wizkid,1,420,4,7,2,1,72.5
21,Kilometre,Burna Boy,132,57,86,22,107,36,73.33333333333333
22,Steady,Wizkid,5,420,10,10,5,8,76.33333333333333
23,Testimony,Buju,32,26,350,18,34,20,80.0
24,Mercy,Falz,134,64,80,52,111,54,82.5
25,Let Me Know,Mayorkun,13,420,14,26,15,15,83.83333333333333
26,Monalisa ft. Sarz,Lojay and  Sarz,10,420,21,37,12,11,85.16666666666667
27,Big Thug Boys,AV,18,420,25,27,19,29,89.66666666666667
28,Bounce,Ruger,14,420,9,13,71,13,90.0
