rank,song,artist,Previous week,weeks on chart
1,Sinner,Adekunle Gold and  Lucky Daye,5,3
2,Feeling,LADIPOE and  Buju,2,11
3,Outside,Buju,4,11
4,Rock,Olamide,3,11
5,Peru,Fireboy DML,37,2
6,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,11,5
7,Understand,Omah Lay,1,4
8,COMING,Naira Marley and  Busiswa,7,11
9,Feel Good,MohBad,10,2
10,Essence (feat. Tems),Wizkid,8,11
11,Naira Marley,Zinoleesky,9,5
12,Testimony,Buju,6,3
13,History,Cheque and  Fireboy DML,12,11
14,Bounce,Ruger,55,11
15,Kilometre,Burna Boy,13,11
16,CELEBRATE ME,Patoranking,14,7
17,Running (To You),Chike and  Simi,15,11
18,FOR YOU,Teni,16,11
19,Focus,Joeboy,23,11
20,Julie,Olamide,17,6
21,Godly,Omah Lay,18,11
22,Big Thug Boys,AV,20,6
23,Medicine,Jaywillz,34,5
24,Show Me,Joeboy,26,11
25,Pronto,Ajebo Hustlers and  Omah Lay,29,11
26,INDUSTRY BABY ft. Jack Harlow,Lil Nas X and  Jack Harlow,0,1
27,Soundgasm,Rema,21,7
28,Call Me Baby,Cheque,0,1
29,System ft. WizKid,Dave and  Wizkid,0,1
30,HUSTLE,Teni,32,4
31,Felony,CKay,25,11
32,Confident,Savage and  Buju,22,7
33,Far Away,Dangbana Republik and  Bella Shmurda,19,3
34,It Is What It Is,Adekunle Gold,27,11
35,Bling,Blaqbonez,28,11
36,Forever (Remix),Gyakie and  Omah Lay,40,11
37,Ke Star (Remix),Focalistic and  Davido,30,11
38,Jailer,Olamide,24,6
39,Ginger,Wizkid,33,11
40,Abu Dhabi,Ruger,50,11
41,dimension,JAE5,31,11
42,23,Burna Boy,38,11
43,PonPon,Olamide,35,6
44,Hallelu,Masterkraft,65,11
45,Somebody Baby,Davido and  Peruzzi,46,11
46,The Best,Davido,43,11
47,Body (Remix),Tion Wayne and  Russ Millions,51,11
48,Early Momo,Vector,52,11
49,KOLO,Ice Prince,53,11
50,INJURE ME,Teni,57,11
51,Way Too Big,Burna Boy,49,11
52,Champion,Dangbana Republik and  Bella Shmurda,39,8
53,Monalisa,Lojay and  Sarz,62,9
54,Clash (feat. Stormzy),Dave and  Stormzy,72,3
55,Out There,Dangbana Republik and  Bella Shmurda,59,3
56,Professor Peller ft. Zlatan,Seyi Vibez,0,1
57,Tonongo,Lojay and  Sarz,63,9
58,World,Dangbana Republik and  Bella Shmurda,42,11
59,Lazarus,Dave and  Boj,0,1
60,Party Next Door,Dangbana Republik and  Bella Shmurda,66,4
61,LV N ATTN feat. Wizkid,Lojay and  Sarz,0,1
62,Bank On It,Burna Boy,83,11
63,Rise Up ft. Falz,2Baba,0,1
64,Late At Night,Roddy Ricch,68,8
65,Kilofeshe,Zinoleesky,73,9
66,La La (feat. CKay),Davido,71,10
67,Soldier Go,Dangbana Republik and  Bella Shmurda,64,3
68,Yafun Yafun,Ajebo Hustlers,91,2
69,Shopping Spree,Davido,70,2
70,All,Rexxie,67,5
71,Bia,Phyno,60,3
72,Oliver Twist,ArrDee,77,8
73,Infinity,Olamide,44,11
74,Too Correct,Crayon,79,10
75,Cash App,Bella Shmurda,41,11
76,Real Life,Burna Boy,90,11
77,Cocaine,Dai Verse,0,1
78,Door,Joeboy,80,11
79,Abule,Patoranking,82,5
80,Bad Influence,Omah Lay,84,11
81,Both Sides Of A Smile,Dave and  James Blake,0,1
82,KPK (Ko Por Ke),Rexxie,54,11
83,We're All Alone,Dave,0,1
84,Lako,Dangbana Republik and  Bella Shmurda,36,3
85,Verdansk,Dave,0,1
86,Three Rivers,Dave,0,1
87,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,61,11
88,Law Of Attraction,Dave and  Snoh Aalegra,0,1
89,Heart Attack,Dave,0,1
90,In The Fire,Dave,0,1
91,Southy Love,Peruzzi,69,11
92,Unconditionally ft. Oxlade,Ajebutter 22 and  Oxlade,0,1
93,Twenty To One,Dave,0,1
94,Loved By You (feat. Burna Boy),Justin Bieber,92,11
95,Blessed (feat. Damian Marley),Wizkid,88,11
96,Rush,Dangbana Republik and  Bella Shmurda,74,11
97,No Stress,Wizkid,85,11
98,Need For Speed,Olamide,56,6
99,Survivor's Guilt,Dave,0,1
100,Olofofo,Victor AD,95,8
