rank,song,artist,Previous week,weeks on chart
1,Feeling,"LADIPOE, Buju",1,4
2,Rock,Olamide,2,4
3,COMING,"Naira Marley, Busiswa",4,4
4,History,"Cheque, Fireboy DML",8,4
5,Kilometre,Burna Boy,6,4
6,Essence (feat. Tems),Wizkid,10,4
7,It Is What It Is,Adekunle Gold,11,4
8,Outside,Buju,13,4
9,Focus,Joeboy,14,4
10,Running (To You),"Chike, Simi",9,4
11,Late At Night,Roddy Ricch,0,1
12,FOR YOU,Teni,16,4
13,Pronto,"Ajebo Hustlers, Omah Lay",19,4
14,Felony,CKay,15,4
15,Godly,Omah Lay,18,4
16,Somebody Baby,"Davido, Peruzzi",20,4
17,dimension,JAE5,12,4
18,The Best,Davido,23,4
19,World,"Dangbana Republik, Bella Shmurda",30,4
20,All My Life,M.I Abaga,0,1
21,INJURE ME,Teni,35,4
22,Too Correct,"Crayon, Rema",31,3
23,Cash App,"Bella Shmurda, Zlatan, Lincoln",33,4
24,Music Messiah,"DJ Neptune, Wande Coal",32,2
25,Bounce,Ruger,3,4
26,Bling,Blaqbonez,21,4
27,Show Me,Joeboy,5,4
28,Body (Remix),"Tion Wayne, Russ Millions",37,4
29,Forever (Remix),"Gyakie, Omah Lay",7,4
30,Infinity,Olamide,39,4
31,23,Burna Boy,41,4
32,Door,"Joeboy, Kwesi Arthur",40,4
33,Ginger,Wizkid,26,4
34,La La (feat. CKay),Davido,25,3
35,Hallelu,Masterkraft,27,4
36,Voice of the Heroes,"Lil Baby, Lil Durk",57,2
37,Way Too Big,Burna Boy,43,4
38,Loved By You (feat. Burna Boy),Justin Bieber,22,4
39,KOLO,Ice Prince,44,4
40,Southy Love,Peruzzi,45,4
41,KPK (Ko Por Ke),"Rexxie, MohBad",28,4
42,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,24,4
43,Early Momo,Vector,46,4
44,Bad Influence,Omah Lay,50,4
45,Ayewada,Barry Jhay,58,2
46,Cho Cho,Zlatan,34,4
47,LV N ATTN feat. Wizkid,"Lojay, Sarz",95,2
48,Koleyewon,Naira Marley,36,4
49,High Way,"DJ Kaywise, Phyno",38,3
50,Rush,"Dangbana Republik, Bella Shmurda",42,4
51,Kilofeshe,Zinoleesky,47,2
52,Tonongo,"Lojay, Sarz",93,2
53,Money,"Terri, Bella Shmurda, MohBad",29,2
54,Ke Star (Remix),"Focalistic, Davido",17,4
55,Real Life,Burna Boy,62,4
56,Don Dada,Timaya,75,4
57,Commitment Issues,Central Cee,68,4
58,Oliver Twist,ArrDee,0,1
59,Olofofo,Victor AD,0,1
60,How It Feels,"Lil Baby, Lil Durk",0,1
61,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",51,4
62,Away,Ayra Starr,53,4
63,This Your Body,Skales and Davido,48,2
64,If You No Love,Chike,0,1
65,Ruger,Ruger,54,4
66,Champion,Fireboy DML & D Smoke,0,1
67,Lonely,Joeboy,0,1
68,Hold Me Tight,Kcee,0,1
69,No Stress,Wizkid,82,4
70,Bounse,Rema,60,4
71,Bank On It,Burna Boy,59,4
72,Monalisa,"Lojay, Sarz",97,2
73,Holy Ground,Davido,0,1
74,Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk, Travis Scott",98,2
75,Blessed (feat. Damian Marley),Wizkid,64,4
76,Sere (Remix),"Spinall, Fireboy DML and 6LACK",0,1
77,Park O X3,"Lojay, Sarz",0,1
78,2040,"Lil Baby, Lil Durk",99,2
79,Omemma,Judikay,0,1
80,Rich Off Pain (feat. Rod Wave),"Lil Baby, Lil Durk, Rod Wave",0,1
81,Panty!,"Lojay, Sarz",100,2
82,Abu Dhabi,Ruger,71,4
83,Who I Want,"Lil Baby, Lil Durk",0,1
84,RAPSTAR,Polo G,76,4
85,a m a r i,J. Cole,49,4
86,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,0,1
87,m y . l i f e (with 21 Savage & Morray),"J. Cole, 21 Savage, Morray",65,3
88,Triumphant,Olamide,61,3
89,Still Hood,"Lil Baby, Lil Durk",0,1
90,Reckless,Wizkid,77,4
91,Still Runnin (feat. Meek Mill),"Lil Baby, Lil Durk, Meek Mill",0,1
92,Heartbreak Anniversary,GIVON,72,4
93,Man of my Word,"Lil Baby, Lil Durk",0,1
94,At My Worst,Pink Sweat$,0,1
95,p r i d e . i s . t h e . d e v i l (with Lil Baby),"J. Cole, Lil Baby",70,3
96,Medical,"Lil Baby, Lil Durk",0,1
97,Love Like This,Lil Kesh ft fireboy,83,4
98,Flex,Kizz Daniel,0,1
99,Fendi (feat. Joeboy),Blaqbonez,73,4
100,Calling My Phone,"Lil Tjay, 6LACK",78,4
