rank,song,artist,Previous week,weeks on chart
1,Understand,Omah Lay,1,3
2,Feeling,"LADIPOE, Buju",6,10
3,Rock,Olamide,22,10
4,Outside,Buju,2,10
5,Sinner,"Adekunle Gold, Lucky Daye",3,2
6,Testimony,Buju,86,2
7,COMING,"Naira Marley, Busiswa",5,10
8,Essence (feat. Tems),Wizkid,4,10
9,Naira Marley,Zinoleesky,7,4
10,Feel Good,MohBad,0,1
11,Yaba Buluku (Remix),"DJ Tarico, Burna Boy",8,4
12,History,"Cheque, Fireboy DML",9,10
13,Kilometre,Burna Boy,13,10
14,CELEBRATE ME,Patoranking,14,6
15,Running (To You),"Chike, Simi",16,10
16,FOR YOU,Teni,19,10
17,Julie,Olamide,35,5
18,Godly,Omah Lay,17,10
19,Far Away,"Dangbana Republik, Bella Shmurda",10,2
20,Big Thug Boys,AV,27,5
21,Soundgasm,Rema,26,6
22,Confident,"Savage, Buju",31,6
23,Focus,Joeboy,30,10
24,Jailer,Olamide,29,5
25,Felony,CKay,61,10
26,Show Me,Joeboy,36,10
27,It Is What It Is,Adekunle Gold,37,10
28,Bling,Blaqbonez,32,10
29,Pronto,"Ajebo Hustlers, Omah Lay",40,10
30,Ke Star (Remix),"Focalistic, Davido",42,10
31,dimension,JAE5,41,10
32,HUSTLE,Teni,44,3
33,Ginger,Wizkid,43,10
34,Medicine,Jaywillz,47,4
35,PonPon,Olamide,38,5
36,Lako,"Dangbana Republik, Bella Shmurda",24,2
37,Peru,Fireboy DML,0,1
38,23,Burna Boy,46,10
39,Champion,"Dangbana Republik, Bella Shmurda",33,7
40,Forever (Remix),"Gyakie, Omah Lay",45,10
41,Cash App,"Bella Shmurda, Zlatan, Lincoln",21,10
42,World,"Dangbana Republik, Bella Shmurda",15,10
43,The Best,Davido,49,10
44,Infinity,Olamide,48,10
45,High Way,"DJ Kaywise, Phyno",51,9
46,Somebody Baby,"Davido, Peruzzi",20,10
47,Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,0,1
48,Bounse,Rema,91,10
49,Way Too Big,Burna Boy,50,10
50,Abu Dhabi,Ruger,89,10
51,Body (Remix),"Tion Wayne, Russ Millions",53,10
52,Early Momo,Vector,55,10
53,KOLO,Ice Prince,57,10
54,KPK (Ko Por Ke),"Rexxie, MohBad",56,10
55,Bounce,Ruger,23,10
56,Need For Speed,Olamide,34,5
57,INJURE ME,Teni,39,10
58,Somebody,Olamide,60,5
59,Out There,"Dangbana Republik, Bella Shmurda",12,2
60,Bia,Phyno,11,2
61,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,59,10
62,Monalisa,"Lojay, Sarz",67,8
63,Tonongo,"Lojay, Sarz",64,8
64,Soldier Go,"Dangbana Republik, Bella Shmurda",25,2
65,Hallelu,Masterkraft,52,10
66,Party Next Door,"Dangbana Republik, Bella Shmurda",18,3
67,All,Rexxie,63,4
68,Late At Night,Roddy Ricch,66,7
69,Southy Love,Peruzzi,70,10
70,Shopping Spree,Davido,0,1
71,La La (feat. CKay),Davido,72,9
72,Clash (feat. Stormzy),"Dave, Stormzy",68,2
73,Kilofeshe,Zinoleesky,69,8
74,Rush,"Dangbana Republik, Bella Shmurda",28,10
75,LV N ATTN (feat. Wizkid),"Lojay, Sarz",65,4
76,Woo Baby (feat. Chris Brown),Pop Smoke,0,1
77,Oliver Twist,ArrDee,73,7
78,Mr. Jones (feat. FUTURE),Pop Smoke,0,1
79,Too Correct,Crayon,76,9
80,Door,Joeboy,77,10
81,Korope,Lil Kesh,78,4
82,Abule,Patoranking,84,4
83,Bank On It,Burna Boy,95,10
84,Bad Influence,Omah Lay,54,10
85,No Stress,Wizkid,87,10
86,PEPE,L.A.X & Davido,81,6
87,Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,0,1
88,Blessed (feat. Damian Marley),Wizkid,88,10
89,Frenemies,Rexxie,80,4
90,Real Life,Burna Boy,74,10
91,Yafun Yafun,Ajebo Hustlers,0,1
92,Loved By You (feat. Burna Boy),Justin Bieber,94,10
93,More Time,Pop Smoke,0,1
94,Manslaughter (feat. Rick Ross & Th,ream) - Pop Smoke,0,1
95,Olofofo,Victor AD,98,7
96,Triumphant,Olamide,100,9
97,Good News,Pop Smoke,0,1
98,Reckless,Wizkid,99,5
99,RAPSTAR,Polo G,96,10
100,Enjoyment,Yemi Alade,0,1
