rank,song,artist,apple,boom,spotify,youtube,RT
1,Rock,Olamide,2,1,2,3,2
2,Feeling,"LADIPOE, Buju",1,2,1,4,2
3,Coming,"Naira Marley, Busiswa",6,7,7,21,10.25
4,Kilometre,Burna Boy,7,4,8,22,10.25
5,Forever (Remix),"Gyakie, Omah Lay",10,23,11,6,12.5
6,La La (feat. Ckay),Davido,17,15,19,8,14.75
7,Running (To You),"Chike, Simi",24,12,24,1,15.25
8,Bling (feat. Amaarae & Buju),Blaqbonez,3,24,4,34,16.25
9,Focus,Joeboy,14,6,15,31,16.5
10,Show Me,Joeboy,8,10,9,42,17.25
11,It Is What It Is,Adekunle Gold,16,16,17,27,19
12,FOR YOU (feat. Davido),Teni,31,17,34,12,23.5
13,Essence (feat. Tems),Wizkid,9,65,10,11,23.75
14,Godly,Omah Lay,39,8,40,10,24.25
15,Somebody Baby,"Davido, Peruzzi",15,33,16,38,25.5
16,Felony,CKay,12,47,13,32,26
17,Pronto,"Ajebo Hustlers, Omah Lay",11,58,12,39,30
18,History (feat. Fireboy DML),"Cheque, Fireboy DML",52,3,53,16,31
19,Dimension (feat. Skepta & Rema),JAE5,5,94,6,26,32.75
20,Ke Star (Remix) (feat. Virgo Deep),"Focalistic, Davido",13,91,14,19,34.25
21,World,"Dangbana Republik, Bella Shmurda",25,42,25,53,36.25
22,Too Correct,"Crayon, Rema",43,13,42,58,39
23,23,Burna Boy,34,39,35,50,39.5
24,High Way,"DJ Kaywise, Phyno",36,64,36,24,40
25,Outside,Buju,46,9,45,62,40.5
26,The Best (feat. Mayorkun),Davido,32,59,33,41,41.25
27,Loved By You (feat. Burna Boy),Justin Bieber,21,74,23,59,44.25
28,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,40,75,39,37,47.75
29,INJURE ME,Teni,37,26,38,97,49.5
30,Door,"Joeboy, Kwesi Arthur",58,11,60,70,49.75
31,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,30,90,30,54,51
32,Cash App,"Bella Shmurda, Zlatan, Lincoln",55,80,54,23,53
33,Koleyewon,Naira Marley,82,35,81,35,58.25
34,Jowo,Davido,50,87,51,46,58.5
35,Bounce,Ruger,44,18,325,5,98
36,"Body (Remix) (feat. ZT (3x3), Fivio Foreign, Buni & ArrDee)","Tion Wayne, Russ Millions",4,400,5,9,104.5
37,Way Too Big,Burna Boy,49,25,48,300,105.5
38,Infinity (feat. Omah Lay),Olamide,59,14,59,300,108
39,Bounce,Rema,23,400,3,15,110.25
40,Rush,"Dangbana Republik, Bella Shmurda",33,76,32,300,110.25
41,Ginger (feat. Burna Boy),Wizkid,18,400,20,43,120.25
42,Southy Love (feat. Fireboy DML),Peruzzi,20,400,22,40,120.5
43,Bank On It,Burna Boy,51,88,52,300,122.75
44,a m a r i,J. Cole,22,400,21,51,123.5
45,Loco (feat. Mayorkun),KDDO,79,41,75,300,123.75
46,Bad Influence,Omah Lay,74,51,79,300,126
47,KPK (Ko Por Ke),"Rexxie, MohBad",42,400,43,20,126.25
48,Real Life (feat. Stormzy),Burna Boy,62,85,62,300,127.25
49,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,90,29,90,300,127.25
50,Verified,Laycon,64,83,63,300,127.5
51,Loading (feat. Bad Boy Timz),Olamide,88,43,88,300,129.75
52,KOLO (feat. Oxlade),Ice Prince,26,400,27,69,130.5
53,Cho Cho,Zlatan,85,53,85,300,130.75
54,Early Momo (feat. Good Girl LA),Vector,28,400,29,66,130.75
55,Triumphant (feat. Bella Shmurda),Olamide,102,20,102,300,131
56,Sere,"Spinall, Fireboy DML, 6LACK",104,22,100,300,131.5
