,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
85,Kiss Me More (feat. SZA),Doja Cat,93,83,82,85,87,90,301,117.2857143
86,a p p l y i n g . p r e s s u r e,J. Cole,72,86,92,89,90,98,301,118.2857143
87,Loading (feat. Bad Boy Timz),Olamide,89,82,89,91,91,85,301,118.2857143
88,Triumphant (feat. Bella Shmurda),Olamide,95,94,91,88,86,81,301,119.4285714
89,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,92,90,87,90,89,91,301,120
90,Loco (feat. Mayorkun),KDDO,80,88,95,98,92,97,301,121.5714286
91,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,85,91,98,94,94,96,301,122.7142857
92,Beamer Body,KDDO,91,89,99,96,99,95,301,124.2857143
93,Smile (feat. H.E.R.),WizKid,99,97,93,95,95,92,301,124.5714286
94,Okay,Adekunle Gold,98,93,94,99,97,94,301,125.1428571
95,Body,Russ Millions,96,92,96,97,98,99,301,125.5714286
96,Seeing Green (with Drake & Lil Wayne),Nicki Minaj,74,81,88,92,96,301,301,147.5714286
97,Voice of the Heroes,Lil Baby,301,301,301,86,31,30,8,151.1428571
98,Happy Birthday,Simi,301,301,23,32,49,88,301,156.4285714
99,Capable God,Judikay,301,301,90,93,93,301,301,211.4285714
100,i n t e r l u d e,J. Cole,90,95,97,301,301,301,301,212.2857143
101,Tonongo,Lojay,301,301,301,301,301,31,11,221
102,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,94,96,301,301,301,301,301,242.1428571
103,1 0 0 . m i l  (with Bas),J. Cole,97,98,301,301,301,301,301,242.8571429
104,LV N ATTN feat. Wizkid,"Lojay, WizKid",301,301,301,301,301,301,4,258.5714286
105,Bling (feat. Amaarae & Buju),Blaqbonez,301,301,301,301,301,301,6,258.8571429
106,Hats Off (feat. Travis Scott),Lil Baby,301,301,301,301,301,301,19,260.7142857
107,Monalisa,Lojay,301,301,301,301,301,301,25,261.5714286
108,2040,Lil Baby,301,301,301,301,301,301,26,261.7142857
109,Panty!,Lojay,301,301,301,301,301,301,27,261.8571429
110,Who I Want,Lil Baby,301,301,301,301,301,301,29,262.1428571
111,Park O X3,Lojay,301,301,301,301,301,301,30,262.2857143
112,Still Hood,Lil Baby,301,301,301,301,301,301,33,262.7142857
113,All My Life (feat. Oxlade),M.I. Abaga,301,301,301,301,301,301,34,262.8571429
114,Still Runnin (feat. Meek Mill),Lil Baby,301,301,301,301,301,301,38,263.4285714
115,Man of my Word,Lil Baby,301,301,301,301,301,301,39,263.5714286
116,Medical,Lil Baby,301,301,301,301,301,301,43,264.1428571
117,Rich Off Pain (feat. Rod Wave),Lil Baby,301,301,301,301,301,301,44,264.2857143
118,How It Feels,Lil Baby,301,301,301,301,301,301,45,264.4285714
119,Up The Side (feat. Young Thug),Lil Baby,301,301,301,301,301,301,46,264.5714286
120,Late At Night,Roddy Ricch,301,301,301,301,301,301,54,265.7142857
121,Okay,Lil Baby,301,301,301,301,301,301,55,265.8571429
122,Lying,Lil Baby,301,301,301,301,301,301,56,266
123,Constantly,Speroach Beatz,301,301,301,301,301,301,59,266.4285714
124,Please,Lil Baby,301,301,301,301,301,301,64,267.1428571
125,That's Facts,Lil Baby,301,301,301,301,301,301,67,267.5714286
126,Make It Out,Lil Baby,301,301,301,301,301,301,69,267.8571429
127,Bruised Up,Lil Baby,301,301,301,301,301,301,72,268.2857143
128,If You Want To,Lil Baby,301,301,301,301,301,301,76,268.8571429
129,Oliver Twist,ArrDee,301,301,301,301,301,301,83,269.8571429
130,LV N ATTN feat. Wizkid,Lojay,301,301,301,301,301,86,301,270.2857143
131,FEM,DaVido,301,99,301,301,301,301,301,272.1428571
