rank,song,artist,apple,boom,spotify,youtube,deezer,RT
90,l e t . g o . m y . h a n d (with Bas & 6LACK),"J. Cole, Bas, 6LACK",95,400,91,325,87,199.6
91,Your Body,Mayorkun,86,400,84,325,106,200.2
92,i n t e r l u d e,J. Cole,102,400,100,325,84,202.2
93,Tonongo,"Lojay, Sarz",100,400,101,325,103,205.8
94,Smile (feat. H.E.R.),Wizkid,92,400,93,325,134,208.8
95,LV N ATTN feat. Wizkid,"Lojay, Sarz",103,400,104,325,113,209
96,Jennifer,Guchi,375,17,350,9,300,210.2
97,Monalisa,"Lojay, Sarz",105,400,107,325,116,210.6
98,Hats Off,"Lil Baby, Lil Durk, Travis Scott",104,400,106,325,119,210.8
99,2040,"Lil Baby, Lil Durk",106,400,108,325,120,211.8
100,Panty!,"Lojay, Sarz",107,400,109,325,118,211.8
101,Park O X3,"Lojay, Sarz",109,400,111,325,117,212.4
102,All My Life (feat. Oxlade),M.I Abaga,111,400,113,325,115,212.8
103,Who I Want,"Lil Baby, Lil Durk",108,400,110,325,121,212.8
104,Still Hood,"Lil Baby, Lil Durk",110,400,112,325,125,214.4
105,Late At Night,Roddy Ricch,118,400,120,325,114,215.4
106,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave",115,400,117,325,123,216
107,1 0 0 . m i l ,"J. Cole, Bas",129,400,103,325,126,216.6
108,Hold Me Tight ft. Peruzzi & Okwesili Eze Group,Kcee,375,19,350,39,300,216.6
109,Oliver Twist,ArrDee,127,400,129,325,102,216.6
110,Medical,"Lil Baby, Lil Durk",114,400,116,325,131,217.2
111,Man of my Word,"Lil Baby, Lil Durk",113,400,115,325,135,217.6
112,Still Runnin,"Lil Baby, Lil Durk, Meek Mill",112,400,114,325,138,217.8
113,Abule,Patoranking,375,32,350,46,300,220.6
114,FEM,Davido,130,400,131,325,124,222
115,If You No Love,Chike,375,41,350,47,300,222.6
116,Jehovah Overdo,Chidinma,375,88,350,10,300,224.6
117,Enjoy (Remix) ft. Mafikizolo,Tekno,375,61,350,42,300,225.6
118,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,65,400,61,325,300,230.2
119,Champion,Fireboy DML,375,33,350,325,70,230.6
120,True Love (feat. Tay Iwar & Projexx),Wizkid,67,400,66,325,300,231.6
121,Mighty Wine,Wizkid,68,400,67,325,300,232
122,Holy Ground (feat. Nicki Minaj),Davido,72,400,71,325,300,233.6
123,MONTERO (Call Me By Your Name),Lil Nas X,375,400,350,19,29,234.6
124,Sere (Remix),DJ Spinall,375,59,350,325,68,235.4
125,Lonely,Joeboy,375,45,350,325,85,236
126,Piece of Me (feat. Ella Mai),Wizkid,80,400,80,325,300,237
127,Onyeka (Baby),Burna Boy,83,400,82,325,300,238
128,Mood Swings (feat. Lil Tjay),Pop Smoke,84,400,83,325,300,238.4
129,Okay,Adekunle Gold,94,400,94,325,300,242.6
130,Beamer Body,"KDDO, Davido",96,400,92,325,300,242.6
131,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",99,400,96,325,300,244
132,Save Your Tears (Remix),The Weeknd,375,400,350,32,92,249.8
133,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,128,400,102,325,300,251
134,How It Feels,"Lil Baby, Lil Durk",116,400,118,325,300,251.8
135,Up The Side,"Lil Baby, Lil Durk, Young Thug",117,400,119,325,300,252.2
136,Lying,"Lil Baby, Lil Durk",120,400,122,325,300,253.4
137,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,121,400,123,325,300,253.8
138,SUN GOES DOWN,Lil Nas X,375,400,350,65,80,254
139,Please,"Lil Baby, Lil Durk",122,400,124,325,300,254.2
140,That's Facts,"Lil Baby, Lil Durk",123,400,125,325,300,254.6
141,Make It Out,"Lil Baby, Lil Durk",124,400,126,325,300,255
142,Bruised Up,"Lil Baby, Lil Durk",125,400,127,325,300,255.4
143,Lucid Dreams,Juice WRLD,375,400,350,54,99,255.6
144,If You Want To,"Lil Baby, Lil Durk",126,400,128,325,300,255.8
145,Straightenin,Migos,375,400,350,76,83,256.8
146,Jackpot,Crayon,375,99,350,325,137,257.2
147,At My Worst (feat. Kehlani),Pink Sweat$,375,400,350,86,79,258
148,OLOFOFO,Victor AD,375,11,350,325,300,272.2
149,Can't Relate,Omah Lay,375,23,350,325,300,274.6
150,Focus Vibe,Slimcase,375,28,350,325,300,275.6
151,You,Omah Lay,375,37,350,325,300,277.4
152,Omemma,Judikay,375,40,350,325,300,278
153,My Bebe,Omah Lay,375,42,350,325,300,278.4
154,Hallelujah Challenge Praise Medley,Nathaniel Bassey,375,49,350,325,300,279.8
155,Damn,Omah Lay,375,57,350,325,300,281.4
156,Confession,Omah Lay,375,58,350,325,300,281.6
157,Dick Appointment,Erigga,375,62,350,325,300,282.4
158,GAT ME SINGING,Luddy Dave,375,64,350,325,300,282.8
159,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,375,65,350,325,300,283
160,Sugar Daddy ft. Olamide,Dj Enimoney,375,66,350,325,300,283.2
161,"Bossy Part II ft. Erica Banks, Kida Kudz, Cuppy & Amaarae",WurlD,375,67,350,325,300,283.4
162,Lo Lo,Omah Lay,375,70,350,325,300,284
163,Lagos Anthem,Zlatan,375,71,350,325,300,284.2
164,Obinasom,Mercy Chinwo,375,74,350,325,300,284.8
165,ATL,Ecool,375,75,350,325,300,285
166,Baba Nla (feat. Teni) ft. Teni,Candy Bleakz,375,76,350,325,300,285.2
167,Ori,Barry Jhay,375,79,350,325,300,285.8
168,Aye,Naira Marley,375,80,350,325,300,286
169,Roju,Chike,375,82,350,325,300,286.4
170,No Fit Vex,Burna Boy,375,83,350,325,300,286.6
171,Adkin,K1 De Ultimate,375,85,350,325,300,287
172,Wonderful,Burna Boy,375,86,350,325,300,287.2
173,Butter,BTS,375,400,350,12,300,287.4
174,Many Nites,Erigga,375,87,350,325,300,287.4
175,Green Light,Olamide,375,89,350,325,300,287.8
176,Monsters You Made ft. Chris Martin,Burna Boy,375,90,350,325,300,288
177,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,375,400,350,16,300,288.2
178,Faithful God (Live),Onos,375,92,350,325,300,288.4
179,Too Much,Chioma Jesus,375,94,350,325,300,288.8
180,If E Happen For Lagos,Runtown,375,95,350,325,300,289
181,Adura ft. Mohbad,Bella Shmurda,375,97,350,325,300,289.4
182,Onyedikagi (feat. Glowrie),Mercy Chinwo,375,400,350,24,300,289.8
183,In My Maserati,Olakira,375,400,350,28,300,290.6
184,Sai dake,Hamisu Breaker,375,400,350,34,300,291.8
185,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,375,400,350,36,300,292.2
186,Bigger Everyday (Live),"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple",375,400,350,50,300,295
187,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,375,400,350,51,300,295.2
188,Dama,Namenj & Hamisu Breaker,375,400,350,56,300,296.2
189,Twisted Fantasy,Justine Skye & Rema,375,400,350,58,300,296.6
190,Congratulations (feat. Buchi Atuonwu),Ada Ehi,375,400,350,63,300,297.6
191,Good Woman,Flavour,375,400,350,68,300,298.6
192,Omo Ologo,Lil Frosh & Zinoleesky,375,400,350,69,300,298.8
193,Exotic,Korexx,375,400,350,71,300,299.2
194,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",375,400,350,73,300,299.6
195,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,375,400,350,74,300,299.8
196,Astronaut In The Ocean,Masked Wolf,375,400,350,325,50,300
197,Million Little Miracles,Elevation Worship & Maverick City Music,375,400,350,77,300,300.4
198,You're Welcome,Dwayne Johnson,375,400,350,78,300,300.6
199,Up,Cardi B,375,400,350,79,300,300.8
200,Dior,Pop Smoke,375,400,350,325,58,301.6
201,Flamerz Flow,Meek Mill,375,400,350,83,300,301.6
202,Build a Bitch,Bella Poarch,375,400,350,84,300,301.8
203,ROCKSTAR,"DaBaby, Roddy Ricch",375,400,350,325,59,301.8
204,Lemonade,"Internet money, Gunna, Don Toliver, NAV",375,400,350,325,61,302.2
