Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP
87,-,Ed Sheeran,Shape of You,-,1,34,94,2020-01-05,94,2020-01-05
88,-,Midas the Jagaban,Party With A Jagaban,-,88,1,,,,
89,-,Jim Kirkpatrick,All You Need (Is All You Have),-,46,5,,,,
90,-,Leczy,Bamise (feat. Papisnoop & Jamopyper),-,90,1,,,,
91,-,Fela Kuti,Lady,-,14,38,,,,
92,-,2Baba,Gaga Shuffle,-,32,17,,,,
93,-,Mr. 2Kay,Belema,-,7,18,,,,
94,-,Omawumi,Through the Fire,-,8,28,,,,
95,-,Flavour,Nnekata,-,1,20,,,,
96,-,Tye Tribbett,African Medley (feat. Uche Agu & Mumen Ngenge) [Live],-,96,1,,,,
97,-,Oscar Poulsen,Snow Informer (Joshua Puerta Remix),-,97,1,,,,
98,-,Mmzy,Dominate,-,49,4,,,,
99,down,Ycee,Nu Riddim,71,25,9,,,,
100,down,Yung L,Operator,16,16,6,,,,
