rank,song,artist,Previous week,weeks on chart
1,Tycoon,Show Dem Camp,2,8
2,Crown Of Clay (feat. Pheelz),"Vector,  Khaligraph Jones and  Dip Doundou Guiss",1,9
3,Second Sermon,Black Sherif,3,9
4,Jack,Nasty C,4,9
5,Wonder (feat. Patoranking) ,Dremo,38,6
6,Vibration,Sarkodie and  VIC MENSA,10,9
7,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",6,9
8,Coachella (feat. Kwesi Arthur),Sarkodie,13,9
9,Heartbreaker (feat. Nasty C),Blaqbonez,5,9
10,Euphoria,PsychoYP,7,9
11,Purple rain (feat. PsychoYP),Laime,26,9
12,Best I Ever Had,Nasty C,8,2
13,First Sermon,Black Sherif,9,6
14,If Its On (feat. Boutross) ,Silverstone Barz,40,6
15,Lazarus (feat. Boj),Dave,12,6
16,Align ft. LadiPoe,Show Dem Camp featuring LadiPoe,11,2
17,Check Yourself,Kaptain,14,9
18,early momo,Vector,15,6
19,Non Living Thing feat. Oxlade,Sarkodie,16,3
20,Feeling,LADIPOE,17,3
21,All My Life (feat. Oxlade),M.I Abaga,0,1
22,Midf (Money I Dey Find),Ycee,19,8
23,No Fear (feat. Moliy),M.anifest,18,7
24,KOLO (feat. Oxlade),Ice Prince ,23,2
25,Rappers (feat. Dremo),Dreylo feat. Dremo,21,6
26,Black And White,Nasty C,20,2
27,HEATHROW   ,Droxx and  Mo'gunz,24,2
28,Up,Finedope,27,7
29,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,31,2
30,Ofr3,$pacely,44,2
31,Do or Die,Kweku Smoke,30,4
32,Sinner,"Smallgod, Headie One, O'Kenneth",22,6
33,wavy,Khaligraph Jones,32,2
34,TBDK (feat. Sinzu & Erigga),M.I Abaga,25,4
35,Hmm,G4 Boyz,28,2
36,Yafun Yafun,Ajebo Hustlers,34,2
37,On Me (feat. Dwillsharmony & PsychoYP) ,Beatsbykarma,35,6
38,Brag,DETO BLACK,33,2
39,+234 (Daily Paper),PsychoYP,0,1
40,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",37,2
41,Like Dat (feat. PsychoYP) ,Kess,36,2
42,Easy Come,$pacely,29,5
43,Peace of Mind,OG Hyper,39,7
44,Gbese,Ogranya and  Show Dem Camp,0,1
45,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,42,3
46,Aketesia,Kweku Darlington,41,4
47,Omo X 100 ft. Olamide,Reminisce,43,2
48,Call Me Baby,Cheque,49,4
49,My Crew (feat. Lil5ive),Kiiwii,45,3
50,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp featuring Tomi Thomas,46,3
