rank,song,artist,apple,audiomark,youtube,RT
88,"Zombie (feat. PsychoYP, Laycon & A-Q)",Blaqbonez,500,46,450,696.0
89,Nomakanjani,Costa Titch,36,510,450,696.0
90,Big Toy,"Jojo Sk, Elias Tag\'em",37,510,450,697.0
91,Colonization,NSG,38,510,450,698.0
92,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG,500,49,450,699.0
93,Deep In Da Streets,TNT Kenya,39,510,450,699.0
94,Foreign (feat. Trigga the 24),ameen,500,50,450,700.0
95,Corns (Freestyle),"BURUKLYN BOYZ, AJAY",40,510,450,700.0
96,Text My Ex (feat. Bryan The Mensah),D-Truce,500,51,450,701.0
97,Long Way,Emtee,42,510,450,702.0
98,BROWN (feat. Una Rams),King Lutendo featuring Una Rams,500,52,450,702.0
99,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz,500,53,450,703.0
100,Feelin U (feat. Mi Casa & Blxckie),Gigi Lamayne,43,510,450,703.0
101,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones",500,54,450,704.0
102,THOHO KHULU PART 3,King Lutendo,500,55,450,705.0
103,Yarn Dust,Delis,45,510,450,705.0
104,HEATHROW,Droxx & Mo'gunz,500,56,450,706.0
105,Heavy On the Game,Hugo P,46,510,450,706.0
106,Fresh (feat. Samba Peuzzi),Iss 814,47,510,450,707.0
107,waterbody,mwami,500,57,450,707.0
108,All My Life (feat. Oxlade),M.I Abaga,48,510,450,708.0
109,Magun 2.0 (feat. TROD & Kabex),OG Hyper,49,510,450,709.0
110,Cassette (feat. King Promise),Nanky,500,60,450,710.0
111,4 You,Yung D3mz,500,61,450,711.0
112,Batman Remix (feat. Miles Caliph),Tobii WTW,51,510,450,711.0
113,LA MINE ( Phase Test II ),Joe Kingston,52,510,450,712.0
114,Goboyi (feat. Oladips & Tcash_omowest),"Odumodublvck, Reeplay",500,62,450,712.0
115,On connait \xc3\xa7a,Black K,53,510,450,713.0
116,Check Yourself,Kaptain,500,63,450,713.0
117,"Ka$h App (feat. Denz\'l, Kiienka, Begho & Bolaryn)",Beezyx,54,510,450,714.0
118,OPS,KashCPT,500,64,450,714.0
119,On the Move (feat. Dead Peepol),RichMiller,500,65,450,715.0
120,Chris (feat. Yogi schools),Shakur,55,510,450,715.0
121,We Go Better Pass Yesterday,Ennwai,56,510,450,716.0
122,Hut,Blxckie,57,510,450,717.0
123,Amadlozi,Mondo Dusk,58,510,450,718.0
124,The Warm Up,Bolu,59,510,450,719.0
125,Sahwira,Holy Ten,60,510,450,720.0
126,Bruddah,Darrell Cole,62,510,450,722.0
127,I Be Your Mate (feat. Magnito),L Easy,63,510,450,723.0
128,Confusion,M.anifest,64,510,450,724.0
129,Bible N Rifle,Biy Martins,65,510,450,725.0
130,Trap Sequel (feat. Enkay B),All Gees,67,510,450,727.0
131,Sinner (feat. Kwaku DMC & LP2Loose),"Smallgod, Headie One, O\'Kenneth",68,510,450,728.0
132,Loving You (feat. Peruzzi),D-Black,69,510,450,729.0
133,Banga,Yung Pabi,70,510,450,730.0
134,Asampepe,"Wale Turner, Idowest",71,510,450,731.0
135,Iprc,Didi B,72,510,450,732.0
136,Lady with a Choppa,"M8alla, Kelly Kale",74,510,450,734.0
137,Body On Me,Layzee Ella,75,510,450,735.0
138,Guarded Up,"Straffitti, GCL3F",76,510,450,736.0
139,Gas,Blxckie,78,510,450,738.0
140,E Go Be,Chuks Profound,79,510,450,739.0
141,Lil N****s (feat. Jay Money & Keezy),Kwaku DMC,80,510,450,740.0
142,About Money,SunkkeySnoop,81,510,450,741.0
143,Forward,M3NSA,82,510,450,742.0
144,Ipromise (feat. Tulenkey & Amg Armani),Eddie Khae,83,510,450,743.0
145,Faut pas me d\xc3\xa9ranger,"Fanicko, Suspect 95",84,510,450,744.0
146,Se\xc3\xb1orita (feat. RAYVANNY),Ma\xc3\xaetre Gims,85,510,450,745.0
147,Bugia (feat. Cleo Ice Queen) [Remix],"Tallie, Ssaru, Pryse",86,510,450,746.0
148,W.A.G (feat. Sarkodie & Youssoupha),Rouge,87,510,450,747.0
149,Musazvituma,Holy Ten,88,510,450,748.0
150,THE 5 YEAR PLAN (feat. Wordz),A-Reece,89,510,450,749.0
151,Mona Lisa (feat. JSX),Booba,90,510,450,750.0
152,Mood (feat. Sean Lifer),Yaw Tog,91,510,450,751.0
153,Laqhasha (feat. Lolli Native & Flash Ikumkani),Emtee,92,510,450,752.0
154,Prada Tears/La Costa Nostra,Lethabo Acid,95,510,450,755.0
155,Steve Biko,Nasty C,500,510,3,1011.0
156,TBDK (feat. Erigga & Sinzu),M.I Abaga,500,510,4,1011.3333333333334
157,Rap Messiah,Ladipoe,500,510,7,1012.3333333333334
158,Happy Day (feat. Kuami Eugene),Sarkodie,500,510,9,1013.0
159,La Hustle remix ft. Criss Waddle & Joey B [The Truth Album] (Audio Slide),Medikal,500,510,12,1014.0
160,Black And White,Nasty C & Ari Lennox,500,510,13,1014.3333333333334
161,ON MY JOB (feat. PsychoYP),Sipho the Gift,500,510,17,1015.6666666666666
162,Champagne Already?,"LADIPOE, Mainland BlockParty & Terry Apala",500,510,18,1016.0
163,Shut Up,Blaqbonez,500,510,19,1016.3333333333334
164,A,Jesse Jagz,500,510,21,1017.0
165,Midf (Money I Dey Find),Ycee,500,510,22,1017.3333333333334
166,The Target,Medikal,500,510,24,1018.0
167,"Right Now Reloaded (feat. Emtee, Nasty C, Tellaman & The Big Hash)",Gemini Major,500,510,25,1018.3333333333334
168,STFU,Dremo,500,510,26,1018.6666666666666
169,x SARKODIE - WAVY (OFFICIAL VIDEO),khaligraph jones ria,500,510,27,1019.0
170,That Year (feat. Sir Dauda),Show Dem Camp,500,510,28,1019.3333333333334
171,40 Bars (feat. Emtee),Emtee,500,510,29,1019.6666666666666
172,Problems,Darkovibes,500,510,30,1020.0
173,Casino,"Sho Madjozi, Flvme & AKA",500,510,31,1020.3333333333334
