,Position,song,artist
0,1,Feeling,LADIPOE
1,2,Jack,Nasty C
2,3,La go,Kiff No Beat
3,4,KOLO (feat. Oxlade),Ice Prince
4,5,In My Bed,Rotimi
5,6,Second Sermon,Black Sherif
6,7,Rollies and Cigars,Sarkodie
7,8,CHAMPEZ,Khaligraph Jones
8,9,Do or Die,Kweku Smoke
9,10,Ring My Line (feat. Headie One),King Promise
10,11,+234 (Daily Paper),PsychoYP
11,12,Ye x4,Blxckie
12,13,Slide,Lucasraps
13,14,Aketesia,Kweku Darlington
14,15,Ghetto (feat. Nasty C),Kizz Daniel
15,16,Money Bag,Ria Sean
16,17,Super Soft,Costa Titch
17,18,Coachella,Sarkodie
18,19,Umoroto,Wakadinali
19,20,Easy Come,$pacely
20,21,Yafun Yafun,Ajebo Hustlers
21,22,Wonder,Dremo
22,23,Gbese,Ogranya
23,24,Crown Of Clay (Remix),Vector
24,25,Uthini (feat. Blxckie & Phantom Steeze),Costa Titch
25,26,Purple rain,LAIME
26,27,Tycoon,Show Dem Camp
27,28,All My Life (feat. Oxlade),M.I Abaga
28,29,If Its On,Silverstone Barz
29,30,Brag,DETO BLACK
30,31,Vibration,Sarkodie
31,32,Eazy,Nasty C
32,33,Pockets,Octopizzo
33,34,Money Calling,P Montana
34,35,Ofr3,$pacely
35,36,Champion,Fireboy Dml
36,37,Best Friend (Bonus Track),Ashs the Best
37,38,Best I Ever Had,Nasty C
38,39,Omo X 100,Reminisce
39,40,My Crew,Kiiwii
40,41,Petty,Kim of Diamonds
41,42,Warena,mbogi genje
42,43,Forever,Frank Casino
43,44,First Sermon,Black Sherif
44,45,Long Way,Emtee
45,46,Wavy (feat. Sarkodie),Khaligraph Jones
46,47,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Mann
47,48,DKM (Ma Pa Mi),Loti
48,49,Breathe,A-Q
49,50,RBG,Elzo Jamdong
