rank,song,artist,Previous week,weeks on chart
1,Crown Of Clay (feat. Pheelz),"Vector,  Khaligraph Jones and  Dip Doundou Guiss",8,5
2,Jack,Nasty C,2,6
3,Coachella (feat. Kwesi Arthur),Sarkodie and  Kwesi Arthur,3,6
4,Heartbreaker (feat. Nasty C),Blaqbonez,5,6
5,Tycoon,Show Dem Camp,1,3
6,Second Sermon,Black Sherif,24,6
7,Euphoria,PsychoYP,7,6
8,Vibration,Sarkodie and  VIC MENSA,4,6
9,First Sermon,Black Sherif,10,6
10,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",9,6
11,Feeling,LADIPOE and  Buju,13,6
12,Best I Ever Had,Nasty C,16,6
13,Ye x4,Blxckie and  Nasty C,36,3
14,Omo X 100 ft. Olamide,Reminisce,6,3
15,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,11,3
16,My Crew (feat. Lil5ive),Kiiwii,18,4
17,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,19,6
18,Breathe (feat. Chike),A-Q,20,3
19,Check Yourself,Kaptain,21,5
20,Align ft. LadiPoe,Show Dem Camp,12,6
21,All My Life (feat. Oxlade),M.I Abaga,14,3
22,TBDK (feat. Sinzu & Erigga),M.I Abaga,26,5
23,Midf (Money I Dey Find),Ycee,27,4
24,Sinner,"Smallgod, Headie One, O'Kenneth",17,2
25,Rappers (feat. Dremo),Dreylo feat. Dremo,29,3
26,KOLO (feat. Oxlade),Ice Prince ,28,3
27,Black And White,Nasty C,30,3
28,Question For The Gods,M3NSA,25,4
29,Yafun Yafun,Ajebo Hustlers,0,1
30,No Fear (feat. Moliy),M.anifest,31,4
31,Ofr3,$pacely,0,1
32,Hmm,G4 Boyz,34,3
33,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",39,2
34,Call Me Baby,Cheque,0,1
35,Forever,Frank Casino,33,3
36,Decisions,Jay Bahd,35,3
37,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,44,3
38,Hustlers Prayer (feat. A-Reece),25K,42,3
39,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp featuring Tomi Thomas,15,4
40,DKM (Ma Pa Mi),Loti,43,3
41,"Keja (feat. Munyakx, Nare & Boutross)",Juicee Mann,0,1
42,I Want,Chris Kaiga,45,2
43,RBG,Elzo Jamdong,46,4
44,Feel,Mrolaide ,0,1
45,Dimension ft. Skepta & Rema,Jae5,0,1
46,Koleyewon,Naira Marley,0,1
47,Tell The Vision ft. Kanye West & Pusha T,Pop Smoke,0,1
48,Many Nites,Erigga,0,1
49,Good News,Pop Smoke,0,1
50,Bout A Million ft. 21 Savage & 42 Dugg,Pop Smoke,0,1
