,Position,song,artist
0,1,Feeling,LADIPOE
1,2,La go,Kiff No Beat
2,3,KOLO (feat. Oxlade),Ice Prince
3,4,Second Sermon,Black Sherif
4,5,Jack,Nasty C
5,6,+234 (Daily Paper),PsychoYP
6,7,Rollies and Cigars,Sarkodie
7,8,In My Bed,Rotimi
8,9,Do or Die,Kweku Smoke
9,10,Ye x4,Blxckie
10,11,Ring My Line (feat. Headie One),King Promise
11,12,Slide,Lucasraps
12,13,Umoroto,Wakadinali
13,31,Tycoon,Show Dem Camp
14,32,Champion,Fireboy Dml
15,33,Best Friend (Bonus Track),Ashs the Best
16,34,Warena,mbogi genje
17,35,Best I Ever Had,Nasty C
18,36,Omo X 100,Reminisce
19,37,Pockets,Octopizzo
20,38,Ofr3,$pacely
21,39,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Mann
22,40,Eazy,Nasty C
23,41,My Crew,Kiiwii
24,42,Petty,Kim of Diamonds
25,43,Forever,Frank Casino
26,44,First Sermon,Black Sherif
27,45,Long Way,Emtee
28,46,DKM (Ma Pa Mi),Loti
29,47,Wavy (feat. Sarkodie),Khaligraph Jones
30,48,Breathe,A-Q
31,49,RBG,Elzo Jamdong
32,50,Kokonsa,Omar Sterling
