rank,song,artist,Previous week,weeks on chart
1,Crown Of Clay (feat. Pheelz),"Vector,  Khaligraph Jones and  Dip Doundou Guiss",2,9
2,Second Sermon,Black Sherif,3,10
3,Jack,Nasty C,4,10
4,Tycoon,Show Dem Camp,1,10
5,+234 (Daily Paper),PsychoYP,39,7
6,Wonder (feat. Patoranking) ,Dremo,5,10
7,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",7,10
8,Vibration,Sarkodie and  VIC MENSA,6,10
9,First Sermon,Black Sherif,13,10
10,Best I Ever Had,Nasty C,12,10
11,My Crew (feat. Lil5ive),Kiiwii,49,10
12,Coachella (feat. Kwesi Arthur),Sarkodie,8,3
13,Check Yourself,Kaptain,17,7
14,Euphoria,PsychoYP,10,7
15,La Vida,M.anifest,0,1
16,early momo,Vector,18,3
17,Align ft. LadiPoe,Show Dem Camp featuring LadiPoe,16,10
18,Feeling,LADIPOE,20,7
19,Non Living Thing feat. Oxlade,Sarkodie,19,4
20,Midf (Money I Dey Find),Ycee,22,4
21,No Fear (feat. Moliy),M.anifest,23,2
22,Black And White,Nasty C,26,9
23,TBDK (feat. Sinzu & Erigga),M.I Abaga,34,8
24,Rappers (feat. Dremo),Dreylo feat. Dremo,25,3
25,Heartbreaker (feat. Nasty C),Blaqbonez,9,7
26,Ye x4,Blxckie,0,1
27,HEATHROW   ,Droxx and  Mo'gunz,27,3
28,Hmm,G4 Boyz,35,8
29,wavy,Khaligraph Jones,33,3
30,Ofr3,$pacely,30,3
31,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,29,5
32,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",40,7
33,Do or Die,Kweku Smoke,31,3
34,On Me (feat. Dwillsharmony & PsychoYP) ,Beatsbykarma,37,5
35,Like Dat (feat. PsychoYP) ,Kess,41,3
36,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,45,3
37,Purple rain (feat. PsychoYP),Laime,11,7
38,If Its On (feat. Boutross) ,Silverstone Barz,14,3
39,Omo X 100 ft. Olamide,Reminisce,47,2
40,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Mann,0,1
41,Monalisa ft. Sarz,Lojay,0,1
42,Bounce (UK Remix) ft. Midas The Jagaban,Ruger,0,1
43,Koleyewon,Naira Marley,0,1
44,Dimension ft. Skepta & Rema,Jae5,0,1
45,For the Money ft. Peruzzi,Phyno,0,1
46,Late At Night,Roddy Ricch,0,1
47,Many Nites,Erigga,0,1
48,Good Girls ft. Grafezzy,PlaTBoss,0,1
49,System ft. WizKid,Dave,0,1
50,All My Life (feat. Oxlade),M.I Abaga,21,4
