Position,song,artist
1,Whipped (feat. DarkoVibes),Sarkodie
2,Spotlight (feat. El Choco),Darrell Cole
3,Easy Come (feat. Okese1),$pacely
4,Second Sermon,Black Sherif
5,Come With Me,Sam Asari
6,Do or Die,Kweku Smoke
7,Brag,DETO BLACK
8,Yafun Yafun,Ajebo Hustlers
9,Salute (feat. Rissy God),Wavedave
10,Petite,NSG
11,Purple Rain (feat. PsychoYP),Laime
12,Somebody (feat. Phyno),Olamide
13,mONEY,Lanray X and  Rotex
14,Baby Stuff (feat. Kayode),Tobii WTW and  Kadens
15,That Guy,T.O.D SZN and  EESKAY
16,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
17,Bobby (feat. Timmy Blanco),Silverstone Barz
18,Racks (feat. Pukido),F$rgo
19,Money,BADYOUTH
20,GET A GRIP,DEELA
21,Wonder (feat. Patoranking),Dremo
22,MKD,Skillz 8Figure
23,Yawa,Baba Kuboye
24,OKAY,Franglish and  Tyga
25,Iprc,Didi B
26,Pololo (feat. Tiakola),MHD
27,Seke (feat. TiwaDara),Vader the Wildcard
28,SHARK (feat. Teios),Glorich
29,Laye (feat. Zlatan),Bennylee
30,Mbougeul,Shampagne Baby
31,OMOKOMO,Baddy Oosha
32,Eyes But No Eyes,M3NSA
33,See You Next Week,Dremo
34,Badder Than Bad (feat. Fame Holiday),Jbwai
35,If Its On (feat. Boutross),Silverstone Barz
36,Aketesia (feat. Laycon & Medikal),Kweku Darlington
37,GENG (feat. Windy Citi),Lasko Blark
38,Match Esili (Freestyle),Crystal
39,Vibration,Sarkodie and  VIC MENSA
40,Sika Beba (feat. Pope Skinny & Kwesi Slay) [Remix],Akesisem
41,Saneba,TiDraps
42,Hustle,Nami
43,GET A GRIP,DEELA
44,Touch Down (feat. Wav. Casino),Kvng Dav
45,Makaveli,Kida Kudz
46,FETA,Kashcpt
47,Feeling Like Me (feat. Kojey Radical),Nego True and  Hunter Rose
48,Kivuruga,Bushali and  Ghanaian Stallion
49,Dreams (feat. Kashcpt & FlowJones Jr.),Kilo Kami
50,Umbrella,Kezyklef and  Zoro
51,Ofr3 (feat. Kawabanga & Kwaku DMC),$pacely
52,Crown of Clay (Remix) [feat. Ashs The Best],"Vector,  Khaligraph Jones and  Dip Doundou Guiss"
53,Senior Man,Abobi Eddieroll
54,Non Living Thing (feat. Oxlade),Sarkodie
55,Like Dat,Kess
56,A. Iverson (feat. dndSection),Zamir
57,T.Y.B,"Del B,  Phyno and  Mufasa"
58,Pagans,"Kelly Anthony,  Sarkodie and  Larruso"
59,3:05Am,Kenah
60,Whine It Pon Me (feat. Tribe Mark),Young D
61,Wossu (I dey my dey) [feat. isKwarteng],kuuku black
62,Call Me Baby,Cheque
63,Zamo,Ajebo Hustlers
64,Many Things,Ruqiz
65,Go Slow (feat. Otega),Niko
66,Peace of Mind,OG Hyper
67,Naughty,Stella Mwangi
68,Untimely,Kelly Anthony and  Vory
69,Kaku (feat. Baloranking),Eleniyan
70,Up (feat. Favi & Huloo),Finedope
71,Aquafina Froze,Sosa-E
72,Barbxc3xa4dos (feat. Show Dem Camp),Shaykeh
73,Greatness,Femi One
74,SOIL,Priddy Ugly
75,Stress Away,W1zzy and  PVPI STRZ
76,Knights,Darrell Cole
77,Kilode (Remix) [feat. Geezyshore],Tobii WTW
78,Omo X 100 (feat. Olamide),Reminisce
79,Last Day Out (feat. DEELA),T6lu
80,Cakes (feat. PatricKxxLee & KashCPT),Straffitti
81,Jack,Nasty C
82,Survive (feat. Olamide),Jaido P
83,Question For the Gods (feat. M.anifest),M3NSA
84,Fiesta (feat. Naira Marley),MHD
85,Forever (feat. Riky Rick),Frank Casino
86,Barima,Kwaku DMC
87,Align (feat. LADIPOE),Show Dem Camp
88,Uthini (feat. Blxckie & Phantom Steeze),Costa Titch
89,Loyal,Acebergtm
90,Feeling,LADIPOE and  Buju
91,Ye X 4,Blxckie and  Nasty C
92,HIGH (feat. AratheJay),Korshi T
93,ROCKETS,Kashcpt
94,Body on Me,Sudxn
95,Zaza,Brian Simba
96,Coachella,Sarkodie and  Kwesi Arthur
97,Stoves,Wale the Sage
98,We Don't Play,Givtti
99,"Top (feat. Ambulanceee, IzzPurp & Wheaguy)",Danagog
